label,cond,abs_disc,eqn
122880.a.122880.1,122880,122880,"[[-2,0,15,-1,-14,-7,-1],[]]"
122880.b.122880.1,122880,122880,"[[2,0,-15,-1,14,-7,1],[]]"
122880.c.491520.1,122880,491520,"[[0,2,12,13,-8,1],[]]"
122880.d.491520.1,122880,491520,"[[0,2,-12,13,8,1],[]]"
123392.a.987136.1,123392,987136,"[[1,-1,-2,0,3,0,-1],[0,1]]"
124416.m.995328.1,124416,995328,"[[-1,5,-4,-7,2,2],[]]"
12544.b.200704.1,12544,200704,"[[0,4,15,8,-7,1],[]]"
12544.b.401408.1,12544,401408,"[[5,7,7,-6,-5,-4,4],[1]]"
12544.h.401408.1,12544,401408,"[[0,1,-1,4,-1,1],[]]"
12608.d.806912.1,12608,806912,"[[-2,-1,0,-1],[1,1,1,1]]"
12608.e.806912.1,12608,806912,"[[-1,2,1,3,1,1],[1,0,1]]"
126976.a.253952.1,126976,253952,"[[-1,-1,2,1,0,2],[]]"
12800.d.409600.1,12800,409600,"[[0,1,0,-4,-1,4],[1]]"
12800.e.512000.1,12800,512000,"[[1,-2,1,-1,0,1],[]]"
12800.f.819200.1,12800,819200,"[[-2,0,-1,0,3,0,-1],[]]"
12800.g.819200.1,12800,819200,"[[2,0,-7,0,5,0,-1],[]]"
12800.h.819200.1,12800,819200,"[[-2,0,1,0,3,0,1],[]]"
12800.i.819200.1,12800,819200,"[[2,0,7,0,5,0,1],[]]"
12864.c.823296.1,12864,823296,"[[-1,0,0,-1,1,1],[1,0,1]]"
12928.b.413696.1,12928,413696,"[[0,1,1,0,2,4],[1]]"
12992.a.831488.1,12992,831488,"[[-1,0,-2,1,0,1],[0,1,0,1]]"
13056.a.417792.1,13056,417792,"[[0,1,0,3],[0,1,0,1]]"
131072.a.131072.1,131072,131072,"[[0,1,-4,4,0,1],[]]"
131072.b.131072.1,131072,131072,"[[0,1,4,4,0,1],[]]"
131072.c.262144.1,131072,262144,"[[1,1,0,0,1,1],[]]"
131072.d.262144.1,131072,262144,"[[-1,1,0,0,-1,1],[]]"
1312.c.671744.1,1312,671744,"[[0,0,2,5,7,4,1],[1,1]]"
13312.a.106496.1,13312,106496,"[[-3,-8,0,15,12,2],[]]"
13312.b.851968.1,13312,851968,"[[-4,4,3,-4,-1,1],[0,0,0,1]]"
133120.e.532480.1,133120,532480,"[[2,5,2,-3,-3,0,1],[]]"
1344.b.172032.1,1344,172032,"[[0,1,-11,32,-11,1],[]]"
13504.a.864256.1,13504,864256,"[[6,5,-3,0,3,1],[]]"
13568.f.217088.1,13568,217088,"[[1,0,0,0,-1],[1,1,1,1]]"
13568.g.434176.1,13568,434176,"[[2,-1,2,-1,1],[0,1,0,1]]"
13568.h.868352.1,13568,868352,"[[2,2,-3,-4,1,2],[]]"
1376.b.176128.1,1376,176128,"[[0,0,2,1,4,4],[1]]"
13824.d.110592.1,13824,110592,"[[1,1,2,1],[0,1,0,1]]"
13824.e.884736.1,13824,884736,"[[-6,18,-9,-7,-1,1],[]]"
13824.f.884736.1,13824,884736,"[[-6,0,-9,0,-5,0,-1],[]]"
13824.f.884736.2,13824,884736,"[[-6,0,9,0,-5,0,1],[]]"
13888.b.888832.1,13888,888832,"[[2,-3,1,-3,2,0,1],[]]"
139264.a.557056.1,139264,557056,"[[0,-2,-9,-9,3,1],[]]"
139264.b.557056.1,139264,557056,"[[0,-2,9,-9,-3,1],[]]"
139264.c.557056.1,139264,557056,"[[-2,11,-17,1,9,2],[]]"
139264.d.557056.1,139264,557056,"[[-8,10,4,-7,0,1],[]]"
139264.e.557056.1,139264,557056,"[[2,11,17,1,-9,2],[]]"
139264.f.557056.1,139264,557056,"[[8,10,-4,-7,0,1],[]]"
1408.a.180224.1,1408,180224,"[[1,-5,0,-1,1],[1,1,1,1]]"
1408.b.180224.1,1408,180224,"[[1,2,3,4,2,2],[]]"
1408.b.180224.2,1408,180224,"[[1,2,-1,-4,0,2],[]]"
1408.b.720896.1,1408,720896,"[[0,1,-3,-8,17,4],[1]]"
1408.b.720896.2,1408,720896,"[[0,1,-4,2,0,1],[]]"
