label,cond,abs_disc,eqn
22528.e.45056.1,22528,45056,"[[2,1,0,4,4,1],[]]"
22528.f.45056.1,22528,45056,"[[0,1,2,0,0,1],[]]"
22528.g.45056.1,22528,45056,"[[-2,1,0,4,-4,1],[]]"
22528.h.45056.1,22528,45056,"[[0,2,-1,1,3,1],[]]"
22528.i.360448.1,22528,360448,"[[-4,12,-4,-5,2,1],[]]"
22528.j.720896.1,22528,720896,"[[1,1,0,2,-1,1],[]]"
22528.k.720896.1,22528,720896,"[[-1,1,0,2,1,1],[]]"
228352.c.913408.1,228352,913408,"[[0,2,0,-1,-1,1],[]]"
228352.d.913408.1,228352,913408,"[[1,4,5,1,0,1],[]]"
229376.a.917504.1,229376,917504,"[[4,-2,8,-3,5,-1,1],[]]"
229376.b.917504.1,229376,917504,"[[-4,-2,-8,-3,-5,-1,-1],[]]"
2304.b.147456.1,2304,147456,"[[-1,0,-2,0,-2,0,-1],[]]"
2304.c.294912.1,2304,294912,"[[8,0,17,0,4],[0,0,0,1]]"
2304.d.294912.1,2304,294912,"[[-8,0,17,0,-4],[0,0,0,1]]"
23040.a.552960.1,23040,552960,"[[0,3,5,7,4,2],[]]"
23040.b.552960.1,23040,552960,"[[1,2,-3,-7,0,3],[]]"
23040.c.552960.1,23040,552960,"[[-4,-10,0,11,0,-4,1],[]]"
23040.d.737280.1,23040,737280,"[[-4,0,17,0,-25,0,12],[1]]"
23040.e.737280.1,23040,737280,"[[5,-3,-20,8,23,-4,-8],[1]]"
23040.f.737280.1,23040,737280,"[[-4,0,-17,0,-25,0,-12],[1]]"
23168.b.741376.1,23168,741376,"[[-1,2,0,-6,2,2,1],[1,1]]"
233472.a.233472.1,233472,233472,"[[-6,6,2,-5,0,1],[]]"
233472.b.233472.1,233472,233472,"[[6,6,-2,-5,0,1],[]]"
233472.c.466944.1,233472,466944,"[[-1,0,2,5,4,2],[]]"
233472.d.466944.1,233472,466944,"[[1,5,8,9,5,2],[]]"
233472.e.466944.1,233472,466944,"[[-1,5,-8,9,-5,2],[]]"
234496.c.937984.1,234496,937984,"[[0,1,-4,5,0,1],[]]"
234496.d.937984.1,234496,937984,"[[0,-2,9,-11,1,2],[]]"
234496.e.937984.1,234496,937984,"[[0,1,4,5,0,1],[]]"
234496.f.937984.1,234496,937984,"[[0,-2,-9,-11,-1,2],[]]"
23552.d.94208.1,23552,94208,"[[1,-3,4,-1,-2,2],[]]"
236544.e.946176.1,236544,946176,"[[6,-11,17,-13,9,-3,1],[]]"
236544.f.946176.1,236544,946176,"[[-6,-11,-17,-13,-9,-3,-1],[]]"
23680.a.757760.1,23680,757760,"[[1,-4,-1,15,-8,1],[]]"
237568.a.475136.1,237568,475136,"[[-2,0,-3,1,-1,1],[]]"
237568.b.475136.1,237568,475136,"[[2,0,3,1,1,1],[]]"
23808.a.380928.1,23808,380928,"[[-3,21,-47,28,12,1],[]]"
23808.k.380928.1,23808,380928,"[[3,-9,-1,10,8,1],[]]"
23808.l.761856.1,23808,761856,"[[0,1,-1,-9,8,-4,1],[1,1]]"
241664.a.483328.1,241664,483328,"[[-1,-4,-3,1,-2,1],[]]"
241664.b.483328.1,241664,483328,"[[4,2,-6,-1,4,0,-1],[]]"
241664.c.483328.1,241664,483328,"[[-1,2,-1,3,4,1],[]]"
241664.d.483328.1,241664,483328,"[[-1,0,-4,1,-4,2],[]]"
24192.a.774144.1,24192,774144,"[[28,16,19,8,4,1],[0,0,0,1]]"
24192.f.774144.1,24192,774144,"[[-12,-24,-21,-8,0,1],[0,0,0,1]]"
24320.c.778240.1,24320,778240,"[[4,-12,7,4,-2,1],[]]"
24576.a.294912.1,24576,294912,"[[0,2,5,-1,-3,1],[]]"
24576.b.294912.1,24576,294912,"[[0,2,-5,-1,3,1],[]]"
245760.a.245760.1,245760,245760,"[[2,2,2,-2,-1,-1,1],[]]"
245760.b.245760.1,245760,245760,"[[-2,2,-2,-2,1,-1,-1],[]]"
245760.c.245760.1,245760,245760,"[[1,-3,7,-8,7,-3,1],[]]"
245760.d.245760.1,245760,245760,"[[-1,-3,-7,-8,-7,-3,-1],[]]"
24704.a.790528.1,24704,790528,"[[4,12,14,6],[0,0,0,1]]"
24704.b.790528.1,24704,790528,"[[4,4,6,4,3,1],[0,0,0,1]]"
249856.a.249856.1,249856,249856,"[[0,1,4,3,2,1],[]]"
249856.b.249856.1,249856,249856,"[[0,-1,-2,-3,0,1],[]]"
249856.c.249856.1,249856,249856,"[[0,1,-4,3,-2,1],[]]"
249856.d.249856.1,249856,249856,"[[0,-1,-4,-3,0,1],[]]"
249856.e.249856.1,249856,249856,"[[-5,-1,7,-1,-3,1],[]]"
249856.f.249856.1,249856,249856,"[[0,-1,4,-3,0,1],[]]"
249856.g.249856.1,249856,249856,"[[0,-1,2,-3,0,1],[]]"
249856.h.249856.1,249856,249856,"[[5,-1,-7,-1,3,1],[]]"
249856.i.999424.1,249856,999424,"[[0,-2,5,-5,1,1],[]]"
249856.j.999424.1,249856,999424,"[[0,-2,-5,-5,-1,1],[]]"
25088.f.802816.1,25088,802816,"[[-4,0,3,0,-1],[0,0,0,1]]"
25088.g.802816.1,25088,802816,"[[4,0,3,0,1],[0,0,0,1]]"
2560.a.819200.1,2560,819200,"[[0,2,7,2,-7,2],[]]"
25600.a.102400.1,25600,102400,"[[0,1,0,-3,0,1],[]]"
25600.b.102400.1,25600,102400,"[[-1,1,3,-3,-1,1],[]]"
25600.c.102400.1,25600,102400,"[[1,1,-3,-3,1,1],[]]"
25600.f.512000.1,25600,512000,"[[0,2,5,-1,-5,2],[]]"
25600.g.512000.1,25600,512000,"[[1,0,-1,1,-2,1],[]]"
25600.h.819200.1,25600,819200,"[[8,0,15,0,-4],[0,0,0,1]]"
25600.i.819200.1,25600,819200,"[[-8,0,15,0,4],[0,0,0,1]]"
26112.d.417792.1,26112,417792,"[[0,1,-3,4,-4,2,-1],[1,1]]"
262144.a.262144.1,262144,262144,"[[0,-1,0,-2,0,1],[]]"
262144.b.524288.1,262144,524288,"[[0,2,0,2,0,1],[]]"
262144.c.524288.1,262144,524288,"[[0,2,0,-2,0,1],[]]"
262144.d.524288.1,262144,524288,"[[-1,5,-8,4,-1,1],[]]"
262144.d.524288.2,262144,524288,"[[1,5,8,4,1,1],[]]"
26496.e.847872.1,26496,847872,"[[0,2,0,2],[1,1,1,1]]"
266240.a.266240.1,266240,266240,"[[0,1,4,3,-4,1],[]]"
266240.b.532480.1,266240,532480,"[[1,-1,-2,-1,3,2],[]]"
266240.c.532480.1,266240,532480,"[[-1,-1,2,-1,-3,2],[]]"
266240.d.532480.1,266240,532480,"[[-4,-3,9,1,-6,2],[]]"
266240.e.532480.1,266240,532480,"[[-2,-7,-7,-1,2,2],[]]"
2688.a.172032.1,2688,172032,"[[-4,-17,-42,-62,-61,-36,-12],[1]]"
2704.b.692224.1,2704,692224,"[[-4,0,-4,0,-1],[0,1,0,1]]"
2720.a.348160.1,2720,348160,"[[0,-4,-11,0,4,1],[]]"
2720.b.696320.1,2720,696320,"[[-200,48,49,-6,-5],[0,0,0,1]]"
272384.a.544768.1,272384,544768,"[[2,7,6,6,2,1],[]]"
272384.b.544768.1,272384,544768,"[[-2,7,-6,6,-2,1],[]]"
27392.e.876544.1,27392,876544,"[[0,1,2,-1,2],[0,1,0,1]]"
27392.f.876544.1,27392,876544,"[[4,4,-1,-4,-2],[0,0,0,1]]"
27520.c.880640.1,27520,880640,"[[0,1,0,-2,-1,0,1],[0,1]]"
27520.d.880640.1,27520,880640,"[[-8,12,2,-6,-1,1],[0,0,0,1]]"
27520.e.880640.1,27520,880640,"[[0,-3,5,0,1,1],[1,1,1,1]]"
27648.a.331776.1,27648,331776,"[[1,1,1,1,1,1],[]]"
27648.b.331776.1,27648,331776,"[[-1,1,-1,1,-1,1],[]]"
27648.c.442368.1,27648,442368,"[[0,0,-2,-2,3,4],[1]]"
27776.a.888832.1,27776,888832,"[[-2,-3,-1,-3,-2,0,-1],[]]"
27776.b.888832.1,27776,888832,"[[0,-1,0,-2,1,0,1],[0,1]]"
278528.a.278528.1,278528,278528,"[[0,1,2,1,-2,1],[]]"
2800.a.716800.1,2800,716800,"[[5,6,-5,-3,0,1],[]]"
2816.a.180224.1,2816,180224,"[[-1,2,-3,4,-2,2],[]]"
2816.a.180224.2,2816,180224,"[[-1,2,1,-4,0,2],[]]"
2816.a.720896.1,2816,720896,"[[0,1,4,2,0,1],[]]"
28416.a.454656.1,28416,454656,"[[8,12,14,8,4,1],[0,0,0,1]]"
28416.b.454656.1,28416,454656,"[[-1,2,-5,0,2,-12,-8],[1]]"
284672.c.569344.1,284672,569344,"[[3,2,5,3,2,1],[]]"
2848.b.364544.1,2848,364544,"[[0,1,2,1,-1,0,1],[1,1]]"
28544.a.913408.1,28544,913408,"[[4,8,11,8,4,1],[0,0,0,1]]"
28672.a.114688.1,28672,114688,"[[0,2,1,3,1,1],[]]"
28672.b.114688.1,28672,114688,"[[0,2,-1,3,-1,1],[]]"
28672.c.458752.1,28672,458752,"[[28,0,19,0,4],[0,0,0,1]]"
28672.d.458752.1,28672,458752,"[[0,4,-6,6,-3,1],[]]"
28672.e.458752.1,28672,458752,"[[-28,0,19,0,-4],[0,0,0,1]]"
28672.f.458752.1,28672,458752,"[[0,4,6,6,3,1],[]]"
28672.g.917504.1,28672,917504,"[[0,2,18,39,12,1],[]]"
28672.h.917504.1,28672,917504,"[[0,2,-18,39,-12,1],[]]"
2880.c.368640.1,2880,368640,"[[6,-13,27,-28,27,-13,6],[]]"
29056.a.929792.1,29056,929792,"[[0,1,1,2,6,4],[1]]"
292864.a.585728.1,292864,585728,"[[0,2,-12,15,9,1],[]]"
29440.a.942080.1,29440,942080,"[[217,-383,245,-56,0,1],[]]"
29440.i.471040.1,29440,471040,"[[1,-1,4,-1,-2],[0,1,0,1]]"
29440.q.942080.1,29440,942080,"[[4,40,131,133,-24,1],[]]"
29696.a.950272.1,29696,950272,"[[264,128,-49,-32,0,2],[0,0,0,1]]"
296960.b.593920.1,296960,593920,"[[-2,0,3,-1,2,-3,1],[]]"
296960.c.593920.1,296960,593920,"[[-1,-3,-2,-1,-3,0,2],[]]"
296960.d.593920.1,296960,593920,"[[2,-5,0,5,1,-2,-1],[]]"
296960.e.593920.1,296960,593920,"[[-1,-2,0,-1,-2,2],[]]"
2976.a.761856.1,2976,761856,"[[-1,-3,5,18,-19,-20,-4],[1]]"
2976.b.380928.1,2976,380928,"[[3,21,47,28,-12,1],[]]"
301056.e.602112.1,301056,602112,"[[3,3,-10,-1,6,0,-1],[]]"
301056.f.602112.1,301056,602112,"[[-1,4,-1,-7,0,2],[]]"
30208.i.241664.1,30208,241664,"[[1,2,1,3,0,1],[]]"
303104.a.303104.1,303104,303104,"[[2,6,-3,-5,1,1],[]]"
303104.b.303104.1,303104,303104,"[[46,62,-5,-33,-9,1],[]]"
303104.c.303104.1,303104,303104,"[[2,2,-9,-1,8,0,-2],[]]"
303104.d.303104.1,303104,303104,"[[2,-6,-1,13,-7,1],[]]"
303104.e.303104.1,303104,303104,"[[-2,6,3,-5,-1,1],[]]"
303104.f.303104.1,303104,303104,"[[-2,2,9,-1,-8,0,2],[]]"
303104.g.303104.1,303104,303104,"[[-46,62,5,-33,9,1],[]]"
303104.h.303104.1,303104,303104,"[[-2,-6,1,13,7,1],[]]"
303104.i.606208.1,303104,606208,"[[0,2,-6,2,4,1],[]]"
303104.j.606208.1,303104,606208,"[[1,3,4,2,1,1],[]]"
303104.k.606208.1,303104,606208,"[[0,2,6,2,-4,1],[]]"
303104.l.606208.1,303104,606208,"[[3,5,-2,-6,0,2],[]]"
303104.m.606208.1,303104,606208,"[[0,2,2,4,2,1],[]]"
303104.n.606208.1,303104,606208,"[[-3,5,2,-6,0,2],[]]"
303104.o.606208.1,303104,606208,"[[-1,3,-4,2,-1,1],[]]"
303104.p.606208.1,303104,606208,"[[0,2,-2,4,-2,1],[]]"
303104.q.606208.1,303104,606208,"[[0,2,-2,2,-2,1],[]]"
303104.r.606208.1,303104,606208,"[[0,2,2,2,2,1],[]]"
30336.e.970752.1,30336,970752,"[[0,0,-3,0,7,4],[1]]"
3040.a.778240.1,3040,778240,"[[-4,-12,-7,4,2,1],[]]"
3072.a.196608.1,3072,196608,"[[-6,0,-13,0,-9,0,-2],[]]"
3072.a.196608.2,3072,196608,"[[-2,0,9,0,-13,0,6],[]]"
3072.b.196608.1,3072,196608,"[[-6,0,13,0,-9,0,2],[]]"
3072.b.196608.2,3072,196608,"[[6,0,13,0,9,0,2],[]]"
30720.a.61440.1,30720,61440,"[[3,6,-1,-5,0,1],[]]"
30720.b.61440.1,30720,61440,"[[0,2,4,-1,-3,1],[]]"
30720.c.368640.1,30720,368640,"[[-2,5,3,-13,2,6],[]]"
307200.a.614400.1,307200,614400,"[[-4,-6,-8,-3,-1,1],[]]"
30976.a.495616.1,30976,495616,"[[3,8,-5,7,-2,1],[]]"
30976.b.991232.1,30976,991232,"[[1,1,-2,-1,-1,-2,1],[0,1]]"
31104.d.995328.1,31104,995328,"[[-1,-3,0,8,-1,-8,4],[1]]"
31104.e.995328.1,31104,995328,"[[-1,0,12,26,18,4],[1]]"
31232.a.999424.1,31232,999424,"[[4,8,3,-2,0,1],[0,0,0,1]]"
3136.a.200704.1,3136,200704,"[[0,4,-15,8,7,1],[]]"
3136.a.200704.2,3136,200704,"[[1,14,50,48,-31,4],[1]]"
3136.a.200704.3,3136,200704,"[[11,5,0,0,1,-1],[1,1,1,1]]"
3136.d.401408.1,3136,401408,"[[0,1,1,4,1,1],[]]"
31488.b.503808.1,31488,503808,"[[0,0,-3,-4,2,4],[1]]"
315392.a.315392.1,315392,315392,"[[-6,26,-34,7,8,1],[]]"
315392.b.315392.1,315392,315392,"[[6,26,34,7,-8,1],[]]"
31744.d.126976.1,31744,126976,"[[1,-4,7,-5,0,2],[]]"
3200.c.409600.1,3200,409600,"[[-1,2,-5,4,0,-2,1],[1,1]]"
3200.d.409600.1,3200,409600,"[[-1,0,0,0,2,0,1],[]]"
3200.e.819200.1,3200,819200,"[[-2,0,-7,0,-5,0,-1],[]]"
3200.f.819200.1,3200,819200,"[[-2,0,7,0,-5,0,1],[]]"
323584.a.323584.1,323584,323584,"[[0,1,2,3,0,1],[]]"
323584.b.323584.1,323584,323584,"[[0,1,-2,3,0,1],[]]"
33024.a.528384.1,33024,528384,"[[-8,-12,-6,0,2,1],[0,0,0,1]]"
331776.a.663552.1,331776,663552,"[[3,-9,0,11,0,-4,-1],[]]"
331776.b.663552.1,331776,663552,"[[3,-6,9,-5,2,1],[]]"
331776.c.663552.1,331776,663552,"[[-1,0,5,-1,-6,2],[]]"
331776.d.995328.1,331776,995328,"[[-1,5,-7,1,1,1],[]]"
331776.e.995328.1,331776,995328,"[[0,3,0,3,0,1],[]]"
331776.f.995328.1,331776,995328,"[[1,5,7,1,-1,1],[]]"
331776.g.995328.1,331776,995328,"[[0,3,0,-3,0,1],[]]"
33536.d.536576.1,33536,536576,"[[0,1,0,-2,2,4],[1]]"
335872.a.671744.1,335872,671744,"[[-2,0,3,1,-3,1],[]]"
335872.b.671744.1,335872,671744,"[[-2,4,-1,-3,1,1],[]]"
335872.c.671744.1,335872,671744,"[[2,4,1,-3,-1,1],[]]"
335872.d.671744.1,335872,671744,"[[2,0,-3,1,3,1],[]]"
336.a.172032.1,336,172032,"[[-56,0,-75,0,15,0,-1],[0,1,0,1]]"
3392.a.868352.1,3392,868352,"[[-2,2,3,-4,-1,2],[]]"
3392.c.868352.1,3392,868352,"[[-2,2,5,4,-1,-2,-1],[]]"
339968.a.339968.1,339968,339968,"[[0,1,2,-3,0,1],[]]"
339968.b.339968.1,339968,339968,"[[0,1,-2,-3,0,1],[]]"
339968.c.339968.1,339968,339968,"[[1,1,-3,-5,-1,1],[]]"
339968.d.339968.1,339968,339968,"[[-1,1,3,-5,1,1],[]]"
339968.e.339968.1,339968,339968,"[[0,1,4,3,0,1],[]]"
339968.f.339968.1,339968,339968,"[[-6,13,2,-7,0,1],[]]"
339968.g.339968.1,339968,339968,"[[-3,1,7,-1,-3,1],[]]"
339968.h.339968.1,339968,339968,"[[0,1,-4,3,0,1],[]]"
339968.i.339968.1,339968,339968,"[[3,1,-7,-1,3,1],[]]"
339968.j.339968.1,339968,339968,"[[6,13,-2,-7,0,1],[]]"
339968.k.679936.1,339968,679936,"[[4,2,4,3,1,1],[]]"
339968.l.679936.1,339968,679936,"[[-4,-2,0,-1,1,1],[]]"
339968.m.679936.1,339968,679936,"[[-1,4,-5,1,4,1],[]]"
344064.a.688128.1,344064,688128,"[[0,2,-16,35,-12,1],[]]"
344064.b.688128.1,344064,688128,"[[0,2,16,35,12,1],[]]"
3456.a.110592.1,3456,110592,"[[-1,1,2,-4,-2,2,1],[1,1]]"
3456.b.221184.1,3456,221184,"[[-1,5,-10,0,4,1],[1,0,1]]"
3456.c.442368.1,3456,442368,"[[-12,0,-3,0,1],[0,0,0,1]]"
3456.d.442368.1,3456,442368,"[[-3,0,-6,0,-4,0,-1],[]]"
3456.e.442368.1,3456,442368,"[[12,0,-3,0,-1],[0,0,0,1]]"
348160.a.696320.1,348160,696320,"[[8,6,-16,-3,8,0,-1],[]]"
352256.a.352256.1,352256,352256,"[[2,4,0,3,-4,1],[]]"
352256.b.352256.1,352256,352256,"[[-2,4,0,3,4,1],[]]"
352256.c.704512.1,352256,704512,"[[0,-2,-10,-8,0,1],[]]"
352256.d.704512.1,352256,704512,"[[-1,-1,0,-2,-1,1],[]]"
352256.e.704512.1,352256,704512,"[[1,3,0,-4,0,2],[]]"
352256.f.704512.1,352256,704512,"[[1,1,-2,-2,0,2],[]]"
352256.g.704512.1,352256,704512,"[[1,1,-2,0,-1,1],[]]"
352256.h.704512.1,352256,704512,"[[0,-2,-2,0,2,1],[]]"
352256.i.704512.1,352256,704512,"[[0,-1,96,80,22,2],[]]"
352256.j.704512.1,352256,704512,"[[1,-1,0,-2,1,1],[]]"
352256.k.704512.1,352256,704512,"[[1,-3,-6,0,3,1],[]]"
352256.l.704512.1,352256,704512,"[[1,-3,2,0,-1,1],[]]"
352256.m.704512.1,352256,704512,"[[1,5,2,-4,-1,1],[]]"
352256.n.704512.1,352256,704512,"[[-1,-3,6,0,-3,1],[]]"
352256.o.704512.1,352256,704512,"[[0,-2,2,0,-2,1],[]]"
352256.p.704512.1,352256,704512,"[[0,-2,-22,-80,-96,1],[]]"
352256.q.704512.1,352256,704512,"[[-1,5,-2,-4,1,1],[]]"
352256.r.704512.1,352256,704512,"[[-1,1,2,-2,0,2],[]]"
352256.s.704512.1,352256,704512,"[[0,2,6,4,0,1],[]]"
352256.t.704512.1,352256,704512,"[[0,-2,10,-8,0,1],[]]"
352256.u.704512.1,352256,704512,"[[-1,3,0,-4,0,2],[]]"
352256.v.704512.1,352256,704512,"[[0,2,-6,4,0,1],[]]"
352256.w.704512.1,352256,704512,"[[-1,-3,-2,0,1,1],[]]"
352256.x.704512.1,352256,704512,"[[-1,1,2,0,1,1],[]]"
3552.a.454656.1,3552,454656,"[[-1,3,1,-7,0,4],[1]]"
3568.d.913408.1,3568,913408,"[[1,-2,5,-5,1],[0,0,0,1]]"
3584.b.229376.1,3584,229376,"[[40,-68,34,0,-6],[1,1,1,1]]"
3584.c.458752.1,3584,458752,"[[-4,-12,-21,-22,-13,-4,1],[0,0,0,1]]"
3616.b.462848.1,3616,462848,"[[5,-4,3,1,-1],[0,0,1,1]]"
364544.a.364544.1,364544,364544,"[[0,-1,-2,1,0,1],[]]"
364544.b.364544.1,364544,364544,"[[1,-1,1,-3,1,1],[]]"
364544.c.364544.1,364544,364544,"[[-1,-1,-1,-3,-1,1],[]]"
364544.d.364544.1,364544,364544,"[[0,-1,2,1,0,1],[]]"
364544.e.364544.1,364544,364544,"[[-1,1,3,1,1,1],[]]"
364544.f.364544.1,364544,364544,"[[1,1,-3,1,-1,1],[]]"
3648.b.233472.1,3648,233472,"[[3,-4,5,-1,0,1],[]]"
36608.b.585728.1,36608,585728,"[[1,-3,2,4,-3,-4,-1],[0,1]]"
3664.a.937984.1,3664,937984,"[[-1,-8,-29,-40,-15,4],[1]]"
3680.b.942080.1,3680,942080,"[[-217,-383,-245,-56,0,1],[]]"
36864.a.36864.1,36864,36864,"[[-1,1,1,-1,-1,1],[]]"
36864.b.36864.1,36864,36864,"[[0,1,0,-1,0,1],[]]"
36864.c.36864.1,36864,36864,"[[1,1,-1,-1,1,1],[]]"
36864.d.221184.1,36864,221184,"[[0,2,-2,3,-1,1],[]]"
36864.e.442368.1,36864,442368,"[[0,-6,-9,-1,3,1],[]]"
36864.f.442368.1,36864,442368,"[[0,-6,9,-1,-3,1],[]]"
3712.b.118784.1,3712,118784,"[[0,-1,0,0,0,1],[1,1,1,1]]"
3712.c.475136.1,3712,475136,"[[-2,0,-2],[1,1,1,1]]"
3712.d.950272.1,3712,950272,"[[-11,-52,-79,-32,-1,1],[0,0,1]]"
372736.a.372736.1,372736,372736,"[[0,1,2,-2,0,1],[]]"
372736.b.372736.1,372736,372736,"[[0,1,-2,-2,0,1],[]]"
376832.a.376832.1,376832,376832,"[[0,-1,-6,-10,-2,1],[]]"
376832.b.376832.1,376832,376832,"[[0,1,-6,9,-6,1],[]]"
376832.c.376832.1,376832,376832,"[[0,-1,2,-2,2,1],[]]"
376832.d.376832.1,376832,376832,"[[0,-1,-2,-2,-2,1],[]]"
376832.e.376832.1,376832,376832,"[[0,-1,2,-3,2,1],[]]"
376832.f.376832.1,376832,376832,"[[0,-1,6,-10,2,1],[]]"
376832.g.376832.1,376832,376832,"[[0,1,6,9,6,1],[]]"
376832.h.376832.1,376832,376832,"[[0,-1,-2,-3,-2,1],[]]"
3776.c.241664.1,3776,241664,"[[-1,2,-2,1,-1,1],[1,0,1]]"
378880.a.757760.1,378880,757760,"[[1,1,-5,-6,2,2],[]]"
378880.b.757760.1,378880,757760,"[[10,20,-2,-9,0,1],[]]"
378880.c.757760.1,378880,757760,"[[-5,-21,-25,0,12,2],[]]"
378880.d.757760.1,378880,757760,"[[5,-21,25,0,-12,2],[]]"
378880.e.757760.1,378880,757760,"[[5,-3,-11,0,6,2],[]]"
378880.f.757760.1,378880,757760,"[[-10,20,2,-9,0,1],[]]"
378880.g.757760.1,378880,757760,"[[-5,-3,11,0,-6,2],[]]"
378880.h.757760.1,378880,757760,"[[-1,1,5,-6,-2,2],[]]"
378880.i.757760.1,378880,757760,"[[1,1,-5,-2,4,2],[]]"
378880.j.757760.1,378880,757760,"[[-1,1,5,-2,-4,2],[]]"
382976.a.765952.1,382976,765952,"[[-4,18,-24,4,7,1],[]]"
382976.b.765952.1,382976,765952,"[[2,-5,0,2,4,1],[]]"
382976.c.765952.1,382976,765952,"[[-2,-5,0,2,-4,1],[]]"
382976.d.765952.1,382976,765952,"[[4,18,24,4,-7,1],[]]"
3840.b.245760.1,3840,245760,"[[0,2,-1,4,-1,2],[]]"
3840.b.368640.1,3840,368640,"[[0,1,-13,44,-13,1],[]]"
3840.b.983040.1,3840,983040,"[[0,1,2,-1,2,1],[]]"
387072.a.774144.1,387072,774144,"[[-4,-2,-2,2,1,1],[]]"
387072.b.774144.1,387072,774144,"[[4,-2,2,2,-1,1],[]]"
3872.a.495616.1,3872,495616,"[[6,-10,1,1,0,1],[0,1,0,1]]"
3872.b.495616.1,3872,495616,"[[0,0,-1,2,-1],[1,1,1,1]]"
38912.a.77824.1,38912,77824,"[[0,-2,-4,-2,1,1],[]]"
38912.b.77824.1,38912,77824,"[[0,-2,4,-2,-1,1],[]]"
3904.d.999424.1,3904,999424,"[[0,1,1,3,0,2],[1,0,1]]"
393216.a.393216.1,393216,393216,"[[-2,-2,-4,-2,-3,-1,-1],[]]"
393216.b.393216.1,393216,393216,"[[2,-2,4,-2,3,-1,1],[]]"
397312.a.397312.1,397312,397312,"[[0,1,6,9,0,1],[]]"
397312.b.397312.1,397312,397312,"[[0,1,-6,9,0,1],[]]"
39936.a.319488.1,39936,319488,"[[1,4,6,7,4,2],[]]"
39936.b.958464.1,39936,958464,"[[1,-8,20,-15,0,2],[]]"
39936.c.958464.1,39936,958464,"[[1,0,-6,-3,8,6],[]]"
400.a.409600.1,400,409600,"[[1,0,4,0,4,0,1],[]]"
401408.a.401408.1,401408,401408,"[[-2,0,1,-1,-4,-3,-1],[]]"
401408.b.401408.1,401408,401408,"[[2,0,-1,-1,4,-3,1],[]]"
403456.a.806912.1,403456,806912,"[[2,6,4,-1,1,2],[]]"
403456.b.806912.1,403456,806912,"[[0,2,4,0,-3,1],[]]"
403456.c.806912.1,403456,806912,"[[0,2,0,6,-5,1],[]]"
403456.d.806912.1,403456,806912,"[[0,1,-2,4,0,1],[]]"
403456.e.806912.1,403456,806912,"[[0,2,0,-6,-3,1],[]]"
403456.f.806912.1,403456,806912,"[[0,2,-4,0,3,1],[]]"
403456.g.806912.1,403456,806912,"[[0,2,2,2,1,1],[]]"
403456.h.806912.1,403456,806912,"[[0,2,3,5,3,1],[]]"
403456.i.806912.1,403456,806912,"[[-2,6,-4,-1,-1,2],[]]"
403456.j.806912.1,403456,806912,"[[0,2,-3,5,-3,1],[]]"
403456.k.806912.1,403456,806912,"[[0,2,0,-6,3,1],[]]"
403456.l.806912.1,403456,806912,"[[0,1,2,4,0,1],[]]"
403456.m.806912.1,403456,806912,"[[0,2,0,6,5,1],[]]"
403456.n.806912.1,403456,806912,"[[0,2,-2,2,-1,1],[]]"
40704.b.651264.1,40704,651264,"[[-4,-7,-9,-4,-1,1],[]]"
4096.a.65536.1,4096,65536,"[[4,0,3,0,-2],[0,0,0,1]]"
4096.b.65536.1,4096,65536,"[[0,-1,0,0,0,1],[]]"
4096.c.65536.1,4096,65536,"[[-4,0,3,0,2],[0,0,0,1]]"
4096.d.524288.1,4096,524288,"[[8,0,6,0,2],[0,0,0,1]]"
4096.e.524288.1,4096,524288,"[[0,-1,-2,0,-2,1],[]]"
4096.f.524288.1,4096,524288,"[[-8,0,6,0,-2],[0,0,0,1]]"
40960.a.409600.1,40960,409600,"[[0,2,-2,3,-2,1],[]]"
40960.b.409600.1,40960,409600,"[[0,2,2,3,2,1],[]]"
40960.c.655360.1,40960,655360,"[[1,3,-1,-8,-2,4],[]]"
40960.d.655360.1,40960,655360,"[[0,1,6,6,-6,1],[]]"
409600.a.409600.1,409600,409600,"[[-3,1,24,-7,-29,-14,-2],[]]"
409600.b.409600.1,409600,409600,"[[3,1,-24,-7,29,-14,2],[]]"
409600.c.409600.1,409600,409600,"[[-1,-3,-1,4,1,-3,1],[]]"
411648.a.823296.1,411648,823296,"[[1,1,-3,6,-4,2],[]]"
411648.b.823296.1,411648,823296,"[[-1,1,3,6,4,2],[]]"
41216.a.659456.1,41216,659456,"[[0,1,22,110,-105,31,-3],[]]"
413696.a.413696.1,413696,413696,"[[2,4,2,0,1,1],[]]"
413696.b.413696.1,413696,413696,"[[-2,4,-2,0,-1,1],[]]"
41728.a.667648.1,41728,667648,"[[1,-2,-3],[1,1,1,1]]"
42240.a.675840.1,42240,675840,"[[-2,-1,8,0,-9,4],[]]"
42496.c.339968.1,42496,339968,"[[1,-4,8,-7,2,2],[]]"
4256.a.544768.1,4256,544768,"[[-1,0,-2,-3,0,-4,-4],[1,1]]"
425984.a.851968.1,425984,851968,"[[4,2,-2,-3,0,1],[]]"
425984.b.851968.1,425984,851968,"[[0,2,-4,0,2,1],[]]"
425984.c.851968.1,425984,851968,"[[8,-42,76,-51,6,1],[]]"
425984.d.851968.1,425984,851968,"[[0,2,4,0,-2,1],[]]"
425984.e.851968.1,425984,851968,"[[-8,-42,-76,-51,-6,1],[]]"
425984.f.851968.1,425984,851968,"[[-4,2,2,-3,0,1],[]]"
