

[16336390342285800000,17984089341487641600,18727056172448817625,20615879288622173904]
[65280493351069040880517978491110022480907268283468624,287677662992496917336890380851598788899939815526036825,1176275026428447223569958196514690961996100555315788800,5183601306742142804782988596710520939514793129472440000]
[1195355437078011022746189665648359667203008950875990357063632174021383094105826616300086760608223928781296,8986752020048929207111591769278727870665446386265198937012290804698310557178392423386034167234141557974375,28763740355864370088153676461007654773245434280225154299296864909144807301836834523231032340120501897369600,216247480648182592917981755340801204361723663688108444284077104737714975773821880596214216321754522374000000]
[679570582887258757411768474851607821995724364428770751299862667115510606768438674609827920076052496291645380000074009455320643192698019684199958382092680001378831484250765225744,908239486627216609895885725694726633792594278659312689293439627784931865099734414807843384629634268379446533463505086063568236333130552551198372453458918615994273415726948336025,1029022012013650416035897578178665404691456115991547013053866382943872286922609489604850909710306806822875129913665939168256433299991122032567282441962499952499290209244907776000,1375277929113117480778236745159095142373168547462440456159920776831007436468199105440591264540726317725794095553000523338324657721814899896884879915873308499647728214914211600000]
[371527675118299689259972607577075394077432991702833892910959059816795714439773277239861237904758824638028288196217526581697824633609035025567520639296710612714781094489781842112598352295781295619175594174302752615120675193907008507736501657430637093632873525400000,1267707033569748007331970602368905679563270047762976937366078125957696407140834348540057042829976121880131926027428524931093217939090775624236927281540487577794558927573532758790027080302226139408087265656015302752214066164243956515327277804056947556568562158464000,2951830787827436121899279529754798343541339281868306626449223135940724479302734270981913202700610768195927419265202967021228312296829811911797565203771763654128365023891206468788336575066067249639127326498325770351805172959414175063881002920778321626449009923304025,10072080499642583229167672029319817138591111780149532902029874317319037410092316830504952718759614387417010329245798313020875968134185884041916795071348860812397504209279582411702861042135506090549966344626011045988765450334087467347405958329745751736144252650878544]
[128843612021545473230478409159593506397782400351375721685369586544630343950708043522750563315300070120353674687766689291428975178837728805729902465363349517258951857972810122318734458011208716598132336579249666205364170411479828159982983836243583244463142151649333970080816545953443795518753494504440572533843907437647494488059144856766697066836877259095686419089400000,1224944626006903798100968266365279489362480911402776079979093058666253730953517482470097545846624658691595584807740671620384978689906169229322137773902963628704359226404351318434357592457701357475168357021885652809016489758833752150654362521113208696376787254107583007588545149463268119079150877461771341505514354827696456693546736494582260707356012741839581258294246400,1848526790448994995797718273597063694417581824323203611411810255882845205944294879952442230603271470055466238596896705332706402790300903016836973292663805567343166169211400905615726341394729819229032950271302144274554375380449608578337025674429955031260471082883911319763410745186507624019705675560706246517115151547233262485121226780755628702638070865925761630456849625,17574351746764431579625956061023503232175378957430267300726233505258179532580691164031078549036101631462722428122944601958377382147155007332146577278061241051974794420773922688209749000978794861218067193429512044996004012790792329639007412170085039826727465869421673355466449407229264484730660250905030334476502049281947687981068323609179545934729044321632688620116913104]
[1470002466539754483473776913314055867554446370395342510449053312302154796592877112303269580444346331005466822319578619768421600961683040805553593701012038102087268770441954435071768989364483211606753180968985455457096766285983633423043600825317532009079207209890078606455593450660180718717103068200036739421660792633111832735954023934600815674222440317611693684882230394114259528677609384013563130145774912916252890590487647258785817650755686640786769121747480081565425303215882110811737440000,2397843009425514045390109124565792621372204192518836291996599606642166107493397007306128562609379877838104669057034972867615940629401667837850425943364736512370028938207607165044528180469087652586538286011993988932529325133386280169985953398981514747894239765256156246578429076917586471564532846778672488801706293519195140783859714753912778925867476575461811197753132394767867936769597501396094192282147413615385264833757387922334405095555962314979926445672174211451771432550000234541146828800,2989130595772675050435350548981924477637893448456948286405709773902037292231647699234757355142807185449948192889030383736867560332541579214950881485610191269658075882277398477606744420913548867009669952033704438682219897134568630597095926863543078866810250030000750360157947441681971490915560042753172474325311612883379153708471912046993823688097777407478216186424867690120755085798784924751955109056077789106819341384178238742353760053701399314720875954554860097240286227682778722533466476825,4875818963899401872534367517950975359644816484598867598245527875719012820685201097812171425436887622849685519591872186375310930451768930337652217624345857504066419168283952395430134534324579806683991577254037646015314461012793971883197047981192141334035426334818940700673619231703038430179019717013156656037627432170811747181720280342747633504668973110026186419631425695346889507085728942543322010763613875746913171520911747982097302209673403759294638292911750783707270523180686201647498612624]
[83529500073293062784181141775948588718412827294277444544097678295165971499294667869415703602571481797074198171436970854227119054286218676472194854227583371744653587821204898349103952909546248414842370843919085275702808900286670870241546343575245589552088434547367225641584330914510937257485754160885081149309535818873297236673581259200882431329097349910832437260218335182107686798467599304786770439984693554286955308145168636549269070157169696009249157059711237200525251088724464348673095607282510004750250142996455641880130977416599571025259200822150560053262565660218521197199235981319704000457363219156246182259668297411462447504,224232157174798535807598882197937157412663259309691902639648641687315698064746867507592900011276053942933605581232734088062260987660737152585602824394294407865271482467856525308655182236448751819572259898037196222435149204348189271658853596108161888784886723319895854671635056368385814277020442282460165989669969503711228053141389372924880357543728851387251695267423498275559325460411424497940511847438948995114570748764793183111334592802522592595583050702168698172096567080771880581537651191944060023603530002738112266602910857223693838011438127398325024013590756986876173206997036875138202437411248737832320736987398236285684473625,392792919952139248222604933492607688615460764778026332215923494416560913103925642434656935233567034383060006932993856183047973926162214681235073362902472350812388601564617231479290720902846243284595525162656115663029714588022599560252784106948856002858954961292703391301563834564440931829774874907444924875963900112028204418639230612235510558565803028919583915683069242131732727174728575940220438612933317579456151788365848667069581254517201801086155601395678602144842714965303561251599422597430501969470936382208772877553462642681640540249910910436386517130754929327430749071677406111204093792611690332261791757373163866016342937600,1054439493670775566294615997233250848446526458791883758903440830015618410124964411449304546482967529132202269957581034121344825580054729241493145156034688323120048193818546565891964655627995799253376378768124061253527505510251274132542586086017643686618721485270738636629974093323788414361351286080797292334362576122779081101941146797630112389216244612497066026854337819793666480672934391612319148609232256600094462096247248224148769841633721936914947049054328284083543062903626945008228898902884415612946510888747460760955309261654372575918862431121384760408128198341812878177758162781059238206411906803069999259681678324660055200000]
[591220693505930594391703094294760706589165209120477926535854639094166414046764774534283796315633284247330407040918985751804974005378364720319310553228893880575662871578385056550351698161430993641523273826693364426483533510333361439531926675365469865934692547801054036674788879883471341332991149069392533644751768830552991343497682366417674072447298764340753699401884580116161972727602088548091605059712102456778254745802839049244919859040373937732749403144018391611404478856943025662807431475382007002464418325802815529892052236808963040152038086040621890536442027878239729630809200766148956804084442344712091355886040588334205928951377914381493329720458395282157219923606257819881187371591249513056614340691398769938022080596773834812429896285979122513276802678961362185924238799776644656,6552025332907699084239083012769136812345005324382036721492195802036416785702889768862856628617033967858002337050950006366752974415783882987567217840450340364296103559909357067995476364960893207894338133238335680849988145052792659095842696347167499668698223679268124281391902468082417670151545911427456434704409743332549835733956998763163340961070637734554005661197565780802143004085394637368076245709522358025760795299473830277665503750575779586816708821882801486835560542044718760494757008314467893101807076559455842965045014659015846035142850056773754467896234692779570280246205408748412015440183664651610639978514694774523786532508676586437282655480244948909551845618862293956426660337805426283473138427901353806845704735044806364549856523744628000349322157124819788115367455520335687975,6979905441442400888494102161689065005150580836094746147797389075701088597946798821208893416700772734248068909322316382181206693890969280049984119912882896447003819315432307174916859835866610273649059397854850967762212705518937145479940587883319357866873458060270477497187766807059686671395885723856374639254116128068576078436634399396018636464086540269492047273028737612133773360423449720160039522385337024175061634974074789044265746452500357259745430336858297805509115603124336943030598507454304104079645625458680756309328930133620494440622188370675407381981937361269535289735137566952859885988007397607833835064530303619113672114102625740954386003672002242330071555785698215428602000444533910299974906401856363181997330454084421473336619321738294519099043089721471076386777889650097792000,77352700566750645248551443510584481762185411075225791400572154256673864595775441504278996464714933319883639972069095412284442715441519854375976394905970550152511892890389600982624704818604989060048446505270061731579793365782830312916979790492238829538958194271941292207944106144935049665980215070165474452356357250439932274279108771030470515896458046538964511201741622963194716286843341410813855219166677939019958943629837208245079081310678174298465172151204713532293930117316817826643240339352744696762703145298663996290501869768776358100254583256066550364761829003444608353461726339273177195422296076269688084892053150159017555875529723491394518146996485426258073572166662276237883898734683329207604123878713051085797860608787578511413670973695654589509307019155674017346432949381920200000]
[163067653642013471556993152149870171258331846820837877202152300285560526129195018019762819231346755804512107210088777360073401887570332264792057406586709252081048948143388510739669922272613605840563657580700831310101571184226519603607113805947207318724727710313429016090776662475021402540977506038830901745627180350562623815504341682664858763301323529736130092416135425534975463260744586438716487282527777703238875811067654720739029853640796844425324372339943046608027941685338013838391557765977828791667341248185099841734293389314746099310686500419555029881522285490730455512180494659447730053765356006483750955761471945918162223841891866053252416085198962110238491932245628624532046294758104654973952345800766565223536918561524223715096143636226550973310342256612093378177631741870673175493043099740808397408029569837401444461232092136600239236368125552908177144684675545819610849302803768569932205141905290547123983827605309993765739377039900642195573087233060944,327510468825108755132811419757117613919385941163406139648639426977515675266910728306152044159779348149351134320624417143461491479360489460575018565365849563710370214435614488553637847666606933210643198795762549188227344639982629196036354078448016085176610213596184576870404733113632314378688805845470650454301858972193549012593060834027289353245139755011306065464703005731571602470146188466346959579370866295767251613232847263438819854300232534734158071443603494770215403982996373265526901741626595319245966878483960156235624830481953871531639762929872230497363180738645091553727621998295943771245146669883326164485186983388449683586432277324789015597682731803416215302083589264480778425802817034628378477878196118823879916771393309606698967603163248652550132205835440896731095432087818439972185067489336406964157207555896879699207367414316166513194678692156023384854846227926315809946012913606113639709294900506878391757212742406645275164962626676644485462062248025,459379422157835618231754692741471555883298932892865767825292722981730137317480948520990069770741185738850838103385443333699770754897872069060664021418433668428370356245379498053184783918399555246486413460643571254180796725224502323396660555588813553175600256441783014511734262761342270932822037012889481173029424833721036534529328728109776049839429876612570107517572669156536278912714653520074137914377557403824001207406324726836257619138878710221257408342568975530528528176554721103022855951449890220400744997605619090842212127892073043796799517278355318103033337699367301576731993939418976016684383651770458998431245088436204547241193912720161958110373820361646038843072210660700098825320324804421988711039534290561163367643202403728058634288773170248367988413651646361534040561664514627804263160218464085452641133441675026871408196487704066358029152593580989418269981938814162382301250892801770822917966544397620991098079354182944152898038840830819158673207168000,922632824838520203006906404539748876970470679182525335499675285269835827540479486457229846750486940320030400998792288215845890514665656089669375233449593695256729764967634965457060275082939108767020574050415518409993455195219708817202479114278200734398910357104076016904834753245830752292784917563163366685497959712960951941857244752579982135684434630159410974640664686862771999569938945148185034492166318485645753473506884909908271379111398815231016552877984215787431537040234097382368254014560007422318863214325855305068236222397032531558006685466817614490182389584490385244685677040316395787495361022153636079290766630993230238493318885930600564958299632205642275528340087866755331795978949408985147288810074434430289595583144605854127823745339699365221194013633436855442595688232443217405812913860583825501696982939483572173108867599314542342614695225115981497155857240533607106068974528736917580423853959357801356030996993825247275119558894170241690783427800000]
