15 -53 90 -31 7
15 -21 57 -1 13
15 94 43 -46 9
14 -71 58 -9 11
14 -52 87 32 13
14 100 47 44 13
13 -95 61 12 9
13 -32 99 -75 13
13 39 21 -72 7
9 28 93 -58 7
9 46 51 40 9
9 91 24 15 7
9 93 80 -95 13
10 -92 47 31 44
10 -24 49 -53 11
10 42 44 58 22
10 49 26 -78 22
10 79 35 -74 7
10 95 74 75 44
10 96 35 -42 13
5 78 91 -40 11
5 84 6 -92 7
4 -100 16 45 9
4 -97 96 -9 33
4 -69 14 -3 7
2 40 45 61 44
0 -63 23 83 11
0 -11 49 53 22
0 71 9 -89 44
3 -22 9 6 7
3 12 21 68 7
3 84 46 54 13
12 -96 65 12 7
12 -71 59 53 22
12 -9 25 -71 13
11 95 22 8 44
8 -40 55 -30 33
8 36 88 17 7
8 87 77 11 22
7 -95 82 58 13
7 -93 75 -65 44
1 -80 75 -16 11
1 6 11 42 7
1 18 58 -35 33
1 99 58 -10 13
19 -47 77 -37 22
19 61 59 -64 13
16 -99 29 -51 44
16 23 87 13 13
17 -5 47 4 9
17 69 29 78 7
17 85 60 66 33
17 96 41 -63 13
18 -74 47 44 22
20 -71 92 -25 22
21 -49 98 -9 13
21 -16 94 32 9
23 -59 83 -3 22
23 -50 32 72 33
23 77 39 72 9
22 -59 73 -84 11
22 0 30 -30 11
22 0 61 34 11
24 5 38 62 44
24 8 84 52 33
24 21 34 68 7
24 43 56 -29 11
24 52 80 55 13
25 60 37 23 13
34 -71 81 -23 13
34 -68 48 11 13
32 -17 57 -21 22
32 34 57 -47 11
32 50 77 28 13
40 40 79 41 9
35 -67 42 82 9
35 -28 48 -54 33
36 -45 93 62 33
33 29 81 95 7
38 -70 60 -83 9
38 -47 70 92 13
38 -43 85 39 33
38 -41 82 20 9
37 -2 43 61 33
37 9 81 -85 11
41 83 58 -50 7
26 64 30 -8 9
27 -12 62 -49 22
28 78 70 -63 22
28 87 64 61 33
31 -82 43 -61 7
31 -58 93 -11 13
31 69 63 36 9
29 30 51 31 33
29 82 67 39 33
30 19 56 41 9
49 57 77 -80 33
50 -31 84 -55 22
48 -37 69 37 11
48 41 92 -52 33
47 -57 68 100 11
46 20 76 -90 13
46 64 85 64 22
51 -96 52 48 9
51 -65 54 -95 22
45 57 75 -74 11
43 57 47 96 11
67 -28 82 -26 33
66 79 78 -82 7
65 44 81 -21 7
64 0 80 55 7
58 -44 85 -88 13
61 74 75 -29 13
62 -27 97 -11 44
62 4 84 16 7
63 -49 84 -33 9
60 -30 67 -41 33
54 87 59 -74 7
55 -98 72 30 7
55 2 66 -44 44
52 -68 89 45 7
52 85 87 49 44
76 84 87 -56 9
73 33 85 25 9
73 52 99 -21 9
73 99 96 10 22
71 -53 84 64 33
71 -37 80 94 22
71 -31 82 -13 13
92 14 99 10 22
83 -76 99 -5 11
83 100 97 58 22
89 49 94 68 22
80 55 83 56 13
84 -66 100 -18 13
84 -52 88 -97 9
78 75 93 -58 44
