DONE
height 30
params 1111
checked 1234321
survivors 318
require_rational_open True
rejected_at 7 231840
rejected_at 11 179260
rejected_at 13 177802
rejected_at 17 260662
rejected_at 19 148598
rejected_at 23 110350
rejected_at 29 63148
rejected_at 31 35040
rejected_at 37 12884
rejected_at 41 4196
rejected_at 43 1116
