1031	53	89	OK	1049375	1078271	14	861
1031	175	277	OK	1104529	1026097	-38	2351
1031	371	571	OK	1096177	1034257	-30	2255
1031	641	971	OK	1046457	1083609	18	2071
1031	985	446	OK	1095817	1033897	-30	1895
1031	372	27	OK	1062632	1062632	0	-330
1031	864	745	OK	1174928	960272	-104	4638
1031	399	538	OK	1061980	1061980	0	-982
1031	8	437	OK	1064054	1064054	0	1092
1031	722	442	OK	1074791	1054151	-10	1509
1031	479	553	OK	1063773	1063773	0	811
1031	310	770	OK	1067356	1059100	-4	266
1031	215	62	OK	1061122	1061122	0	-1840
1031	194	491	OK	1062950	1062950	0	-12
1031	247	1026	OK	1051324	1076092	12	746
1031	374	636	OK	1056496	1073008	8	1790
1031	575	352	OK	1098272	1032224	-32	2286
1031	850	174	OK	1062637	1062637	0	-325
1031	168	102	OK	1062058	1062058	0	-904
1031	591	136	OK	1063422	1063422	0	460
1031	57	276	OK	1063096	1063096	0	134
1031	628	522	OK	1052676	1077444	12	2098
1031	242	874	OK	1045071	1082223	18	685
1031	961	301	OK	974167	1159927	90	4085
1031	723	865	OK	1039600	1089136	24	1406
1031	559	504	OK	1121319	1009863	-54	2629
1031	469	249	OK	1063219	1063219	0	257
1031	453	100	OK	1064493	1064493	0	1531
1031	511	57	OK	1066289	1062161	-2	1263
1031	643	120	OK	1062013	1062013	0	-949
1031	849	289	OK	1063587	1063587	0	625
1031	98	564	OK	1056496	1073008	8	1790
1031	452	945	OK	1038199	1091863	26	2069
1031	880	401	OK	1061124	1061124	0	-1838
1031	351	994	OK	1062891	1062891	0	-71
1031	927	662	OK	1114254	1015182	-48	1756
1031	546	436	OK	1062524	1062524	0	-438
1031	239	316	OK	1062964	1062964	0	2
1031	6	302	OK	1061848	1061848	0	-1114
1031	878	394	OK	1064148	1064148	0	1186
1031	793	592	OK	1062432	1062432	0	-530
1031	782	896	OK	1110524	1019708	-44	2154
1031	845	275	OK	1063224	1063224	0	262
1031	982	791	OK	1061724	1061724	0	-1238
1031	162	382	OK	1089136	1039600	-24	1406
1031	447	79	OK	1121353	1009897	-54	2663
1031	806	913	OK	1062324	1062324	0	-638
1031	208	822	OK	1136156	995804	-68	3018
1031	715	837	OK	1064376	1064376	0	1414
1031	265	958	OK	1063490	1063490	0	528
1031	920	154	OK	1062240	1062240	0	-722
1031	618	487	OK	1063149	1063149	0	187
1031	390	926	OK	1064636	1064636	0	1674
1031	236	440	OK	1080542	1047518	-16	1068
1031	156	60	OK	1063371	1063371	0	409
1031	150	817	OK	1085252	1043972	-20	1650
1031	218	649	OK	1042433	1087841	22	2175
1031	360	587	OK	1064388	1064388	0	1426
1031	576	631	OK	1063446	1063446	0	484
1031	866	781	OK	1062718	1062718	0	-244
1031	199	6	OK	1062436	1062436	0	-526
1031	637	368	OK	1073054	1056542	-8	1836
1031	118	836	OK	1063806	1063806	0	844
1031	704	379	OK	1183736	952568	-112	5190
1031	333	28	OK	1030025	1100201	34	2151
1031	36	814	OK	1064390	1064390	0	1428
1031	844	675	OK	1085714	1044434	-20	2112
1031	695	642	OK	1061732	1061732	0	-1230
1031	620	715	OK	1062341	1062341	0	-621
1031	619	894	OK	1063490	1063490	0	528
1031	692	148	OK	1084964	1043684	-20	1362
1031	839	539	OK	1063549	1063549	0	587
1031	29	5	OK	1094108	1036316	-28	2250
1031	324	608	OK	1062932	1062932	0	-30
1031	693	286	OK	1063389	1063389	0	427
1031	105	70	OK	1142729	989993	-74	3399
1031	622	991	OK	1181537	954497	-110	5055
1031	182	987	OK	1063528	1063528	0	566
1031	847	58	OK	1064445	1064445	0	1483
1031	555	266	OK	1096736	1030688	-32	750
1031	337	580	OK	1062117	1062117	0	-845
1031	193	1000	OK	1062069	1062069	0	-893
1031	123	495	OK	1085756	1044476	-20	2154
1031	127	96	OK	1064717	1064717	0	1755
1031	205	834	OK	1063365	1063365	0	403
1031	357	647	OK	1074311	1053671	-10	1029
1031	583	566	OK	1062988	1062988	0	26
1031	883	591	OK	1074791	1054151	-10	1509
1031	226	722	OK	1036036	1093828	28	1970
1031	674	959	OK	1063834	1063834	0	872
1031	165	271	OK	1061732	1061732	0	-1230
1031	761	720	OK	1024094	1106654	40	2412
1031	400	244	OK	1024144	1106704	40	2462
1031	113	905	OK	1062924	1062924	0	-38
1031	931	641	OK	1056272	1072784	8	1566
1031	792	483	OK	1064376	1064376	0	1414
1031	727	431	OK	1144772	987908	-76	3378
1031	736	485	OK	1063835	1063835	0	873
1031	819	645	OK	1149056	983936	-80	3534
1031	976	911	OK	1063258	1063258	0	296
1031	176	252	OK	1063776	1063776	0	814
1031	481	730	OK	1106542	1023982	-40	2300
1031	860	283	OK	1063308	1063308	0	346
1031	282	973	OK	990007	1142743	74	3413
1031	809	738	OK	1063192	1063192	0	230
1031	379	609	OK	1062966	1062966	0	4
1031	23	586	OK	1064686	1064686	0	1724
1031	772	669	OK	1061952	1061952	0	-1010
1031	564	858	OK	1063691	1063691	0	729
1031	430	122	OK	1058263	1070647	6	1493
1031	370	523	OK	1157758	976126	-88	3980
1031	384	1030	OK	1062436	1062436	0	-526
1031	472	612	OK	1063514	1063514	0	552
1031	634	300	OK	1003932	1127772	60	2890
1031	870	94	OK	1063027	1063027	0	65
1031	149	1025	OK	1112633	1017689	-46	2199
1031	991	112	OK	1051524	1076292	12	946
1031	492	330	OK	1071728	1055216	-8	510
1031	67	654	OK	1062682	1062682	0	-280
