1009	6	4	9	4	4	14
1009	682	497	222	934	589	18
1009	666	181	904	72	326	7
1009	771	857	503	332	460	0
1009	44	363	390	596	560	0
1009	272	130	869	836	509	0
1009	91	158	337	437	888	0
1009	799	586	500	174	737	0
1009	658	531	290	892	482	0
1009	912	453	604	556	268	0
1009	615	829	544	336	753	0
1009	624	120	888	274	732	0
1009	812	386	46	106	611	0
1009	379	330	966	194	575	0
1009	541	305	326	204	187	0
1009	454	136	13	864	754	0
1009	969	935	232	297	534	0
1009	180	479	830	617	348	0
1009	981	162	803	227	386	0
1009	854	716	50	593	110	0
1009	207	522	136	775	257	0
1009	418	599	346	34	443	0
1009	104	87	483	918	45	0
1009	23	141	325	367	581	0
1009	31	187	410	124	74	0
1009	912	500	751	445	449	0
1009	135	422	402	46	740	0
1009	737	136	832	65	882	0
1009	238	736	168	664	562	0
1009	836	613	303	629	51	0
1009	778	787	713	467	502	0
1009	309	999	669	674	85	0
1009	525	1006	949	654	718	0
1009	352	260	332	289	624	0
1009	634	742	826	418	633	0
1009	137	780	428	898	832	0
1009	215	803	100	125	744	0
1009	459	433	745	1005	845	0
1009	436	905	256	879	397	0
1009	711	274	267	876	455	0
1009	295	648	187	347	626	0
1009	930	922	628	818	630	0
1009	639	7	907	1004	398	0
1009	1	449	341	822	116	0
1009	552	501	930	868	159	0
1009	373	445	949	438	186	0
1009	980	674	514	798	537	0
1009	829	709	180	870	536	0
1009	842	864	1008	959	924	0
1009	894	234	376	817	878	0
1009	438	845	601	462	598	0
1009	335	512	609	19	387	0
1009	315	830	617	992	987	0
1009	441	446	913	740	30	0
1009	962	777	856	867	218	0
1009	903	186	688	113	193	0
1009	506	670	432	898	965	0
1009	358	97	246	26	718	0
1009	211	285	857	820	788	0
1009	200	300	734	655	531	0
1009	378	547	378	614	631	0
1009	923	809	932	584	40	0
1009	993	869	628	610	909	0
1009	203	385	319	789	66	0
1009	163	313	941	77	406	0
1009	406	956	335	461	476	0
1009	949	996	51	191	946	0
1009	77	400	628	246	999	0
1009	970	259	465	394	498	0
1009	280	602	890	808	611	0
1009	869	851	993	538	261	0
1009	575	550	363	379	263	0
1009	961	368	649	268	356	0
1009	814	614	613	717	510	0
1009	205	649	615	212	520	0
1009	351	707	834	224	798	0
1009	692	681	674	597	691	0
1009	358	136	339	629	427	0
1009	298	873	847	927	760	0
1009	53	132	256	539	516	0
1009	524	798	266	954	494	0
1009	315	921	965	733	436	0
1009	830	470	686	128	719	0
1009	12	799	864	93	301	0
1009	679	430	925	1007	130	0
1009	601	502	533	866	26	0
1009	600	207	290	282	888	0
1009	373	71	839	236	223	0
1009	530	603	816	144	357	0
1009	258	163	936	838	775	0
1009	649	908	921	954	677	0
1009	303	744	979	420	28	0
1009	140	444	783	936	954	0
1009	746	712	411	339	926	0
1009	79	232	372	781	390	0
1009	767	565	267	324	272	0
1009	714	299	1000	77	929	0
1009	557	23	719	997	952	0
1009	627	81	625	142	997	0
1009	109	176	125	68	843	0
1009	964	910	421	454	323	0
1009	484	320	684	973	398	0
1009	7	503	998	719	941	0
1009	390	336	467	12	81	0
1009	942	539	390	934	548	0
1009	95	113	741	169	415	0
1009	856	299	496	919	242	0
1009	482	707	29	971	882	0
1009	299	54	504	137	641	0
1009	547	441	798	503	263	0
1009	318	894	40	445	580	0
1009	956	159	604	326	381	0
1009	635	285	407	173	517	0
1009	643	671	144	780	138	0
1009	733	225	45	455	955	0
1009	981	194	335	912	216	0
1009	646	28	825	416	552	0
1009	80	480	319	477	930	0
1009	762	649	745	396	239	0
1009	858	415	563	869	62	0
1009	631	189	766	564	991	0
1009	399	880	303	282	637	0
1009	340	561	648	767	846	0
1009	95	131	367	121	110	0
1009	706	708	460	860	320	0
1009	669	90	451	817	927	0
1009	961	85	108	834	541	0
1009	296	380	770	62	802	0
1009	351	75	86	623	948	0
1009	36	158	49	752	283	0
1009	740	857	526	232	59	0
1009	297	685	623	627	451	0
1009	636	7	578	427	689	0
1009	439	493	953	488	320	0
1009	470	147	453	745	786	0
1009	640	503	983	968	148	0
1009	389	676	598	299	176	0
1009	791	707	890	639	117	0
1009	486	489	703	823	288	0
1009	446	655	666	48	499	0
1009	714	128	477	575	145	0
1009	21	471	145	311	672	0
1009	21	878	397	405	710	0
1009	1005	768	827	546	223	0
1009	637	682	469	708	755	0
1009	534	1004	360	671	730	0
1009	411	181	66	516	796	0
1009	730	145	371	99	81	0
1009	146	360	297	888	815	0
1009	72	288	863	705	353	0
1009	170	7	364	938	919	0
1009	336	982	418	777	713	0
1009	505	872	678	198	663	0
1009	385	444	117	515	585	0
1009	632	135	111	120	842	0
1009	372	938	839	578	248	0
1009	124	404	687	743	151	0
1009	653	333	640	815	641	0
1009	349	750	363	813	501	0
1009	659	137	738	239	79	0
1009	738	404	597	59	20	0
1009	231	3	536	167	411	0
1009	380	221	380	498	350	0
1009	779	617	161	787	660	0
1009	769	504	750	510	845	0
1009	465	414	721	92	270	0
1009	355	891	136	597	763	0
1009	370	932	620	107	996	0
1009	619	503	665	892	109	0
1009	408	513	671	270	113	0
1009	611	441	353	586	369	0
1009	921	30	656	603	222	0
1009	545	346	874	493	442	0
1009	501	434	767	32	474	0
1009	450	685	519	972	951	0
1009	68	701	978	390	589	0
1009	662	295	979	177	66	0
1009	326	311	306	491	357	0
1009	275	545	690	427	454	0
1009	188	628	522	771	285	0
1009	47	35	797	130	626	0
1009	459	928	395	147	139	0
1009	337	241	418	811	312	0
1009	668	180	935	886	399	0
1009	169	980	505	554	158	0
1009	538	33	68	555	668	0
1009	577	584	432	561	747	0
1009	387	219	646	883	635	0
1009	934	249	657	855	832	0
1009	818	713	597	985	32	0
1009	888	653	846	665	232	0
1009	790	197	373	774	26	0
1009	734	691	464	601	834	0
1009	407	937	895	276	668	0
1009	925	772	112	574	1	0
1009	173	751	902	661	257	0
1009	833	176	925	511	804	0
1009	6	566	708	999	203	0
1009	262	114	102	434	476	0
1009	287	919	371	836	116	0
1009	9	558	610	542	875	0
1009	995	133	350	521	723	0
1009	128	508	921	765	442	0
1009	148	756	223	111	412	0
1009	674	843	414	547	837	0
1009	844	619	868	1005	655	0
1009	691	105	400	133	864	0
1009	942	633	606	475	326	0
1009	194	248	425	917	633	0
1009	719	547	437	351	770	0
1009	442	643	900	144	894	0
1009	380	273	190	411	219	0
1009	616	64	301	633	621	0
1009	606	762	65	192	707	0
1009	55	83	476	561	76	0
1009	483	808	125	910	474	0
1009	1001	341	172	333	722	0
1009	449	248	684	940	624	0
1009	406	175	659	697	374	0
1009	42	444	125	678	472	0
1009	678	881	731	239	633	0
1009	300	119	183	902	162	0
1009	954	383	305	331	981	0
1009	564	940	191	822	880	0
1009	680	446	649	121	604	0
1009	303	400	407	44	136	0
1009	461	807	801	62	821	0
1009	915	834	75	770	239	0
1009	106	744	498	399	608	0
1009	777	741	633	205	584	0
1009	50	541	651	414	58	0
1009	679	907	520	374	878	0
1009	601	62	874	195	135	0
1009	177	763	599	643	468	0
1009	431	236	789	507	21	0
1009	456	589	88	731	716	0
1009	810	279	540	976	767	0
1009	393	618	287	673	249	0
1009	933	226	810	958	907	0
1009	331	281	130	996	483	0
1009	813	843	896	443	72	0
1009	714	302	375	598	487	0
1009	8	938	598	628	656	0
1009	124	552	790	469	778	0
1009	63	502	807	292	414	0
1009	640	470	281	518	248	0
1009	203	936	254	609	479	0
1009	814	203	257	922	723	0
1009	973	173	893	615	842	0
1009	991	452	325	236	580	0
1009	927	186	893	344	336	0
1009	500	500	583	913	633	0
1009	566	280	952	584	784	0
1009	51	451	504	257	132	0
1009	215	943	309	43	268	0
1009	649	300	798	752	375	0
1009	921	237	492	744	710	0
1009	989	179	414	662	61	0
1009	926	615	795	188	345	0
1009	826	645	427	450	935	0
1009	398	53	253	685	128	0
1009	919	699	493	664	256	0
1009	229	278	55	345	846	0
1009	532	639	32	498	223	0
1009	995	320	34	85	710	0
1009	289	866	754	524	205	0
1009	91	772	800	629	689	0
1009	239	898	422	515	820	0
1009	751	796	865	235	514	0
1009	355	240	172	543	514	0
1009	741	420	705	94	988	0
1009	215	290	127	649	796	0
1009	598	647	102	951	5	0
1009	676	366	245	163	145	0
1009	189	936	97	903	792	0
1009	543	624	864	296	822	0
1009	823	968	97	299	46	0
1009	629	699	535	814	977	0
1009	728	245	463	32	859	0
1009	3	64	699	198	944	0
1009	193	247	432	933	104	0
1009	224	268	563	899	403	0
1009	371	56	937	39	871	0
1009	718	708	365	918	92	0
1009	212	821	667	264	547	0
1009	682	838	558	991	239	0
1009	625	807	397	540	1006	0
1009	554	366	623	646	969	0
1009	508	304	56	54	842	0
1009	627	871	916	667	78	0
1009	882	524	376	700	194	0
1009	850	576	173	37	606	0
1009	34	346	517	208	552	0
1009	583	844	20	307	287	0
1009	833	822	593	139	321	0
1009	621	504	729	106	497	0
1009	660	579	791	251	58	0
1009	133	512	785	542	177	0
1009	751	724	562	124	10	0
1009	92	89	137	563	807	0
1009	723	800	242	230	661	0
1009	1000	37	178	495	597	0
1009	858	651	890	960	669	0
1009	435	976	902	573	26	42
1009	131	274	220	1000	288	99
1009	112	574	522	5	342	103
1009	981	229	996	347	345	193
1009	450	941	686	719	206	161
1009	469	982	454	631	857	13
1009	489	36	6	42	435	9
1009	995	762	401	35	619	131
1009	599	64	437	309	955	195
1009	135	335	391	883	427	133
2003	6	4	9	4	4	14
2003	677	1940	888	1669	123	18
2003	661	736	1565	220	1012	7
2003	365	1203	1154	1603	694	0
2003	1007	23	25	1150	61	0
2003	1796	200	1723	404	930	0
2003	47	1444	1549	449	490	0
2003	728	890	1150	882	974	0
2003	1934	1099	952	1783	446	0
2003	1152	1991	1730	594	622	0
2003	1090	1985	1075	1262	390	0
2003	1450	779	896	357	454	0
2003	352	1069	372	227	71	0
