source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 61880, 65280, 46920, 59670 ] | perm=[ 3, 4, 1, 2 ] | eps=[-1,-1,1] | full=false | rho=-91/96 sigma=-8/9 tau=13/21 | intermediate=169/324 | F=[85/9072,-7599085/254803968,-8993/183708,830297/9335088] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 61880, 65280, 46920, 59670 ] | perm=[ 3, 4, 1, 2 ] | eps=[-1,1,-1] | full=false | rho=-91/96 sigma=8/9 tau=-13/21 | intermediate=169/324 | F=[85/2268,-14365/3145728,-4913/183708,2873/28812] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 61880, 65280, 46920, 59670 ] | perm=[ 3, 4, 1, 2 ] | eps=[1,-1,-1] | full=false | rho=91/96 sigma=-8/9 tau=-13/21 | intermediate=169/324 | F=[187/2268,9133267/254803968,1615/183708,272935/2333772] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 61880, 65280, 46920, 59670 ] | perm=[ 3, 4, 1, 2 ] | eps=[1,1,1] | full=false | rho=91/96 sigma=8/9 tau=13/21 | intermediate=169/324 | F=[54043/9072,16717987/3145728,854335/183708,272935/115248] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 61880, 65280, 59670, 46920 ] | perm=[ 3, 4, 2, 1 ] | eps=[-1,-1,1] | full=false | rho=-91/96 sigma=-13/21 tau=8/9 | intermediate=169/324 | F=[85/2268,-14365/3145728,2873/28812,-4913/183708] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 61880, 65280, 59670, 46920 ] | perm=[ 3, 4, 2, 1 ] | eps=[-1,1,-1] | full=false | rho=-91/96 sigma=13/21 tau=-8/9 | intermediate=169/324 | F=[85/9072,-7599085/254803968,830297/9335088,-8993/183708] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 61880, 65280, 59670, 46920 ] | perm=[ 3, 4, 2, 1 ] | eps=[1,-1,-1] | full=false | rho=91/96 sigma=-13/21 tau=-8/9 | intermediate=169/324 | F=[187/2268,9133267/254803968,272935/2333772,1615/183708] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 61880, 65280, 59670, 46920 ] | perm=[ 3, 4, 2, 1 ] | eps=[1,1,1] | full=false | rho=91/96 sigma=13/21 tau=8/9 | intermediate=169/324 | F=[54043/9072,16717987/3145728,272935/115248,854335/183708] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 65280, 61880, 46920, 59670 ] | perm=[ 4, 3, 1, 2 ] | eps=[-1,-1,1] | full=false | rho=-96/91 sigma=-9/8 tau=21/13 | intermediate=324/169 | F=[85/4732,-4856220/68574961,-728433/4845568,132651/114244] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 65280, 61880, 46920, 59670 ] | perm=[ 4, 3, 1, 2 ] | eps=[-1,1,-1] | full=false | rho=-96/91 sigma=9/8 tau=-21/13 | intermediate=324/169 | F=[85/1183,-743580/68574961,-397953/4845568,37179/28561] | q=[0,0,0,0]
source=[ 46920, 59670, 61880, 65280 ] | ordered=[ 65280, 61880, 46920, 59670 ] | perm=[ 4, 3, 1, 2 ] | eps=[1,-1,-1] | full=false | rho=96/91 sigma=-9/8 tau=-21/13 | intermediate=324/169 | F=[187/1183,5836644/68574961,130815/4845568,43605/28561] | q=[0,0,0,0]
