101	89	27	35	48	61	5	98	58	84	12056	0	1	12	27	69	1	30	28	25
101	37	72	52	47	5	0	31	45	27	9883	0	1	64	72	0	1	14	67	18
101	62	5	12	12	4	39	43	1	42	10423	0	1	39	5	47	1	2	38	100
101	49	98	24	76	26	4	79	23	14	10385	1	1	52	98	90	1	76	11	49
101	6	49	36	6	69	10	80	33	68	328	0	1	95	49	23	1	22	7	89
101	87	85	8	26	23	19	62	82	67	12623	0	1	14	85	87	0	1	68	66
101	47	32	75	97	83	16	73	2	58	5006	0	1	54	32	80	1	77	65	96
101	95	44	71	40	49	49	36	11	46	3152	0	1	6	44	62	1	10	75	82
101	87	34	91	3	81	83	54	19	91	2437	0	1	14	34	84	1	15	23	3
101	99	19	20	54	11	84	0	45	97	5220	0	1	2	19	73	1	75	32	55
101	81	91	26	34	56	17	66	46	30	10044	1	1	20	91	80	1	25	66	2
101	50	36	62	19	59	98	44	63	66	11377	1	1	51	36	60	1	30	25	44
211	62	57	164	150	160	90	115	108	104	22937	0	1	149	57	157	1	43	34	10
211	69	147	30	198	18	189	8	156	99	40723	0	1	142	147	113	1	189	131	175
211	70	170	182	117	42	144	69	37	33	11813	0	1	141	170	136	1	50	83	70
211	181	161	186	208	35	25	99	176	87	45230	0	1	30	161	75	1	36	87	209
211	122	175	205	143	39	107	140	146	76	42247	0	1	89	175	207	1	184	197	22
211	165	24	9	104	192	114	2	44	20	44843	0	1	46	24	115	1	47	42	63
211	155	130	178	71	48	54	100	170	92	23335	0	1	56	130	85	1	202	151	113
211	0	178	58	173	153	14	40	193	22	46606	0	1	0	178	105	1	61	133	35
211	100	103	56	29	202	30	157	88	154	7053	0	1	111	103	31	1	44	203	27
211	199	154	158	60	62	8	34	178	81	11124	0	1	12	154	25	1	132	46	40
211	77	161	153	192	184	48	208	204	69	7161	1	1	134	161	183	1	159	55	6
211	42	187	84	114	124	170	168	150	83	40889	1	1	169	187	45	1	30	44	4
211	65	170	69	28	92	147	86	59	56	41881	1	1	146	170	105	1	209	163	25
1009	634	535	369	863	692	21	363	355	814	505626	0	1	375	535	736	1	637	387	918
1009	767	56	357	49	86	757	204	980	83	1074237	0	1	242	56	308	1	678	173	697
1009	147	147	914	259	710	279	33	649	10	515421	0	1	862	147	648	1	667	617	310
1009	886	875	814	451	268	881	444	77	708	960325	0	1	123	875	988	1	35	492	513
1009	612	43	106	990	210	579	11	91	267	1018349	0	1	397	43	444	1	120	5	741
1009	768	326	414	706	191	809	360	44	636	106062	0	1	241	326	403	1	855	978	177
1009	840	90	11	128	152	736	439	614	680	75473	0	1	169	90	959	1	812	540	414
1009	273	212	720	937	566	633	1	355	238	1012102	0	1	736	212	154	1	583	936	709
1009	47	38	694	534	153	160	812	702	817	523094	1	1	962	38	654	1	468	80	512
1009	854	635	22	166	976	785	766	247	706	990895	0	1	155	635	973	1	56	529	237
1009	833	354	682	843	115	667	140	251	69	336567	1	1	176	354	19	1	748	634	235
1009	465	7	129	781	746	425	193	873	718	31434	1	1	544	7	728	1	240	338	868
2003	425	669	507	1254	192	914	454	1294	519	46232	0	1	1578	669	1205	1	548	1255	1320
2003	625	982	1500	77	1885	1209	1959	1977	48	1366837	0	1	1378	982	899	1	730	1669	784
2003	692	1547	1351	303	1639	1685	588	272	366	2048844	0	1	1311	1547	703	1	836	420	1928
2003	337	983	260	1311	140	192	939	689	769	1016762	0	1	1666	983	1737	1	1099	459	1303
2003	1953	4	243	765	1960	1441	241	1598	871	3838868	0	1	50	4	856	1	417	334	1264
2003	405	1310	1064	557	121	778	1310	611	1224	582267	0	1	1598	1310	154	1	636	305	1156
2003	1222	90	542	1142	1914	1918	1278	1923	1939	4136335	0	1	781	90	1038	1	1895	1899	573
2003	1151	1482	1206	1491	45	746	1914	445	431	7272	0	1	852	1482	721	1	1122	1011	1916
2003	1472	1860	1767	1310	684	1034	978	1381	1999	3966088	0	1	531	1860	1484	1	1058	1607	977
2003	1035	217	1006	967	1121	1674	1720	938	10	1009143	1	1	968	217	1604	1	251	367	1120
2003	1152	935	1529	1111	1467	1662	1778	1687	1566	4062147	1	1	851	935	1274	1	638	1101	1567
2003	156	1555	158	621	288	312	1711	25	362	4007308	1	1	1847	1555	842	1	610	1476	23
