CONTACT6_M612_TB_RECOVERY_HEIGHT_SIEVE H=100000 modulus=111469 masks=23
SURVIVOR branch=-1 n=34751 d=51479
SURVIVOR branch=-1 n=74825 d=51612
SURVIVOR branch=-1 n=22886 d=51925
SURVIVOR branch=-1 n=3757 d=52668
SURVIVOR branch=-1 n=1853 d=53281
SURVIVOR branch=-1 n=52955 d=53341
SURVIVOR branch=-1 n=4182 d=53801
SURVIVOR branch=-1 n=95836 d=54529
SURVIVOR branch=-1 n=25459 d=54613
SURVIVOR branch=-1 n=31851 d=55022
SURVIVOR branch=-1 n=98830 d=55077
SURVIVOR branch=-1 n=81501 d=55504
SURVIVOR branch=-1 n=47882 d=55991
SURVIVOR branch=-1 n=18760 d=56443
SURVIVOR branch=-1 n=53719 d=56473
SURVIVOR branch=-1 n=98274 d=56579
SURVIVOR branch=-1 n=63495 d=56621
SURVIVOR branch=-1 n=25092 d=56687
SURVIVOR branch=-1 n=19401 d=56722
SURVIVOR branch=-1 n=99070 d=56969
SURVIVOR branch=-1 n=85463 d=57297
SURVIVOR branch=-1 n=78518 d=57583
SURVIVOR branch=-1 n=28901 d=57648
SURVIVOR branch=-1 n=3507 d=57872
SURVIVOR branch=-1 n=92858 d=58459
SURVIVOR branch=-1 n=12744 d=58873
SURVIVOR branch=-1 n=59902 d=59143
SURVIVOR branch=-1 n=68875 d=59848
SURVIVOR branch=-1 n=77913 d=60569
SURVIVOR branch=-1 n=7922 d=60573
SURVIVOR branch=-1 n=46330 d=60991
SURVIVOR branch=-1 n=62651 d=62169
SURVIVOR branch=-1 n=42818 d=63117
SURVIVOR branch=-1 n=14260 d=63121
SURVIVOR branch=-1 n=72167 d=63206
SURVIVOR branch=-1 n=53009 d=63375
SURVIVOR branch=-1 n=78754 d=64149
SURVIVOR branch=-1 n=40820 d=64209
SURVIVOR branch=-1 n=58261 d=64265
SURVIVOR branch=-1 n=35989 d=64732
SURVIVOR branch=-1 n=16031 d=64740
SURVIVOR branch=-1 n=55583 d=65204
SURVIVOR branch=-1 n=90323 d=65377
SURVIVOR branch=-1 n=40417 d=65433
SURVIVOR branch=-1 n=91825 d=65561
SURVIVOR branch=-1 n=51227 d=65694
SURVIVOR branch=-1 n=86329 d=66439
SURVIVOR branch=-1 n=2225 d=66441
SURVIVOR branch=-1 n=8322 d=66461
SURVIVOR branch=-1 n=1239 d=66992
SURVIVOR branch=-1 n=5032 d=67069
SURVIVOR branch=-1 n=92711 d=67599
SURVIVOR branch=-1 n=4223 d=68128
SURVIVOR branch=-1 n=87649 d=68322
SURVIVOR branch=-1 n=30627 d=69046
SURVIVOR branch=-1 n=62177 d=69071
SURVIVOR branch=-1 n=52823 d=69642
SURVIVOR branch=-1 n=79203 d=70529
SURVIVOR branch=-1 n=70125 d=70846
SURVIVOR branch=-1 n=3657 d=70960
SURVIVOR branch=-1 n=20746 d=71079
SURVIVOR branch=-1 n=2880 d=71111
SURVIVOR branch=-1 n=9130 d=71253
SURVIVOR branch=-1 n=21675 d=71764
SURVIVOR branch=-1 n=22861 d=72127
SURVIVOR branch=-1 n=99769 d=72127
