# height=80 primes=[7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43] params=7863
# u v
-80 -80
-80 0
-80 1
-80 78
-80 79
-80 79/2
-80 -1/31
-79 -79
-79 0
-79 1
-79 39
-79 77
-79 78
-79 -24/29
-79 39/40
-79 67/41
-78 -78
-78 0
-78 1
-78 76
-78 77
-78 77/2
-78 -79/68
-78 77/79
-77 -77
-77 0
-77 1
-77 38
-77 75
-77 76
-77 38/39
-77 -73/54
-76 -76
-76 0
-76 1
-76 74
-76 75
-76 -67/2
-76 75/2
-76 31/19
-76 32/29
-76 -47/32
-76 38/37
-76 69/37
-76 79/38
-76 11/42
-76 -61/43
-76 6/43
-76 15/61
-76 -47/66
-76 71/68
-76 29/69
-76 31/69
-76 -72/73
-76 -73/77
-76 75/77
-75 -75
-75 0
-75 1
-75 37
-75 73
-75 74
-75 -7/36
-75 37/38
-75 2/51
-74 -74
-74 0
-74 1
-74 72
-74 73
-74 73/2
-74 46/5
-74 -78/7
-74 -17/11
-74 -41/39
-74 14/57
-74 62/65
-74 -53/71
-74 73/75
-73 -73
-73 0
-73 1
-73 36
-73 71
-73 72
-73 -7/13
-73 -49/33
-73 36/37
-73 60/43
-73 -57/62
-73 -22/63
-73 29/74
-72 -72
-72 0
-72 1
-72 70
-72 71
-72 71/2
-72 -29/65
-72 71/73
-71 -71
-71 0
-71 1
-71 35
-71 69
-71 70
-71 35/36
-70 -70
-70 0
-70 1
-70 68
-70 69
-70 69/2
-70 69/71
-69 -69
-69 0
-69 1
-69 34
-69 67
-69 68
-69 64/21
-69 65/31
-69 34/35
-69 -41/38
-69 78/47
-68 -68
-68 0
-68 1
-68 66
-68 67
-68 67/2
-68 -14/5
-68 -67/13
-68 -45/43
-68 -57/58
-68 -62/67
-68 67/69
-68 -43/75
-67 -67
-67 0
-67 1
-67 33
-67 65
-67 66
-67 43/22
-67 33/34
-66 -66
-66 0
-66 1
-66 64
-66 65
-66 65/2
-66 -73/60
-66 65/67
-65 -65
-65 0
-65 1
-65 32
-65 63
-65 64
-65 36/19
-65 -25/21
-65 32/33
-65 -39/35
-65 72/41
-65 43/58
-64 -64
-64 0
-64 1
-64 62
-64 63
-64 63/2
-64 -43/29
-64 31/59
-64 63/65
-64 15/76
-63 -63
-63 0
-63 1
-63 31
-63 61
-63 62
-63 27/4
-63 36/31
-63 31/32
-62 -62
-62 0
-62 1
-62 60
-62 61
-62 61/2
-62 37/8
-62 56/33
-62 -41/61
-62 61/63
-62 17/76
-61 -61
-61 0
-61 1
-61 30
-61 59
-61 60
-61 30/31
-60 -60
-60 0
-60 1
-60 58
-60 59
-60 59/2
-60 -19/23
-60 59/61
-60 33/74
-59 -59
-59 0
-59 1
-59 29
-59 57
-59 58
-59 29/30
-59 -41/37
-59 17/58
-59 31/76
-58 -58
-58 0
-58 1
-58 56
-58 57
-58 57/2
-58 29/19
-58 -65/38
-58 57/59
-58 -31/69
-57 -57
-57 0
-57 1
-57 28
-57 55
-57 56
-57 46/17
-57 28/29
-57 62/43
-57 -43/77
-56 -56
-56 0
-56 1
-56 54
-56 55
-56 55/2
-56 5/44
-56 55/57
-55 -55
-55 0
-55 1
-55 27
-55 53
-55 54
-55 27/28
-55 -41/74
-54 -54
-54 0
-54 1
-54 52
-54 53
-54 37/2
-54 53/2
-54 69/2
-54 -56/15
-54 -23/45
-54 32/51
-54 -41/54
-54 27/55
-54 53/55
-54 -5/64
-54 -29/68
-53 -53
-53 0
-53 1
-53 26
-53 51
-53 52
-53 26/27
-53 23/31
-52 -52
-52 0
-52 1
-52 50
-52 51
-52 51/2
-52 51/53
-52 17/58
-51 -51
-51 0
-51 1
-51 25
-51 49
-51 50
-51 -69/5
-51 -41/21
-51 25/26
-51 72/31
-51 -36/37
-51 21/43
-50 -50
-50 0
-50 1
-50 48
-50 49
-50 49/2
-50 74/39
-50 49/51
-50 13/76
-49 -49
-49 0
-49 1
-49 24
-49 47
-49 48
-49 24/25
-49 -62/53
-48 -48
-48 0
-48 1
-48 46
-48 47
-48 47/2
-48 47/49
-47 -47
-47 0
-47 1
-47 23
-47 45
-47 46
-47 23/24
-46 -46
-46 0
-46 1
-46 44
-46 45
-46 45/2
-46 -38/23
-46 19/39
-46 45/47
-45 -45
-45 0
-45 1
-45 22
-45 43
-45 44
-45 -77/5
-45 -63/19
-45 22/23
-45 77/32
-45 70/37
-45 -33/58
-45 22/63
-45 74/63
-45 21/76
-45 -29/77
-44 -44
-44 0
-44 1
-44 42
-44 43
-44 43/2
-44 43/45
-43 -43
-43 0
-43 1
-43 21
-43 41
-43 42
-43 -12/5
-43 21/22
-43 69/28
-43 13/41
-43 -41/62
-42 -42
-42 0
-42 1
-42 40
-42 41
-42 41/2
-42 -23/19
-42 45/37
-42 41/39
-42 41/43
-42 -31/47
-42 38/51
-42 -49/54
-42 -25/57
-42 39/59
-42 71/64
-42 -26/67
-41 -41
-41 0
-41 1
-41 20
-41 39
-41 40
-41 43/17
-41 20/21
-41 -42/29
-41 -61/34
-41 23/59
-41 19/65
-40 -40
-40 0
-40 1
-40 38
-40 39
-40 79
