
## p=11
base=(0, 0, 4)
f=7*x^5 + 1
open_q_count=110
candidate_q_R_count=133100
branch_count=100
smooth_branch_count=100
branch_72=(8, 3, 5, 8, 4, 2, 5, 8, 1, 10); fiber_det=1
branch_73=(8, 3, 6, 3, 7, 2, 5, 8, 1, 10); fiber_det=10
branch_74=(8, 4, 0, 1, 2, 1, 5, 10, 8, 1); fiber_det=7
branch_75=(8, 4, 0, 10, 9, 1, 5, 10, 8, 1); fiber_det=4
branch_76=(8, 4, 2, 4, 7, 4, 6, 1, 3, 10); fiber_det=7
branch_77=(8, 4, 9, 7, 4, 4, 6, 1, 3, 10); fiber_det=4
branch_78=(8, 6, 4, 6, 7, 9, 8, 3, 7, 10); fiber_det=6
branch_79=(8, 6, 7, 5, 4, 9, 8, 3, 7, 10); fiber_det=5
branch_80=(9, 0, 2, 1, 5, 9, 10, 6, 0, 0); fiber_det=5
branch_81=(9, 0, 4, 10, 6, 7, 1, 5, 0, 0); fiber_det=6
branch_82=(9, 0, 7, 1, 5, 7, 1, 5, 0, 0); fiber_det=5
branch_83=(9, 0, 9, 10, 6, 9, 10, 6, 0, 0); fiber_det=6
branch_84=(9, 6, 4, 0, 7, 2, 5, 1, 5, 7); fiber_det=1
branch_85=(9, 6, 7, 0, 4, 2, 5, 1, 5, 7); fiber_det=10
branch_86=(9, 9, 0, 1, 1, 1, 8, 8, 3, 4); fiber_det=7
branch_87=(9, 9, 0, 10, 10, 1, 8, 8, 3, 4); fiber_det=4
branch_88=(9, 9, 2, 2, 4, 4, 3, 3, 8, 7); fiber_det=7
branch_89=(9, 9, 9, 9, 7, 4, 3, 3, 8, 7); fiber_det=4
branch_90=(9, 10, 2, 1, 7, 6, 5, 2, 9, 7); fiber_det=3
branch_91=(9, 10, 9, 10, 4, 6, 5, 2, 9, 7); fiber_det=8
branch_92=(10, 4, 5, 2, 3, 2, 4, 6, 5, 7); fiber_det=1
branch_93=(10, 4, 6, 9, 8, 2, 4, 6, 5, 7); fiber_det=10
branch_94=(10, 8, 4, 7, 8, 9, 2, 5, 2, 7); fiber_det=6
branch_95=(10, 8, 7, 4, 3, 9, 2, 5, 2, 7); fiber_det=5
branch_96=(10, 9, 0, 3, 7, 1, 4, 2, 7, 4); fiber_det=7
branch_97=(10, 9, 0, 8, 4, 1, 4, 2, 7, 4); fiber_det=4
branch_98=(10, 9, 2, 1, 8, 4, 7, 9, 4, 7); fiber_det=7
branch_99=(10, 9, 9, 10, 3, 4, 7, 9, 4, 7); fiber_det=4

## p=19
base=(1, 3, 16)
f=3*x^5 + 9*x^4 + 6*x^3 + 7*x^2 + 2*x + 1
open_q_count=342
candidate_q_R_count=2222316
branch_count=16
smooth_branch_count=16
branch_0=(1, 3, 9, 0, 1, 18, 11, 10, 9, 4); fiber_det=11
branch_1=(1, 3, 10, 0, 18, 18, 11, 10, 9, 4); fiber_det=8
branch_2=(3, 15, 2, 5, 6, 5, 3, 15, 18, 14); fiber_det=17
branch_3=(3, 15, 17, 14, 13, 5, 3, 15, 18, 14); fiber_det=2
branch_4=(6, 5, 8, 0, 9, 4, 18, 0, 7, 13); fiber_det=18
branch_5=(6, 5, 11, 0, 10, 4, 18, 0, 7, 13); fiber_det=1
branch_6=(10, 14, 3, 1, 8, 0, 1, 11, 15, 7); fiber_det=4
branch_7=(10, 14, 16, 18, 11, 0, 1, 11, 15, 7); fiber_det=15
branch_8=(13, 0, 1, 2, 6, 18, 16, 8, 7, 1); fiber_det=8
branch_9=(13, 0, 8, 9, 8, 8, 17, 3, 16, 5); fiber_det=1
branch_10=(13, 0, 11, 10, 11, 8, 17, 3, 16, 5); fiber_det=18
branch_11=(13, 0, 18, 17, 13, 18, 16, 8, 7, 1); fiber_det=11
branch_12=(13, 1, 4, 10, 4, 6, 10, 13, 11, 9); fiber_det=12
branch_13=(13, 1, 15, 9, 15, 6, 10, 13, 11, 9); fiber_det=7
branch_14=(13, 3, 2, 7, 16, 0, 10, 11, 0, 8); fiber_det=6
branch_15=(13, 3, 17, 12, 3, 0, 10, 11, 0, 8); fiber_det=13
elapsed=0:31.80 maxrss_kb=220732
