# p : simultaneous_allowed ; bad ; contact_ok ; halving_ok ; counts t=c,h
# Projective t=infinity is always conservatively allowed.
47 : 0,14,23 ; 14,23 ; 0,19 ; 0,5,10,11,16,17,24,27,29,33,42,43,44 ; 0=4/24,1=1/0,2=1/0,3=0/0,4=0/0,5=0/2,6=1/0,7=0/0,8=1/0,9=1/0,10=0/2,11=0/2,12=0/0,13=0/0,15=0/0,16=1/2,17=0/8,18=1/0,19=4/0,20=1/0,21=0/0,22=1/0,24=0/2,25=0/0,26=0/0,27=1/12,28=1/0,29=0/2,30=0/0,31=0/0,32=1/0,33=0/12,34=1/0,35=1/0,36=1/0,37=0/0,38=0/0,39=0/0,40=0/0,41=0/0,42=1/8,43=0/2,44=1/4,45=1/0,46=1/0
53 : 0,19 ; 19 ; 0,8 ; 0,2,4,5,7,10,15,20,22,24,26,30,31,32,33,35,39,41,46 ; 0=4/48,1=0/0,2=0/2,3=1/0,4=0/4,5=1/4,6=0/0,7=0/2,8=4/0,9=1/0,10=1/4,11=1/0,12=0/0,13=0/0,14=1/0,15=1/2,16=0/0,17=0/0,18=0/0,20=1/2,21=0/0,22=1/2,23=0/0,24=0/2,25=0/0,26=0/4,27=0/0,28=0/0,29=1/0,30=0/2,31=0/2,32=0/2,33=1/2,34=0/0,35=0/2,36=1/0,37=0/0,38=1/0,39=1/2,40=0/0,41=0/2,42=0/0,43=1/0,44=1/0,45=0/0,46=0/2,47=1/0,48=1/0,49=1/0,50=0/0,51=1/0,52=1/0
59 : 0,51 ;  ; 0,51 ; 0,4,6,12,13,14,18,22,25,29,30,35,41,46,48,49,51,53 ; 0=4/12,1=1/0,2=1/0,3=1/0,4=0/4,5=0/0,6=0/2,7=1/0,8=0/0,9=0/0,10=1/0,11=0/0,12=1/2,13=0/2,14=0/4,15=1/0,16=0/0,17=1/0,18=1/2,19=0/0,20=1/0,21=0/0,22=1/2,23=1/0,24=1/0,25=1/2,26=1/0,27=0/0,28=0/0,29=1/4,30=0/2,31=0/0,32=0/0,33=0/0,34=0/0,35=0/2,36=1/0,37=0/0,38=0/0,39=0/0,40=0/0,41=0/4,42=1/0,43=0/0,44=0/0,45=0/0,46=0/2,47=0/0,48=1/2,49=1/4,50=0/0,51=4/12,52=0/0,53=0/2,54=0/0,55=1/0,56=0/0,57=0/0,58=0/0
67 : 0,18,46,49,58 ; 58 ; 0,18,46,49 ; 0,1,4,7,8,9,13,18,22,25,30,33,35,36,37,39,40,45,46,49,53,54,63,64 ; 0=40/12,1=1/8,2=1/0,3=0/0,4=0/2,5=1/0,6=1/0,7=0/4,8=0/2,9=0/4,10=0/0,11=0/0,12=0/0,13=1/2,14=1/0,15=0/0,16=0/0,17=0/0,18=4/2,19=0/0,20=0/0,21=0/0,22=0/2,23=0/0,24=0/0,25=1/4,26=0/0,27=0/0,28=0/0,29=1/0,30=0/2,31=0/0,32=0/0,33=0/2,34=0/0,35=0/4,36=1/2,37=1/4,38=0/0,39=0/4,40=0/2,41=0/0,42=1/0,43=1/0,44=0/0,45=0/2,46=4/2,47=0/0,48=0/0,49=4/4,50=0/0,51=1/0,52=0/0,53=0/2,54=0/2,55=0/0,56=0/0,57=0/0,59=0/0,60=0/0,61=1/0,62=0/0,63=0/2,64=0/2,65=1/0,66=0/0
71 : 0 ;  ; 0,37 ; 0,1,3,4,6,15,17,19,21,22,27,36,39,40,41,43,46,47,51,52,54,63,66 ; 0=4/12,1=0/2,2=0/0,3=0/4,4=0/2,5=0/0,6=1/2,7=0/0,8=0/0,9=0/0,10=0/0,11=1/0,12=0/0,13=1/0,14=1/0,15=0/2,16=0/0,17=1/4,18=0/0,19=1/2,20=0/0,21=0/4,22=1/4,23=0/0,24=0/0,25=0/0,26=1/0,27=0/4,28=1/0,29=0/0,30=1/0,31=0/0,32=0/0,33=0/0,34=1/0,35=0/0,36=0/2,37=4/0,38=1/0,39=1/2,40=0/4,41=1/2,42=1/0,43=0/2,44=1/0,45=0/0,46=0/2,47=0/12,48=1/0,49=0/0,50=1/0,51=0/2,52=1/4,53=0/0,54=1/2,55=1/0,56=0/0,57=1/0,58=0/0,59=0/0,60=0/0,61=1/0,62=1/0,63=1/2,64=1/0,65=0/0,66=0/2,67=0/0,68=1/0,69=0/0,70=0/0
73 : 0,2,24,33 ; 24,33 ; 0,2,46 ; 0,2,10,16,23,25,31,32,44,48,49,50,51,61,70 ; 0=40/12,1=1/0,2=4/12,3=1/0,4=1/0,5=0/0,6=0/0,7=1/0,8=1/0,9=0/0,10=0/2,11=0/0,12=0/0,13=0/0,14=0/0,15=1/0,16=1/2,17=0/0,18=0/0,19=0/0,20=0/0,21=1/0,22=0/0,23=0/2,25=0/2,26=1/0,27=0/0,28=0/0,29=0/0,30=1/0,31=0/12,32=0/2,34=0/0,35=0/0,36=1/0,37=0/0,38=0/0,39=0/0,40=0/0,41=0/0,42=0/0,43=0/0,44=0/2,45=0/0,46=13/0,47=0/0,48=0/2,49=1/2,50=1/2,51=0/4,52=1/0,53=0/0,54=0/0,55=0/0,56=0/0,57=1/0,58=0/0,59=0/0,60=0/0,61=1/2,62=0/0,63=0/0,64=1/0,65=0/0,66=1/0,67=0/0,68=0/0,69=0/0,70=0/2,71=0/0,72=0/0
79 : 0,28,31,40 ; 40 ; 0,28,31,43 ; 0,2,4,5,6,11,16,22,25,28,31,32,39,45,47,52,53,61,69,72 ; 0=4/24,1=0/0,2=1/2,3=0/0,4=0/2,5=0/4,6=0/2,7=0/0,8=1/0,9=0/0,10=0/0,11=1/4,12=0/0,13=0/0,14=0/0,15=1/0,16=1/4,17=1/0,18=0/0,19=0/0,20=0/0,21=0/0,22=0/2,23=1/0,24=0/0,25=0/4,26=1/0,27=0/0,28=4/2,29=0/0,30=1/0,31=4/2,32=0/24,33=0/0,34=1/0,35=1/0,36=1/0,37=0/0,38=0/0,39=0/2,41=1/0,42=0/0,43=4/0,44=1/0,45=0/2,46=0/0,47=1/2,48=1/0,49=0/0,50=1/0,51=0/0,52=0/2,53=0/2,54=0/0,55=0/0,56=0/0,57=0/0,58=1/0,59=0/0,60=0/0,61=0/4,62=0/0,63=0/0,64=1/0,65=1/0,66=0/0,67=0/0,68=1/0,69=0/2,70=0/0,71=0/0,72=0/2,73=0/0,74=1/0,75=0/0,76=0/0,77=0/0,78=0/0
83 : 0,56 ; 56 ; 0 ; 0,29,31,33,36,42,44,49,53,57,58,59,61,62,64,67,68,74,75 ; 0=4/24,1=0/0,2=1/0,3=0/0,4=0/0,5=0/0,6=1/0,7=0/0,8=1/0,9=0/0,10=0/0,11=0/0,12=1/0,13=1/0,14=0/0,15=0/0,16=0/0,17=0/0,18=1/0,19=0/0,20=0/0,21=1/0,22=0/0,23=0/0,24=0/0,25=0/0,26=0/0,27=0/0,28=1/0,29=1/2,30=0/0,31=1/2,32=1/0,33=0/2,34=1/0,35=1/0,36=1/2,37=0/0,38=1/0,39=0/0,40=1/0,41=0/0,42=0/2,43=1/0,44=0/2,45=1/0,46=0/0,47=1/0,48=0/0,49=0/2,50=0/0,51=1/0,52=0/0,53=0/2,54=1/0,55=0/0,57=0/2,58=1/2,59=0/2,60=0/0,61=0/2,62=0/2,63=0/0,64=1/2,65=0/0,66=0/0,67=0/2,68=0/2,69=0/0,70=0/0,71=0/0,72=0/0,73=1/0,74=1/2,75=0/4,76=1/0,77=0/0,78=1/0,79=0/0,80=0/0,81=1/0,82=0/0
89 : 0,14,21 ;  ; 0,14,21,59 ; 0,6,13,14,15,16,17,21,23,33,38,41,43,45,48,49,51,52,54,56,63,69,75,77,84,87 ; 0=4/12,1=0/0,2=0/0,3=0/0,4=0/0,5=1/0,6=0/2,7=1/0,8=0/0,9=1/0,10=1/0,11=1/0,12=1/0,13=0/2,14=4/4,15=0/4,16=0/2,17=0/2,18=0/0,19=0/0,20=1/0,21=4/2,22=0/0,23=0/12,24=0/0,25=1/0,26=1/0,27=1/0,28=0/0,29=0/0,30=0/0,31=0/0,32=0/0,33=0/12,34=1/0,35=0/0,36=0/0,37=0/0,38=1/2,39=1/0,40=0/0,41=1/2,42=1/0,43=1/2,44=0/0,45=0/2,46=1/0,47=1/0,48=0/2,49=0/2,50=0/0,51=0/12,52=0/2,53=1/0,54=0/2,55=1/0,56=0/2,57=0/0,58=0/0,59=4/0,60=0/0,61=0/0,62=1/0,63=0/4,64=1/0,65=0/0,66=1/0,67=0/0,68=0/0,69=1/2,70=0/0,71=1/0,72=1/0,73=0/0,74=0/0,75=0/2,76=1/0,77=0/4,78=1/0,79=1/0,80=0/0,81=0/0,82=0/0,83=0/0,84=1/4,85=1/0,86=1/0,87=0/2,88=1/0
