101	89	27	35	48	61	5	98	58	84	12056	0
101	37	72	52	47	5	0	31	45	27	9883	0
101	62	5	12	12	4	39	43	1	42	10423	0
101	49	98	24	76	26	4	79	23	14	10385	1
101	6	49	36	6	69	10	80	33	68	328	0
101	87	85	8	26	23	19	62	82	67	12623	0
101	47	32	75	97	83	16	73	2	58	5006	0
101	95	44	71	40	49	49	36	11	46	3152	0
101	87	34	91	3	81	83	54	19	91	2437	0
101	99	19	20	54	11	84	0	45	97	5220	0
101	81	91	26	34	56	17	66	46	30	10044	1
101	97	34	25	34	7	53	77	80	100	10457	0
101	64	20	86	89	10	36	96	63	20	9907	0
101	34	62	61	66	37	81	41	28	10	10177	0
101	63	0	69	58	61	74	28	51	85	3482	0
101	72	79	97	90	25	36	63	85	34	133	0
101	29	97	64	62	41	87	20	79	0	10449	0
101	73	37	23	5	99	95	84	83	42	603	0
101	87	100	40	97	38	19	21	76	60	10008	0
101	23	45	49	90	75	5	50	74	67	11295	0
101	35	22	75	37	40	10	59	12	50	9881	0
101	49	95	46	73	41	67	67	62	81	3381	0
101	74	13	47	43	64	29	97	19	47	10676	0
101	3	58	3	26	7	92	4	10	2	448	0
101	79	65	23	13	85	6	52	49	45	33	0
101	53	60	41	67	68	21	51	13	1	10237	0
101	50	36	62	19	59	98	44	63	66	11377	1
101	24	87	2	19	9	28	34	1	54	9039	0
101	100	21	8	0	39	35	51	4	15	4216	1
101	17	6	32	80	79	88	85	83	91	3511	0
101	43	5	82	60	90	13	40	4	11	9455	1
101	34	73	65	80	72	19	76	43	0	1440	0
101	61	83	79	24	27	59	56	10	55	10495	0
101	31	64	24	39	35	77	78	49	21	5444	0
101	4	94	31	21	26	41	95	67	25	9246	0
101	12	15	19	77	4	93	26	78	23	9883	0
101	10	95	85	91	83	26	41	42	67	2784	0
101	7	44	30	21	54	26	74	65	87	7464	0
101	88	19	35	92	98	75	88	52	68	4071	0
101	5	19	88	94	61	79	81	47	54	9447	0
101	46	40	36	60	54	38	30	81	20	13567	0
101	94	29	0	13	76	15	57	26	10	4022	0
101	48	97	62	62	11	70	13	32	62	1193	0
101	50	35	40	92	64	77	100	26	44	3383	0
101	23	13	36	19	40	80	81	69	5	4498	0
101	45	64	85	0	10	1	81	68	52	10419	0
101	6	82	9	86	66	61	38	88	28	5396	0
101	54	55	28	12	18	4	33	5	53	9884	0
101	16	80	80	10	72	29	3	1	59	753	0
101	14	94	73	21	66	35	74	35	86	9764	0
