WSPLIT+3TORS [2,24] search RH=26 TH=26 BH=26 Part=1/3
PROGRESS tested=13200000 p=168156 rank2=149511 pre3=234 tors=234 hits24=0 hits224=0
PROGRESS tested=13400000 p=170234 rank2=151206 pre3=242 tors=242 hits24=0 hits224=0
PROGRESS tested=13600000 p=172532 rank2=153131 pre3=244 tors=244 hits24=0 hits224=0
PROGRESS tested=13800000 p=175494 rank2=155984 pre3=244 tors=244 hits24=0 hits224=0
PROGRESS tested=14000000 p=177002 rank2=157307 pre3=244 tors=244 hits24=0 hits224=0
PROGRESS tested=14200000 p=180000 rank2=159832 pre3=246 tors=246 hits24=0 hits224=0
PROGRESS tested=14400000 p=183558 rank2=163150 pre3=246 tors=246 hits24=0 hits224=0
PROGRESS tested=14600000 p=184856 rank2=164358 pre3=248 tors=248 hits24=0 hits224=0
PROGRESS tested=14800000 p=187386 rank2=166550 pre3=250 tors=250 hits24=0 hits224=0
PROGRESS tested=15000000 p=191100 rank2=169827 pre3=252 tors=252 hits24=0 hits224=0
PROGRESS tested=15200000 p=194548 rank2=173164 pre3=254 tors=254 hits24=0 hits224=0
PROGRESS tested=15400000 p=196238 rank2=174712 pre3=254 tors=254 hits24=0 hits224=0
PROGRESS tested=15600000 p=200054 rank2=178082 pre3=258 tors=258 hits24=0 hits224=0
PROGRESS tested=15800000 p=204418 rank2=182154 pre3=262 tors=262 hits24=0 hits224=0
PROGRESS tested=16000000 p=205806 rank2=183460 pre3=262 tors=262 hits24=0 hits224=0
PROGRESS tested=16200000 p=208224 rank2=185592 pre3=264 tors=264 hits24=0 hits224=0
PROGRESS tested=16400000 p=212462 rank2=189375 pre3=272 tors=272 hits24=0 hits224=0
PROGRESS tested=16600000 p=215804 rank2=192566 pre3=272 tors=272 hits24=0 hits224=0
PROGRESS tested=16800000 p=217024 rank2=193672 pre3=272 tors=272 hits24=0 hits224=0
PROGRESS tested=17000000 p=219616 rank2=195851 pre3=276 tors=276 hits24=0 hits224=0
PROGRESS tested=17200000 p=222028 rank2=197922 pre3=290 tors=290 hits24=0 hits224=0
PROGRESS tested=17400000 p=224518 rank2=200321 pre3=292 tors=292 hits24=0 hits224=0
