12 -124 33 130
12 -121 46 96
12 -102 50 53
12 -25 17 -65
12 -19 150 47
12 -1 26 95
12 -1 103 -129
12 5 138 96
12 19 109 82
12 33 137 -44
12 59 94 37
12 94 36 -129
12 100 17 -149
12 144 119 -9
7 -119 29 -22
7 -117 90 -150
7 -105 56 -112
7 -96 54 -48
7 -66 24 -73
7 -57 77 -134
7 -29 25 14
7 -19 132 -91
7 -11 119 21
7 2 67 86
7 9 64 -129
7 49 24 -119
7 54 74 -94
7 80 90 -21
7 94 144 137
7 100 64 130
7 103 85 -132
7 115 14 -7
7 119 109 -68
7 129 106 1
2 -146 146 96
2 -132 10 63
2 -91 9 137
2 -88 104 -115
2 -87 55 13
2 -86 84 -14
2 -81 4 12
2 -24 60 145
2 -6 131 141
2 17 93 141
2 24 46 61
2 25 12 15
2 33 150 18
2 74 89 77
2 103 25 -87
2 119 34 -89
2 139 46 -94
2 141 44 103
15 -148 46 -43
15 -143 44 57
15 -128 99 54
15 -123 116 62
15 -102 102 13
15 -99 90 59
15 -93 39 -138
15 -53 39 -8
15 -32 123 83
15 -19 98 -119
15 -10 61 1
15 -2 97 13
15 -1 83 108
15 63 132 53
15 72 59 37
15 77 68 -74
15 102 36 -23
15 103 123 3
15 119 121 -125
13 -122 30 38
13 -111 71 -28
13 -109 50 90
13 -107 105 33
13 -106 99 38
13 -96 41 -79
13 -49 34 -46
13 -47 100 -92
13 -38 82 -13
13 -38 100 -130
13 -11 59 76
13 -6 21 75
13 -4 115 69
13 10 150 20
13 16 47 -7
13 22 64 126
13 24 31 -113
13 27 30 -52
13 46 28 -131
13 48 15 108
13 54 36 56
13 63 80 -57
13 79 86 136
13 84 59 76
13 95 54 -115
13 101 129 20
13 108 36 -106
13 109 106 -14
13 137 142 -130
5 -109 85 -150
5 -105 81 112
5 -102 62 -12
5 -95 88 31
5 -82 143 138
5 -77 127 -37
5 -40 108 -58
5 -38 126 -74
5 -37 97 138
5 -27 128 -87
5 -17 22 -129
5 -13 74 66
5 38 138 18
5 65 108 -58
5 67 76 -43
5 67 76 -24
5 68 18 138
5 117 81 -121
5 129 66 -44
5 141 108 -94
14 -138 50 77
14 -134 82 39
14 -133 20 -58
14 -109 115 -68
14 -95 122 129
14 -85 104 -121
14 -68 141 -80
14 -64 140 -75
14 -64 142 -66
14 -59 88 9
14 -33 22 -129
14 9 89 39
14 27 17 109
14 136 148 -131
8 -148 48 101
8 -147 95 53
8 -134 55 -60
8 -102 20 -57
8 -1 64 61
8 -1 81 146
8 19 143 131
8 88 130 150
8 89 74 -49
8 94 74 6
8 99 69 -79
8 113 17 66
8 129 88 -148
11 -141 99 -78
11 -93 68 89
11 -69 62 114
11 -37 128 79
11 -29 120 -43
11 -24 135 97
11 -18 148 -36
11 20 92 -106
11 20 149 24
11 33 23 -60
11 57 85 77
11 67 80 117
11 101 143 69
11 110 32 -141
11 150 71 -54
4 -149 12 -86
4 -149 135 142
4 -146 47 -129
4 -99 22 -39
4 -95 101 -122
4 -86 24 122
4 -80 46 43
4 -67 120 59
4 -57 57 -4
4 -33 89 -1
4 -23 9 38
4 -17 87 32
4 31 113 34
4 41 50 52
4 41 57 -141
4 56 82 -76
4 61 107 59
4 82 65 37
4 86 17 -96
4 96 12 19
4 103 114 31
4 122 145 2
4 124 68 68
3 -124 16 57
3 -122 70 -87
3 -77 115 93
3 -71 141 7
3 -62 60 38
3 -54 62 65
3 -52 110 -92
3 -45 127 6
3 -31 44 51
3 27 92 47
3 59 76 -33
3 63 5 133
3 63 120 -27
3 144 139 -99
3 149 126 -43
6 -128 78 -121
6 -119 128 -6
6 -119 132 99
6 -114 145 -48
6 -104 112 -126
6 -100 138 132
6 -92 80 -78
6 -79 10 -18
6 -74 108 114
6 -73 40 -108
6 -66 23 -109
6 -58 123 69
6 -32 85 -57
6 41 94 83
6 46 97 84
6 101 94 13
6 122 38 -141
6 130 119 142
6 131 120 -13
6 132 101 -85
6 150 59 62
0 -143 41 112
0 -138 141 11
0 -133 134 71
0 -132 48 -142
0 -128 11 -53
0 -128 141 42
0 -113 79 -24
0 -107 149 -101
0 -100 66 -115
0 -48 16 -139
0 -31 15 12
0 -21 37 21
0 -12 30 39
0 9 27 74
0 37 29 -59
0 63 2 73
0 79 111 138
0 127 86 -38
0 135 111 -101
0 140 124 -140
0 146 111 38
9 -142 130 -54
9 -109 13 4
9 -92 130 70
9 46 12 99
9 66 88 89
9 72 125 12
9 96 103 -24
9 126 72 -41
9 149 116 47
10 -138 111 66
10 -132 120 -117
10 -128 89 -54
10 -122 149 138
10 -98 86 126
10 -57 127 -117
10 -53 109 81
10 -52 42 63
10 -48 144 122
10 -16 51 47
10 -15 114 -31
10 -8 150 145
10 -7 23 -87
10 12 61 87
10 13 33 101
10 19 58 82
10 19 117 -19
10 32 86 -69
10 45 23 82
10 48 47 108
10 52 49 -44
10 82 109 2
10 98 23 43
10 102 39 -22
10 117 51 -44
10 130 63 -21
10 143 98 -92
10 147 36 71
10 147 39 56
23 -146 124 -4
23 -81 81 61
23 -56 149 -129
23 -32 75 148
