# a,b,c,d | signatures
11,0,9,2 | E14-+Z2
11,0,9,11 | E14++Z2
11,0,11,4 | E13++Z2
11,0,11,9 | E13++Z2
11,0,12,1 | E34-+Z2
11,0,12,12 | E34++Z2
11,1,0,1 | E24++Z3
11,1,0,12 | E24-+Z3
11,1,1,0 | E23++Z4
11,1,5,5 | E34+
11,1,5,8 | E34-
11,1,8,5 | E34-
11,1,8,8 | E34+
11,1,12,0 | E23-+Z4
11,2,0,4 | E12-+Z3
11,2,0,9 | E12-+Z3
11,2,3,6 | E12-
11,2,3,7 | E12-
11,2,4,0 | E12-+Z4
11,2,6,3 | E12-
11,2,6,10 | E12-
11,2,7,3 | E12-
11,2,7,10 | E12-
11,2,9,0 | E12-+Z4
11,2,10,6 | E12-
11,2,10,7 | E12-
11,3,2,6 | E13-
11,3,2,7 | E13-
11,3,3,4 | E23+
11,3,3,9 | E23+
11,3,4,3 | E24+
11,3,4,10 | E24-
11,3,6,2 | E14-
11,3,6,11 | E14+
11,3,7,2 | E14-
11,3,7,11 | E14+
11,3,9,3 | E24+
11,3,9,10 | E24-
11,3,10,4 | E23-
11,3,10,9 | E23-
11,3,11,6 | E13+
11,3,11,7 | E13+
11,4,0,2 | E14-+Z3
11,4,0,11 | E14++Z3
11,4,2,0 | E13-+Z4
11,4,3,3 | E34+
11,4,3,10 | E34-
11,4,10,3 | E34-
11,4,10,10 | E34+
11,4,11,0 | E13++Z4
11,5,1,5 | E24+
11,5,1,8 | E24-
11,5,5,1 | E23+
11,5,5,12 | E23+
11,5,8,1 | E23-
11,5,8,12 | E23-
11,5,12,5 | E24+
11,5,12,8 | E24-
11,6,2,3 | E13-
11,6,2,10 | E13-
11,6,3,2 | E14-
11,6,3,11 | E14+
11,6,10,2 | E14-
11,6,10,11 | E14+
11,6,11,3 | E13+
11,6,11,10 | E13+
11,7,2,3 | E13-
11,7,2,10 | E13-
11,7,3,2 | E14-
11,7,3,11 | E14+
11,7,10,2 | E14-
11,7,10,11 | E14+
11,7,11,3 | E13+
11,7,11,10 | E13+
11,8,1,5 | E24-
11,8,1,8 | E24+
11,8,5,1 | E23-
11,8,5,12 | E23-
11,8,8,1 | E23+
11,8,8,12 | E23+
11,8,12,5 | E24-
11,8,12,8 | E24+
11,9,0,2 | E14-+Z3
11,9,0,11 | E14++Z3
11,9,2,0 | E13-+Z4
11,9,3,3 | E34+
11,9,3,10 | E34-
11,9,10,3 | E34-
11,9,10,10 | E34+
11,9,11,0 | E13++Z4
11,10,2,6 | E13-
11,10,2,7 | E13-
11,10,3,4 | E23-
11,10,3,9 | E23-
11,10,4,3 | E24-
11,10,4,10 | E24+
11,10,6,2 | E14-
11,10,6,11 | E14+
11,10,7,2 | E14-
11,10,7,11 | E14+
11,10,9,3 | E24-
11,10,9,10 | E24+
11,10,10,4 | E23+
11,10,10,9 | E23+
11,10,11,6 | E13+
11,10,11,7 | E13+
11,11,0,4 | E12++Z3
11,11,0,9 | E12++Z3
11,11,3,6 | E12+
11,11,3,7 | E12+
11,11,4,0 | E12++Z4
11,11,6,3 | E12+
11,11,6,10 | E12+
11,11,7,3 | E12+
11,11,7,10 | E12+
11,11,9,0 | E12++Z4
11,11,10,6 | E12+
11,11,10,7 | E12+
11,12,0,1 | E24-+Z3
11,12,0,12 | E24++Z3
11,12,1,0 | E23-+Z4
11,12,5,5 | E34+
11,12,5,8 | E34-
11,12,8,5 | E34-
11,12,8,8 | E34+
11,12,12,0 | E23++Z4
12,0,0,0 | E23++E23-+E24++E24-+E34++E34-+Z2+Z3+Z4
12,0,1,2 | E13-+Z2
12,0,1,11 | E13-+Z2
12,0,2,1 | E14-+Z2
12,0,2,12 | E14++Z2
12,0,6,6 | E34++Z2
12,0,6,7 | E34-+Z2
12,0,7,6 | E34-+Z2
12,0,7,7 | E34++Z2
12,0,11,1 | E14-+Z2
12,0,11,12 | E14++Z2
12,0,12,2 | E13++Z2
12,0,12,11 | E13++Z2
12,1,0,2 | E12-+Z3
12,1,0,11 | E12-+Z3
12,1,2,0 | E12-+Z4
12,1,3,5 | E12-
12,1,3,8 | E12-
12,1,5,3 | E12-
12,1,5,10 | E12-
12,1,8,3 | E12-
12,1,8,10 | E12-
12,1,10,5 | E12-
12,1,10,8 | E12-
12,1,11,0 | E12-+Z4
12,2,0,1 | E14-+Z3
12,2,0,12 | E14++Z3
12,2,1,0 | E13-+Z4
12,2,5,5 | E34+
12,2,5,8 | E34-
12,2,8,5 | E34-
12,2,8,8 | E34+
12,2,12,0 | E13++Z4
12,3,1,5 | E13-
12,3,1,8 | E13-
12,3,5,1 | E14-
12,3,5,12 | E14+
12,3,8,1 | E14-
12,3,8,12 | E14+
12,3,12,5 | E13+
12,3,12,8 | E13+
12,4,4,6 | E23+
12,4,4,7 | E23+
12,4,6,4 | E24+
12,4,6,9 | E24-
12,4,7,4 | E24+
12,4,7,9 | E24-
12,4,9,6 | E23-
12,4,9,7 | E23-
12,5,1,3 | E13-
12,5,1,10 | E13-
12,5,2,5 | E24+
12,5,2,8 | E24-
12,5,3,1 | E14-
12,5,3,12 | E14+
12,5,5,2 | E23+
12,5,5,11 | E23+
12,5,8,2 | E23-
12,5,8,11 | E23-
12,5,10,1 | E14-
12,5,10,12 | E14+
12,5,11,5 | E24+
12,5,11,8 | E24-
12,5,12,3 | E13+
12,5,12,10 | E13+
12,6,0,6 | E24++Z3
12,6,0,7 | E24-+Z3
12,6,4,4 | E34+
12,6,4,9 | E34-
12,6,6,0 | E23++Z4
12,6,7,0 | E23-+Z4
12,6,9,4 | E34-
12,6,9,9 | E34+
12,7,0,6 | E24-+Z3
12,7,0,7 | E24++Z3
12,7,4,4 | E34+
12,7,4,9 | E34-
12,7,6,0 | E23-+Z4
12,7,7,0 | E23++Z4
12,7,9,4 | E34-
12,7,9,9 | E34+
12,8,1,3 | E13-
12,8,1,10 | E13-
12,8,2,5 | E24-
12,8,2,8 | E24+
12,8,3,1 | E14-
12,8,3,12 | E14+
12,8,5,2 | E23-
12,8,5,11 | E23-
12,8,8,2 | E23+
12,8,8,11 | E23+
12,8,10,1 | E14-
12,8,10,12 | E14+
12,8,11,5 | E24-
12,8,11,8 | E24+
12,8,12,3 | E13+
12,8,12,10 | E13+
12,9,4,6 | E23-
12,9,4,7 | E23-
12,9,6,4 | E24-
12,9,6,9 | E24+
12,9,7,4 | E24-
12,9,7,9 | E24+
12,9,9,6 | E23+
12,9,9,7 | E23+
12,10,1,5 | E13-
12,10,1,8 | E13-
12,10,5,1 | E14-
12,10,5,12 | E14+
12,10,8,1 | E14-
12,10,8,12 | E14+
12,10,12,5 | E13+
12,10,12,8 | E13+
12,11,0,1 | E14-+Z3
12,11,0,12 | E14++Z3
12,11,1,0 | E13-+Z4
12,11,5,5 | E34+
12,11,5,8 | E34-
12,11,8,5 | E34-
12,11,8,8 | E34+
12,11,12,0 | E13++Z4
12,12,0,2 | E12++Z3
12,12,0,11 | E12++Z3
12,12,2,0 | E12++Z4
12,12,3,5 | E12+
12,12,3,8 | E12+
12,12,5,3 | E12+
12,12,5,10 | E12+
12,12,8,3 | E12+
12,12,8,10 | E12+
12,12,10,5 | E12+
12,12,10,8 | E12+
12,12,11,0 | E12++Z4
