p	u	t	w	a	b	c	d	flags	r0	r1	r2	r3
29	0	0	0	0	0	0	15	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
29	0	0	0	0	0	0	14	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
29	0	0	18	0	8	23	4	t0+qrep+qgcd+root0+rad0	0	0	28	1
29	0	0	18	0	8	6	4	t0+qrep+qgcd+root0+rad0	0	0	22	23
29	0	0	18	0	21	23	25	t0+qrep+qgcd+root0+rad0	0	0	22	23
29	0	0	18	0	21	6	25	t0+qrep+qgcd+root0+rad0	0	0	28	1
29	0	10	4	27	27	8	21	qgcd+rootrep+rad0	5	13	13	0
29	0	10	4	27	27	21	8	qgcd+rootrep+rad0	5	13	13	0
29	0	10	4	27	2	8	8	qgcd+rootrep+rad0	5	0	0	24
29	0	10	4	27	2	8	21	qgcd+rootrep+rad0	24	0	0	0
29	0	10	4	27	2	21	8	qgcd+rootrep+rad0	24	0	0	0
29	0	10	4	27	2	21	21	qgcd+rootrep+rad0	5	0	0	24
29	0	10	4	2	27	8	8	qgcd+rootrep+rad0	5	0	0	24
29	0	10	4	2	27	8	21	qgcd+rootrep+rad0	24	0	0	0
29	0	10	4	2	27	21	8	qgcd+rootrep+rad0	24	0	0	0
29	0	10	4	2	27	21	21	qgcd+rootrep+rad0	5	0	0	24
29	0	10	4	2	2	8	21	qgcd+rootrep+rad0	5	13	13	0
29	0	10	4	2	2	21	8	qgcd+rootrep+rad0	5	13	13	0
29	0	15	22	8	8	20	9	qgcd+rootrep+rad0	7	28	28	0
29	0	15	22	8	8	9	20	qgcd+rootrep+rad0	7	28	28	0
29	0	15	22	8	21	20	20	qgcd+rootrep+rad0	7	0	0	28
29	0	15	22	8	21	20	9	qgcd+rootrep+rad0	22	0	0	0
29	0	15	22	8	21	9	20	qgcd+rootrep+rad0	22	0	0	0
29	0	15	22	8	21	9	9	qgcd+rootrep+rad0	7	0	0	28
29	0	15	22	21	8	20	20	qgcd+rootrep+rad0	7	0	0	28
29	0	15	22	21	8	20	9	qgcd+rootrep+rad0	22	0	0	0
29	0	15	22	21	8	9	20	qgcd+rootrep+rad0	22	0	0	0
29	0	15	22	21	8	9	9	qgcd+rootrep+rad0	7	0	0	28
29	0	15	22	21	21	20	9	qgcd+rootrep+rad0	7	28	28	0
29	0	15	22	21	21	9	20	qgcd+rootrep+rad0	7	28	28	0
29	0	19	0	0	7	24	24	qgcd+root0+rootrep+rad0	0	0	22	22
29	0	19	0	0	7	24	5	qgcd+root0+rootrep+rad0	0	0	16	0
29	0	19	0	0	7	5	24	qgcd+root0+rootrep+rad0	0	0	16	0
29	0	19	0	0	7	5	5	qgcd+root0+rootrep+rad0	0	0	9	13
29	0	19	0	0	22	24	24	qgcd+root0+rootrep+rad0	0	0	9	13
29	0	19	0	0	22	24	5	qgcd+root0+rootrep+rad0	0	0	16	0
29	0	19	0	0	22	5	24	qgcd+root0+rootrep+rad0	0	0	16	0
