SWEEP_SHARD_DONE shard=0 2026-08-01 11:48:09
BASE_DONE r=2/3 s=-3/1 rc=0 hits=0
BASE_DONE r=-2/3 s=-3/1 rc=0 hits=0
BASE_DONE r=-2/3 s=2/3 rc=0 hits=0
SWEEP_SHARD_DONE shard=2 2026-08-01 11:48:35
BASE_DONE r=-2/3 s=3/1 rc=0 hits=0
BASE_DONE r=-2/3 s=-3/2 rc=0 hits=0
SWEEP_SHARD_DONE shard=1 2026-08-01 11:49:13
SWEEP_START shard=0/3 2026-08-01 11:50:23
SWEEP_START shard=2/3 2026-08-01 11:50:23
SWEEP_START shard=1/3 2026-08-01 11:50:23
BASE_DONE r=0/1 s=-4/1 rc=0 hits=0
BASE_DONE r=0/1 s=4/1 rc=0 hits=0
BASE_DONE r=0/1 s=1/4 rc=0 hits=0
BASE_DONE r=0/1 s=-1/4 rc=0 hits=0
BASE_DONE r=0/1 s=3/4 rc=0 hits=0
BASE_DONE r=0/1 s=4/3 rc=0 hits=0
BASE_DONE r=0/1 s=-3/4 rc=0 hits=0
BASE_DONE r=0/1 s=-4/3 rc=0 hits=0
BASE_DONE r=1/1 s=-4/1 rc=0 hits=0
BASE_DONE r=1/1 s=4/1 rc=0 hits=0
BASE_DONE r=1/1 s=1/4 rc=0 hits=0
BASE_DONE r=1/1 s=3/4 rc=0 hits=0
BASE_DONE r=1/1 s=-1/4 rc=0 hits=0
BASE_DONE r=1/1 s=-3/4 rc=0 hits=0
BASE_DONE r=1/1 s=-4/3 rc=0 hits=0
BASE_DONE r=1/1 s=4/3 rc=0 hits=0
BASE_DONE r=-1/1 s=4/1 rc=0 hits=0
BASE_DONE r=-1/1 s=-4/1 rc=0 hits=0
BASE_DONE r=-1/1 s=1/4 rc=0 hits=0
BASE_DONE r=-1/1 s=-1/4 rc=0 hits=0
BASE_DONE r=-1/1 s=3/4 rc=0 hits=0
BASE_DONE r=-1/1 s=-3/4 rc=0 hits=0
BASE_DONE r=2/1 s=4/1 rc=0 hits=0
BASE_DONE r=-1/1 s=4/3 rc=0 hits=0
BASE_DONE r=-1/1 s=-4/3 rc=0 hits=0
BASE_DONE r=2/1 s=-4/1 rc=0 hits=0
BASE_DONE r=2/1 s=-3/4 rc=0 hits=0
BASE_DONE r=2/1 s=3/4 rc=0 hits=0
BASE_DONE r=2/1 s=4/3 rc=0 hits=0
BASE_DONE r=-2/1 s=4/1 rc=0 hits=0
BASE_DONE r=-2/1 s=3/4 rc=0 hits=0
BASE_DONE r=2/1 s=-4/3 rc=0 hits=0
BASE_DONE r=-2/1 s=-4/1 rc=0 hits=0
BASE_DONE r=-2/1 s=-3/4 rc=0 hits=0
BASE_DONE r=-2/1 s=-4/3 rc=0 hits=0
BASE_DONE r=3/1 s=-4/1 rc=0 hits=0
BASE_DONE r=-2/1 s=4/3 rc=0 hits=0
BASE_DONE r=3/1 s=4/1 rc=0 hits=0
BASE_DONE r=3/1 s=4/3 rc=0 hits=0
BASE_DONE r=3/1 s=3/4 rc=0 hits=0
BASE_DONE r=3/1 s=-3/4 rc=0 hits=0
BASE_DONE r=-3/1 s=-4/1 rc=0 hits=0
BASE_DONE r=-3/1 s=4/1 rc=0 hits=0
BASE_DONE r=3/1 s=-4/3 rc=0 hits=0
BASE_DONE r=-3/1 s=4/3 rc=0 hits=0
BASE_DONE r=-3/1 s=-3/4 rc=0 hits=0
BASE_DONE r=1/2 s=4/1 rc=0 hits=0
BASE_DONE r=-3/1 s=3/4 rc=0 hits=0
BASE_DONE r=1/2 s=1/4 rc=0 hits=0
BASE_DONE r=1/2 s=-1/4 rc=0 hits=0
BASE_DONE r=-3/1 s=-4/3 rc=0 hits=0
BASE_DONE r=1/2 s=-3/4 rc=0 hits=0
BASE_DONE r=1/2 s=-4/1 rc=0 hits=0
BASE_DONE r=1/2 s=4/3 rc=0 hits=0
BASE_DONE r=-1/2 s=-4/1 rc=0 hits=0
BASE_DONE r=1/2 s=3/4 rc=0 hits=0
BASE_DONE r=-1/2 s=1/4 rc=0 hits=0
BASE_DONE r=-1/2 s=3/4 rc=0 hits=0
BASE_DONE r=1/2 s=-4/3 rc=0 hits=0
BASE_DONE r=-1/2 s=-3/4 rc=0 hits=0
BASE_DONE r=-1/2 s=-4/3 rc=0 hits=0
BASE_DONE r=-1/2 s=4/1 rc=0 hits=0
BASE_DONE r=3/2 s=4/1 rc=0 hits=0
BASE_DONE r=3/2 s=3/4 rc=0 hits=0
BASE_DONE r=-1/2 s=-1/4 rc=0 hits=0
BASE_DONE r=3/2 s=-3/4 rc=0 hits=0
BASE_DONE r=3/2 s=-4/3 rc=0 hits=0
BASE_DONE r=-1/2 s=4/3 rc=0 hits=0
BASE_DONE r=-3/2 s=3/4 rc=0 hits=0
BASE_DONE r=-3/2 s=-4/1 rc=0 hits=0
BASE_DONE r=3/2 s=-4/1 rc=0 hits=0
BASE_DONE r=-3/2 s=-4/3 rc=0 hits=0
BASE_DONE r=-3/2 s=4/3 rc=0 hits=0
BASE_DONE r=3/2 s=4/3 rc=0 hits=0
BASE_DONE r=-3/2 s=4/1 rc=0 hits=0
BASE_DONE r=1/3 s=4/1 rc=0 hits=0
BASE_DONE r=1/3 s=1/4 rc=0 hits=0
BASE_DONE r=-3/2 s=-3/4 rc=0 hits=0
BASE_DONE r=1/3 s=-1/4 rc=0 hits=0
BASE_DONE r=1/3 s=-3/4 rc=0 hits=0
BASE_DONE r=1/3 s=-4/1 rc=0 hits=0
BASE_DONE r=1/3 s=4/3 rc=0 hits=0
BASE_DONE r=-1/3 s=4/1 rc=0 hits=0
BASE_DONE r=1/3 s=3/4 rc=0 hits=0
BASE_DONE r=-1/3 s=-4/1 rc=0 hits=0
BASE_DONE r=1/3 s=-4/3 rc=0 hits=0
BASE_DONE r=-1/3 s=-1/4 rc=0 hits=0
BASE_DONE r=-1/3 s=3/4 rc=0 hits=0
BASE_DONE r=-1/3 s=4/3 rc=0 hits=0
BASE_DONE r=-1/3 s=1/4 rc=0 hits=0
BASE_DONE r=-1/3 s=-4/3 rc=0 hits=0
BASE_DONE r=2/3 s=4/1 rc=0 hits=0
BASE_DONE r=2/3 s=-4/1 rc=0 hits=0
BASE_DONE r=-1/3 s=-3/4 rc=0 hits=0
BASE_DONE r=2/3 s=4/3 rc=0 hits=0
BASE_DONE r=2/3 s=-3/4 rc=0 hits=0
BASE_DONE r=2/3 s=3/4 rc=0 hits=0
BASE_DONE r=-2/3 s=-4/1 rc=0 hits=0
BASE_DONE r=-2/3 s=3/4 rc=0 hits=0
BASE_DONE r=2/3 s=-4/3 rc=0 hits=0
BASE_DONE r=-2/3 s=4/3 rc=0 hits=0
BASE_DONE r=-2/3 s=-4/3 rc=0 hits=0
BASE_DONE r=-4/1 s=4/1 rc=0 hits=0
BASE_DONE r=4/1 s=-4/3 rc=0 hits=0
BASE_DONE r=-2/3 s=4/1 rc=0 hits=0
BASE_DONE r=1/4 s=2/1 rc=0 hits=0
BASE_DONE r=-4/1 s=-4/3 rc=0 hits=0
BASE_DONE r=-2/3 s=-3/4 rc=0 hits=0
BASE_DONE r=1/4 s=-3/1 rc=0 hits=0
BASE_DONE r=1/4 s=3/1 rc=0 hits=0
BASE_DONE r=4/1 s=4/3 rc=0 hits=0
BASE_DONE r=1/4 s=2/3 rc=0 hits=0
BASE_DONE r=1/4 s=-3/2 rc=0 hits=0
BASE_DONE r=-4/1 s=4/3 rc=0 hits=0
BASE_DONE r=1/4 s=-4/1 rc=0 hits=0
BASE_DONE r=1/4 s=-2/1 rc=0 hits=0
BASE_DONE r=1/4 s=4/1 rc=0 hits=0
BASE_DONE r=1/4 s=-3/4 rc=0 hits=0
BASE_DONE r=1/4 s=4/3 rc=0 hits=0
BASE_DONE r=1/4 s=3/2 rc=0 hits=0
BASE_DONE r=-1/4 s=2/1 rc=0 hits=0
BASE_DONE r=-1/4 s=-2/1 rc=0 hits=0
BASE_DONE r=1/4 s=-2/3 rc=0 hits=0
BASE_DONE r=-1/4 s=-3/1 rc=0 hits=0
BASE_DONE r=-1/4 s=3/2 rc=0 hits=0
BASE_DONE r=1/4 s=3/4 rc=0 hits=0
BASE_DONE r=-1/4 s=2/3 rc=0 hits=0
BASE_DONE r=-1/4 s=-2/3 rc=0 hits=0
BASE_DONE r=1/4 s=-4/3 rc=0 hits=0
BASE_DONE r=-1/4 s=1/4 rc=0 hits=0
BASE_DONE r=-1/4 s=-4/1 rc=0 hits=0
BASE_DONE r=-1/4 s=3/1 rc=0 hits=0
BASE_DONE r=-1/4 s=-3/4 rc=0 hits=0
BASE_DONE r=-1/4 s=4/3 rc=0 hits=0
BASE_DONE r=-1/4 s=-3/2 rc=0 hits=0
BASE_DONE r=3/4 s=4/1 rc=0 hits=0
BASE_DONE r=3/4 s=-4/1 rc=0 hits=0
BASE_DONE r=-1/4 s=4/1 rc=0 hits=0
BASE_DONE r=-3/4 s=4/1 rc=0 hits=0
BASE_DONE r=3/4 s=-4/3 rc=0 hits=0
BASE_DONE r=-1/4 s=3/4 rc=0 hits=0
BASE_DONE r=-3/4 s=3/4 rc=0 hits=0
BASE_DONE r=-4/3 s=4/3 rc=0 hits=0
SWEEP_SHARD_DONE shard=0 2026-08-01 12:16:10
BASE_DONE r=-3/4 s=4/3 rc=0 hits=0
SWEEP_SHARD_DONE shard=1 2026-08-01 12:16:18
BASE_DONE r=-1/4 s=-4/3 rc=0 hits=0
BASE_DONE r=3/4 s=4/3 rc=0 hits=0
BASE_DONE r=-3/4 s=-4/1 rc=0 hits=0
BASE_DONE r=-3/4 s=-4/3 rc=0 hits=0
SWEEP_SHARD_DONE shard=2 2026-08-01 12:18:24
SWEEP_START shard=2/3 2026-08-01 12:21:04
SWEEP_START shard=0/3 2026-08-01 12:21:04
SWEEP_START shard=1/3 2026-08-01 12:21:04
BASE_DONE r=0/1 s=-5/1 rc=0 hits=0
BASE_DONE r=0/1 s=5/1 rc=0 hits=0
BASE_DONE r=0/1 s=1/5 rc=0 hits=0
BASE_DONE r=0/1 s=2/5 rc=0 hits=0
BASE_DONE r=0/1 s=-1/5 rc=0 hits=0
BASE_DONE r=0/1 s=-2/5 rc=0 hits=0
BASE_DONE r=0/1 s=-3/5 rc=0 hits=0
BASE_DONE r=0/1 s=3/5 rc=0 hits=0
BASE_DONE r=0/1 s=4/5 rc=0 hits=0
BASE_DONE r=0/1 s=5/2 rc=0 hits=0
BASE_DONE r=0/1 s=-5/2 rc=0 hits=0
BASE_DONE r=0/1 s=-4/5 rc=0 hits=0
BASE_DONE r=0/1 s=-5/3 rc=0 hits=0
BASE_DONE r=0/1 s=5/3 rc=0 hits=0
BASE_DONE r=0/1 s=5/4 rc=0 hits=0
BASE_DONE r=1/1 s=-5/1 rc=0 hits=0
BASE_DONE r=1/1 s=1/5 rc=0 hits=0
BASE_DONE r=0/1 s=-5/4 rc=0 hits=0
BASE_DONE r=1/1 s=5/1 rc=0 hits=0
BASE_DONE r=1/1 s=2/5 rc=0 hits=0
BASE_DONE r=1/1 s=-2/5 rc=0 hits=0
BASE_DONE r=1/1 s=-3/5 rc=0 hits=0
BASE_DONE r=1/1 s=-1/5 rc=0 hits=0
BASE_DONE r=1/1 s=4/5 rc=0 hits=0
BASE_DONE r=1/1 s=5/2 rc=0 hits=0
BASE_DONE r=1/1 s=3/5 rc=0 hits=0
BASE_DONE r=1/1 s=-5/3 rc=0 hits=0
BASE_DONE r=1/1 s=-5/2 rc=0 hits=0
BASE_DONE r=-1/1 s=5/1 rc=0 hits=0
BASE_DONE r=1/1 s=-4/5 rc=0 hits=0
BASE_DONE r=1/1 s=5/4 rc=0 hits=0
BASE_DONE r=-1/1 s=-1/5 rc=0 hits=0
BASE_DONE r=1/1 s=5/3 rc=0 hits=0
BASE_DONE r=-1/1 s=-5/1 rc=0 hits=0
BASE_DONE r=-1/1 s=3/5 rc=0 hits=0
BASE_DONE r=1/1 s=-5/4 rc=0 hits=0
BASE_DONE r=-1/1 s=2/5 rc=0 hits=0
BASE_DONE r=-1/1 s=-4/5 rc=0 hits=0
BASE_DONE r=-1/1 s=1/5 rc=0 hits=0
BASE_DONE r=-1/1 s=-3/5 rc=0 hits=0
BASE_DONE r=-1/1 s=5/3 rc=0 hits=0
BASE_DONE r=-1/1 s=5/2 rc=0 hits=0
BASE_DONE r=-1/1 s=-2/5 rc=0 hits=0
BASE_DONE r=-1/1 s=-5/4 rc=0 hits=0
BASE_DONE r=-1/1 s=-5/3 rc=0 hits=0
BASE_DONE r=-1/1 s=4/5 rc=0 hits=0
BASE_DONE r=2/1 s=2/5 rc=0 hits=0
BASE_DONE r=2/1 s=5/1 rc=0 hits=0
BASE_DONE r=-1/1 s=-5/2 rc=0 hits=0
BASE_DONE r=2/1 s=-2/5 rc=0 hits=0
BASE_DONE r=2/1 s=-3/5 rc=0 hits=0
BASE_DONE r=-1/1 s=5/4 rc=0 hits=0
BASE_DONE r=2/1 s=5/2 rc=0 hits=0
BASE_DONE r=2/1 s=4/5 rc=0 hits=0
BASE_DONE r=2/1 s=-5/1 rc=0 hits=0
BASE_DONE r=2/1 s=-5/2 rc=0 hits=0
BASE_DONE r=2/1 s=-5/3 rc=0 hits=0
BASE_DONE r=2/1 s=3/5 rc=0 hits=0
BASE_DONE r=-2/1 s=2/5 rc=0 hits=0
