p	A	B	C	rho	sigma	pairing	M	N	reason
67	7	43	65	36	54	1	-1	-1	projective_MN_missing_6
67	7	43	65	36	54	2	-1	-1	projective_MN_missing_6
67	7	43	65	36	54	3	-1	-1	projective_MN_missing_6
67	7	65	43	36	54	1	-1	-1	projective_MN_missing_6
67	7	65	43	36	54	2	-1	-1	projective_MN_missing_6
67	7	65	43	36	54	3	-1	-1	projective_MN_missing_6
67	33	48	53	13	31	1	-1	-1	projective_MN_missing_6
67	33	48	53	13	31	2	-1	-1	projective_MN_missing_6
67	33	48	53	13	31	3	-1	-1	projective_MN_missing_6
67	33	53	48	13	31	1	-1	-1	projective_MN_missing_6
67	33	53	48	13	31	2	-1	-1	projective_MN_missing_6
67	33	53	48	13	31	3	-1	-1	projective_MN_missing_6
67	43	7	65	36	54	1	-1	-1	projective_MN_missing_6
67	43	7	65	36	54	2	-1	-1	projective_MN_missing_6
67	43	7	65	36	54	3	-1	-1	projective_MN_missing_6
67	43	65	7	36	54	1	-1	-1	projective_MN_missing_6
67	43	65	7	36	54	2	-1	-1	projective_MN_missing_6
67	43	65	7	36	54	3	-1	-1	projective_MN_missing_6
67	48	33	53	13	31	1	-1	-1	projective_MN_missing_6
67	48	33	53	13	31	2	-1	-1	projective_MN_missing_6
67	48	33	53	13	31	3	-1	-1	projective_MN_missing_6
67	48	53	33	13	31	1	-1	-1	projective_MN_missing_6
67	48	53	33	13	31	2	-1	-1	projective_MN_missing_6
67	48	53	33	13	31	3	-1	-1	projective_MN_missing_6
67	53	33	48	13	31	1	-1	-1	projective_MN_missing_6
67	53	33	48	13	31	2	-1	-1	projective_MN_missing_6
67	53	33	48	13	31	3	-1	-1	projective_MN_missing_6
67	53	48	33	13	31	1	-1	-1	projective_MN_missing_6
67	53	48	33	13	31	2	-1	-1	projective_MN_missing_6
67	53	48	33	13	31	3	-1	-1	projective_MN_missing_6
67	65	7	43	36	54	1	-1	-1	projective_MN_missing_6
67	65	7	43	36	54	2	-1	-1	projective_MN_missing_6
67	65	7	43	36	54	3	-1	-1	projective_MN_missing_6
67	65	43	7	36	54	1	-1	-1	projective_MN_missing_6
67	65	43	7	36	54	2	-1	-1	projective_MN_missing_6
67	65	43	7	36	54	3	-1	-1	projective_MN_missing_6
