a	b	c	d	e1	e2	e3	e4	L	U	v
1	2	3	7	6	13	5	16	8	16	15
1	2	7	3	6	13	5	16	8	16	15
1	3	2	7	6	13	5	16	8	16	15
1	3	5	8	4	10	5	17	7	17	10
1	3	7	2	6	13	5	16	8	16	15
1	3	8	5	4	10	5	17	7	17	10
1	3	11	14	4	10	5	17	7	17	10
1	3	12	17	6	13	5	16	8	16	15
1	3	14	11	4	10	5	17	7	17	10
1	3	17	12	6	13	5	16	8	16	15
1	4	12	13	7	14	17	9	9	6	8
1	4	13	12	7	14	17	9	9	6	8
1	5	3	8	4	10	5	17	7	17	10
1	5	8	3	4	10	5	17	7	17	10
1	7	2	3	6	13	5	16	8	16	15
1	7	3	2	6	13	5	16	8	16	15
1	7	13	15	7	14	17	9	9	6	8
1	7	15	13	7	14	17	9	9	6	8
1	8	3	5	4	10	5	17	7	17	10
1	8	5	3	4	10	5	17	7	17	10
1	8	9	13	11	2	17	6	4	4	18
1	8	13	9	11	2	17	6	4	4	18
1	9	8	13	11	2	17	6	4	4	18
1	9	13	8	11	2	17	6	4	4	18
1	10	11	13	11	2	17	6	4	4	18
1	10	13	11	11	2	17	6	4	4	18
1	11	3	14	4	10	5	17	7	17	10
1	11	10	13	11	2	17	6	4	4	18
1	11	13	10	11	2	17	6	4	4	18
1	11	14	3	4	10	5	17	7	17	10
1	12	3	17	6	13	5	16	8	16	15
1	12	4	13	7	14	17	9	9	6	8
1	12	13	4	7	14	17	9	9	6	8
1	12	17	3	6	13	5	16	8	16	15
1	13	4	12	7	14	17	9	9	6	8
1	13	7	15	7	14	17	9	9	6	8
1	13	8	9	11	2	17	6	4	4	18
1	13	9	8	11	2	17	6	4	4	18
1	13	10	11	11	2	17	6	4	4	18
1	13	11	10	11	2	17	6	4	4	18
1	13	12	4	7	14	17	9	9	6	8
1	13	15	7	7	14	17	9	9	6	8
1	14	3	11	4	10	5	17	7	17	10
1	14	11	3	4	10	5	17	7	17	10
1	15	7	13	7	14	17	9	9	6	8
1	15	13	7	7	14	17	9	9	6	8
1	17	3	12	6	13	5	16	8	16	15
1	17	12	3	6	13	5	16	8	16	15
