a	b	c	d	e1	e2	e3	e4	L	U	v
1	2	11	23	17	12	20	24	13	11	9
1	2	16	19	13	8	26	1	12	12	23
1	2	19	16	13	8	26	1	12	12	23
1	2	23	11	17	12	20	24	13	11	9
1	3	5	21	12	5	10	16	10	19	5
1	3	5	27	10	22	14	1	10	26	13
1	3	11	20	9	27	10	20	8	15	7
1	3	13	18	10	13	11	7	4	17	23
1	3	18	13	10	13	11	7	4	17	23
1	3	18	25	2	9	3	24	6	8	25
1	3	19	24	19	18	25	25	7	14	22
1	3	20	11	9	27	10	20	8	15	7
1	3	21	5	12	5	10	16	10	19	5
1	3	24	19	19	18	25	25	7	14	22
1	3	25	18	2	9	3	24	6	8	25
1	3	27	5	10	22	14	1	10	26	13
1	4	7	13	3	26	19	24	4	24	4
1	4	13	7	3	26	19	24	4	24	4
1	5	3	21	12	5	10	16	10	19	5
1	5	3	27	10	22	14	1	10	26	13
1	5	7	9	11	8	14	16	7	1	5
1	5	8	19	16	17	9	7	10	0	8
1	5	9	7	11	8	14	16	7	1	5
1	5	12	21	2	4	27	24	3	15	22
1	5	14	26	28	14	7	20	1	0	14
1	5	19	8	16	17	9	7	10	0	8
1	5	21	3	12	5	10	16	10	19	5
1	5	21	12	2	4	27	24	3	15	22
1	5	26	14	28	14	7	20	1	0	14
1	5	27	3	10	22	14	1	10	26	13
1	6	10	14	14	22	10	1	11	18	9
1	6	10	18	26	13	8	20	2	17	6
1	6	11	26	22	19	23	25	6	0	11
1	6	13	25	19	15	17	20	13	7	6
1	6	14	10	14	22	10	1	11	18	9
1	6	17	18	12	5	17	23	2	8	4
1	6	18	10	26	13	8	20	2	17	6
1	6	18	17	12	5	17	23	2	8	4
1	6	19	27	25	21	13	16	2	0	27
1	6	25	13	19	15	17	20	13	7	6
1	6	26	11	22	19	23	25	6	0	11
1	6	27	19	25	21	13	16	2	0	27
1	7	4	13	3	26	19	24	4	24	4
1	7	5	9	11	8	14	16	7	1	5
1	7	9	5	11	8	14	16	7	1	5
1	7	10	21	11	4	17	23	13	15	7
1	7	13	4	3	26	19	24	4	24	4
1	7	21	10	11	4	17	23	13	15	7
1	8	5	19	16	17	9	7	10	0	8
1	8	10	16	15	26	28	16	12	8	25
1	8	15	24	25	15	14	23	6	3	13
1	8	16	10	15	26	28	16	12	8	25
1	8	19	5	16	17	9	7	10	0	8
1	8	24	15	25	15	14	23	6	3	13
1	9	5	7	11	8	14	16	7	1	5
1	9	7	5	11	8	14	16	7	1	5
1	9	10	21	14	6	18	25	13	19	24
1	9	17	27	27	4	2	24	7	14	7
1	9	21	10	14	6	18	25	13	19	24
1	9	22	25	2	18	11	23	1	16	22
1	9	25	22	2	18	11	23	1	16	22
1	9	27	17	27	4	2	24	7	14	7
1	10	6	14	14	22	10	1	11	18	9
1	10	6	18	26	13	8	20	2	17	6
1	10	7	21	11	4	17	23	13	15	7
1	10	8	16	15	26	28	16	12	8	25
1	10	9	21	14	6	18	25	13	19	24
1	10	14	6	14	22	10	1	11	18	9
1	10	16	8	15	26	28	16	12	8	25
1	10	18	6	26	13	8	20	2	17	6
1	10	21	7	11	4	17	23	13	15	7
1	10	21	9	14	6	18	25	13	19	24
1	10	23	26	1	10	17	7	7	21	4
1	10	26	23	1	10	17	7	7	21	4
1	11	2	23	17	12	20	24	13	11	9
1	11	3	20	9	27	10	20	8	15	7
1	11	6	26	22	19	23	25	6	0	11
1	11	20	3	9	27	10	20	8	15	7
1	11	23	2	17	12	20	24	13	11	9
1	11	26	6	22	19	23	25	6	0	11
1	12	5	21	2	4	27	24	3	15	22
1	12	13	14	17	5	12	23	5	21	25
1	12	14	13	17	5	12	23	5	21	25
1	12	21	5	2	4	27	24	3	15	22
1	13	3	18	10	13	11	7	4	17	23
1	13	4	7	3	26	19	24	4	24	4
1	13	6	25	19	15	17	20	13	7	6
1	13	7	4	3	26	19	24	4	24	4
1	13	12	14	17	5	12	23	5	21	25
1	13	14	12	17	5	12	23	5	21	25
1	13	18	3	10	13	11	7	4	17	23
1	13	25	6	19	15	17	20	13	7	6
1	14	5	26	28	14	7	20	1	0	14
1	14	6	10	14	22	10	1	11	18	9
1	14	10	6	14	22	10	1	11	18	9
1	14	12	13	17	5	12	23	5	21	25
1	14	13	12	17	5	12	23	5	21	25
1	14	16	21	24	15	28	7	5	8	21
1	14	19	20	1	18	13	24	13	10	19
1	14	20	19	1	18	13	24	13	10	19
1	14	21	16	24	15	28	7	5	8	21
1	14	26	5	28	14	7	20	1	0	14
1	15	8	24	25	15	14	23	6	3	13
1	15	20	26	26	8	13	1	8	10	24
1	15	24	8	25	15	14	23	6	3	13
1	15	26	20	26	8	13	1	8	10	24
1	16	2	19	13	8	26	1	12	12	23
1	16	8	10	15	26	28	16	12	8	25
1	16	10	8	15	26	28	16	12	8	25
1	16	14	21	24	15	28	7	5	8	21
1	16	19	2	13	8	26	1	12	12	23
1	16	21	14	24	15	28	7	5	8	21
1	16	26	27	9	8	23	23	10	3	26
1	16	27	26	9	8	23	23	10	3	26
1	17	6	18	12	5	17	23	2	8	4
1	17	9	27	27	4	2	24	7	14	7
1	17	18	6	12	5	17	23	2	8	4
1	17	27	9	27	4	2	24	7	14	7
1	18	3	13	10	13	11	7	4	17	23
1	18	3	25	2	9	3	24	6	8	25
1	18	6	10	26	13	8	20	2	17	6
1	18	6	17	12	5	17	23	2	8	4
1	18	10	6	26	13	8	20	2	17	6
1	18	13	3	10	13	11	7	4	17	23
1	18	17	6	12	5	17	23	2	8	4
1	18	20	27	4	27	20	25	3	11	18
1	18	25	3	2	9	3	24	6	8	25
1	18	27	20	4	27	20	25	3	11	18
1	19	2	16	13	8	26	1	12	12	23
1	19	3	24	19	18	25	25	7	14	22
1	19	5	8	16	17	9	7	10	0	8
1	19	6	27	25	21	13	16	2	0	27
1	19	8	5	16	17	9	7	10	0	8
1	19	14	20	1	18	13	24	13	10	19
1	19	16	2	13	8	26	1	12	12	23
1	19	20	14	1	18	13	24	13	10	19
1	19	24	3	19	18	25	25	7	14	22
1	19	27	6	25	21	13	16	2	0	27
1	20	3	11	9	27	10	20	8	15	7
1	20	11	3	9	27	10	20	8	15	7
1	20	14	19	1	18	13	24	13	10	19
1	20	15	26	26	8	13	1	8	10	24
1	20	18	27	4	27	20	25	3	11	18
1	20	19	14	1	18	13	24	13	10	19
1	20	26	15	26	8	13	1	8	10	24
1	20	27	18	4	27	20	25	3	11	18
1	21	3	5	12	5	10	16	10	19	5
1	21	5	3	12	5	10	16	10	19	5
1	21	5	12	2	4	27	24	3	15	22
1	21	7	10	11	4	17	23	13	15	7
1	21	9	10	14	6	18	25	13	19	24
1	21	10	7	11	4	17	23	13	15	7
1	21	10	9	14	6	18	25	13	19	24
1	21	12	5	2	4	27	24	3	15	22
1	21	14	16	24	15	28	7	5	8	21
1	21	16	14	24	15	28	7	5	8	21
1	22	9	25	2	18	11	23	1	16	22
1	22	25	9	2	18	11	23	1	16	22
1	23	2	11	17	12	20	24	13	11	9
1	23	10	26	1	10	17	7	7	21	4
1	23	11	2	17	12	20	24	13	11	9
1	23	26	10	1	10	17	7	7	21	4
1	24	3	19	19	18	25	25	7	14	22
1	24	8	15	25	15	14	23	6	3	13
1	24	15	8	25	15	14	23	6	3	13
1	24	19	3	19	18	25	25	7	14	22
1	25	3	18	2	9	3	24	6	8	25
1	25	6	13	19	15	17	20	13	7	6
1	25	9	22	2	18	11	23	1	16	22
1	25	13	6	19	15	17	20	13	7	6
1	25	18	3	2	9	3	24	6	8	25
1	25	22	9	2	18	11	23	1	16	22
1	26	5	14	28	14	7	20	1	0	14
1	26	6	11	22	19	23	25	6	0	11
1	26	10	23	1	10	17	7	7	21	4
1	26	11	6	22	19	23	25	6	0	11
1	26	14	5	28	14	7	20	1	0	14
1	26	15	20	26	8	13	1	8	10	24
1	26	16	27	9	8	23	23	10	3	26
1	26	20	15	26	8	13	1	8	10	24
1	26	23	10	1	10	17	7	7	21	4
1	26	27	16	9	8	23	23	10	3	26
1	27	3	5	10	22	14	1	10	26	13
1	27	5	3	10	22	14	1	10	26	13
1	27	6	19	25	21	13	16	2	0	27
1	27	9	17	27	4	2	24	7	14	7
1	27	16	26	9	8	23	23	10	3	26
1	27	17	9	27	4	2	24	7	14	7
1	27	18	20	4	27	20	25	3	11	18
1	27	19	6	25	21	13	16	2	0	27
1	27	20	18	4	27	20	25	3	11	18
1	27	26	16	9	8	23	23	10	3	26
