a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
8019	8181	8613	8787	6	2673	2727	-2871	-2929	1	0	0	0	0
8118	8382	9102	9398	6	4059	4191	-4551	-4699	1	0	0	0	0
8131	8319	8823	9027	6	8131	8319	-8823	-9027	1	0	0	0	0
8140	8360	8954	9196	6	370	380	-407	-418	1	0	0	0	0
8162	8268	8547	8658	6	8162	8268	-8547	-8658	1	0	0	0	0
8256	8514	9216	9504	6	1376	1419	-1536	-1584	1	0	0	0	0
8260	8496	9135	9396	6	8260	8496	-9135	-9396	1	0	0	0	0
8262	8388	8721	8854	6	8262	8388	-8721	-8854	1	0	0	0	0
8281	8619	9555	9945	6	637	663	-735	-765	1	0	0	0	0
8300	8632	9550	9932	6	4150	4316	-4775	-4966	1	0	0	0	0
8352	8448	8700	8800	6	2088	2112	-2175	-2200	1	0	0	0	0
8360	8640	9405	9720	6	1672	1728	-1881	-1944	1	0	0	0	0
8400	8410	8526	9135	6	8400	8410	-8526	-9135	0	0	0	0	0
8400	8420	8820	8841	6	8400	8420	-8820	-8841	1	0	0	0	0
8424	8676	9360	9640	6	2106	2169	-2340	-2410	1	0	0	0	0
8432	8568	8928	9072	6	1054	1071	-1116	-1134	1	0	0	0	0
8440	8900	9284	9790	6	4220	4450	-4642	-4895	1	0	0	0	0
8453	8667	9243	9477	6	8453	8667	-9243	-9477	1	0	0	0	0
8510	8740	9361	9614	6	370	380	-407	-418	1	0	0	0	0
8684	8866	9352	9548	6	4342	4433	-4676	-4774	1	0	0	0	0
8748	8991	9648	9916	6	8748	8991	-9648	-9916	1	0	0	0	0
8892	9048	9462	9628	6	4446	4524	-4731	-4814	1	0	0	0	0
