u	t	w	u0	t0	w0
0	0	0	0	0	0
0	11	0	0	0	0
0	22	0	0	0	0
0	33	0	0	0	0
0	44	0	0	0	0
0	55	0	0	0	0
0	66	0	0	0	0
0	77	0	0	0	0
0	88	0	0	0	0
0	99	0	0	0	0
0	110	0	0	0	0
1	0	1	1	0	1
1	0	12	1	0	1
1	0	23	1	0	1
1	0	34	1	0	1
1	0	45	1	0	1
1	0	56	1	0	1
1	0	67	1	0	1
1	0	72	1	0	6
1	0	78	1	0	1
1	0	89	1	0	1
1	0	100	1	0	1
1	0	111	1	0	1
1	7	71	1	7	5
1	11	1	1	0	1
1	11	12	1	0	1
1	11	23	1	0	1
1	11	34	1	0	1
1	11	45	1	0	1
1	11	56	1	0	1
1	11	67	1	0	1
1	11	72	1	0	6
1	11	78	1	0	1
1	11	89	1	0	1
1	11	100	1	0	1
1	11	111	1	0	1
1	18	27	1	7	5
1	22	1	1	0	1
1	22	12	1	0	1
1	22	23	1	0	1
1	22	34	1	0	1
1	22	45	1	0	1
1	22	56	1	0	1
1	22	67	1	0	1
1	22	72	1	0	6
1	22	78	1	0	1
1	22	89	1	0	1
1	22	100	1	0	1
1	22	111	1	0	1
1	29	104	1	7	5
1	33	1	1	0	1
1	33	12	1	0	1
1	33	23	1	0	1
1	33	34	1	0	1
1	33	45	1	0	1
1	33	56	1	0	1
1	33	67	1	0	1
1	33	72	1	0	6
1	33	78	1	0	1
1	33	89	1	0	1
1	33	100	1	0	1
1	33	111	1	0	1
1	40	60	1	7	5
1	44	1	1	0	1
1	44	12	1	0	1
1	44	23	1	0	1
1	44	34	1	0	1
1	44	45	1	0	1
1	44	56	1	0	1
1	44	67	1	0	1
1	44	72	1	0	6
1	44	78	1	0	1
1	44	89	1	0	1
1	44	100	1	0	1
1	44	111	1	0	1
1	51	16	1	7	5
1	55	1	1	0	1
1	55	12	1	0	1
1	55	23	1	0	1
1	55	34	1	0	1
1	55	45	1	0	1
1	55	56	1	0	1
1	55	67	1	0	1
1	55	72	1	0	6
1	55	78	1	0	1
1	55	89	1	0	1
1	55	100	1	0	1
1	55	111	1	0	1
1	62	93	1	7	5
1	66	1	1	0	1
1	66	12	1	0	1
1	66	23	1	0	1
1	66	34	1	0	1
1	66	45	1	0	1
1	66	56	1	0	1
1	66	67	1	0	1
1	66	72	1	0	6
1	66	78	1	0	1
1	66	89	1	0	1
1	66	100	1	0	1
1	66	111	1	0	1
1	73	49	1	7	5
1	77	1	1	0	1
1	77	12	1	0	1
1	77	23	1	0	1
1	77	34	1	0	1
1	77	45	1	0	1
1	77	56	1	0	1
1	77	67	1	0	1
1	77	72	1	0	6
1	77	78	1	0	1
1	77	89	1	0	1
1	77	100	1	0	1
1	77	111	1	0	1
1	84	5	1	7	5
1	88	1	1	0	1
1	88	12	1	0	1
1	88	23	1	0	1
1	88	34	1	0	1
1	88	45	1	0	1
1	88	56	1	0	1
1	88	67	1	0	1
1	88	72	1	0	6
1	88	78	1	0	1
1	88	89	1	0	1
1	88	100	1	0	1
1	88	111	1	0	1
1	95	82	1	7	5
1	99	1	1	0	1
1	99	12	1	0	1
1	99	23	1	0	1
1	99	34	1	0	1
1	99	45	1	0	1
1	99	56	1	0	1
1	99	67	1	0	1
1	99	72	1	0	6
1	99	78	1	0	1
1	99	89	1	0	1
1	99	100	1	0	1
1	99	111	1	0	1
1	106	38	1	7	5
1	110	1	1	0	1
1	110	12	1	0	1
1	110	23	1	0	1
1	110	34	1	0	1
1	110	45	1	0	1
1	110	56	1	0	1
1	110	67	1	0	1
1	110	72	1	0	6
1	110	78	1	0	1
1	110	89	1	0	1
1	110	100	1	0	1
1	110	111	1	0	1
1	117	115	1	7	5
2	75	81	2	9	4
3	0	6	3	0	6
3	0	17	3	0	6
3	0	28	3	0	6
3	0	39	3	0	6
3	0	50	3	0	6
3	0	61	3	0	6
3	0	72	3	0	6
3	0	83	3	0	6
3	0	94	3	0	6
3	0	105	3	0	6
3	0	116	3	0	6
3	11	6	3	0	6
3	11	17	3	0	6
3	11	28	3	0	6
3	11	39	3	0	6
3	11	50	3	0	6
3	11	61	3	0	6
3	11	72	3	0	6
3	11	83	3	0	6
3	11	94	3	0	6
3	11	105	3	0	6
3	11	116	3	0	6
3	15	75	3	4	9
3	22	6	3	0	6
3	22	17	3	0	6
3	22	28	3	0	6
3	22	39	3	0	6
3	22	50	3	0	6
3	22	61	3	0	6
3	22	72	3	0	6
3	22	83	3	0	6
3	22	94	3	0	6
3	22	105	3	0	6
3	22	116	3	0	6
3	33	6	3	0	6
3	33	17	3	0	6
3	33	28	3	0	6
3	33	39	3	0	6
3	33	50	3	0	6
3	33	61	3	0	6
3	33	72	3	0	6
3	33	83	3	0	6
3	33	94	3	0	6
3	33	105	3	0	6
3	33	116	3	0	6
3	44	6	3	0	6
3	44	17	3	0	6
3	44	28	3	0	6
3	44	39	3	0	6
3	44	50	3	0	6
3	44	61	3	0	6
3	44	72	3	0	6
3	44	83	3	0	6
3	44	94	3	0	6
3	44	105	3	0	6
3	44	116	3	0	6
3	55	6	3	0	6
3	55	17	3	0	6
3	55	28	3	0	6
3	55	39	3	0	6
3	55	50	3	0	6
3	55	61	3	0	6
3	55	72	3	0	6
3	55	83	3	0	6
3	55	94	3	0	6
3	55	105	3	0	6
3	55	116	3	0	6
3	66	6	3	0	6
3	66	17	3	0	6
3	66	28	3	0	6
3	66	39	3	0	6
3	66	50	3	0	6
3	66	61	3	0	6
3	66	72	3	0	6
3	66	83	3	0	6
3	66	94	3	0	6
3	66	105	3	0	6
3	66	116	3	0	6
3	77	6	3	0	6
3	77	17	3	0	6
3	77	28	3	0	6
3	77	39	3	0	6
3	77	50	3	0	6
3	77	61	3	0	6
3	77	72	3	0	6
3	77	83	3	0	6
3	77	94	3	0	6
3	77	105	3	0	6
3	77	116	3	0	6
3	88	6	3	0	6
3	88	17	3	0	6
3	88	28	3	0	6
3	88	39	3	0	6
3	88	50	3	0	6
3	88	61	3	0	6
3	88	72	3	0	6
3	88	83	3	0	6
3	88	94	3	0	6
3	88	105	3	0	6
3	88	116	3	0	6
3	99	6	3	0	6
3	99	17	3	0	6
3	99	28	3	0	6
3	99	39	3	0	6
3	99	50	3	0	6
3	99	61	3	0	6
3	99	72	3	0	6
3	99	83	3	0	6
3	99	94	3	0	6
3	99	105	3	0	6
3	99	116	3	0	6
3	110	6	3	0	6
3	110	17	3	0	6
3	110	28	3	0	6
3	110	39	3	0	6
3	110	50	3	0	6
3	110	61	3	0	6
3	110	72	3	0	6
3	110	83	3	0	6
3	110	94	3	0	6
3	110	105	3	0	6
3	110	116	3	0	6
4	0	10	4	0	10
4	0	21	4	0	10
4	0	32	4	0	10
4	0	43	4	0	10
4	0	54	4	0	10
4	0	65	4	0	10
4	0	76	4	0	10
4	0	87	4	0	10
4	0	98	4	0	10
4	0	109	4	0	10
4	0	120	4	0	10
4	5	10	4	5	10
4	5	21	4	5	10
4	5	32	4	5	10
4	5	43	4	5	10
4	5	54	4	5	10
4	5	65	4	5	10
4	5	76	4	5	10
4	5	87	4	5	10
4	5	98	4	5	10
4	5	109	4	5	10
4	5	120	4	5	10
4	9	54	4	9	10
4	11	10	4	0	10
4	11	21	4	0	10
4	11	32	4	0	10
4	11	43	4	0	10
4	11	54	4	0	10
4	11	65	4	0	10
4	11	76	4	0	10
4	11	87	4	0	10
4	11	98	4	0	10
4	11	109	4	0	10
4	11	120	4	0	10
4	16	10	4	5	10
4	16	21	4	5	10
4	16	32	4	5	10
4	16	43	4	5	10
4	16	54	4	5	10
4	16	65	4	5	10
4	16	76	4	5	10
4	16	87	4	5	10
4	16	98	4	5	10
4	16	109	4	5	10
4	16	120	4	5	10
4	20	120	4	9	10
4	22	10	4	0	10
4	22	21	4	0	10
4	22	32	4	0	10
4	22	43	4	0	10
4	22	54	4	0	10
4	22	65	4	0	10
4	22	76	4	0	10
4	22	87	4	0	10
4	22	98	4	0	10
4	22	109	4	0	10
4	22	120	4	0	10
4	27	10	4	5	10
4	27	21	4	5	10
4	27	32	4	5	10
4	27	43	4	5	10
4	27	54	4	5	10
4	27	65	4	5	10
4	27	76	4	5	10
4	27	87	4	5	10
4	27	98	4	5	10
4	27	109	4	5	10
4	27	120	4	5	10
4	31	65	4	9	10
4	33	10	4	0	10
4	33	21	4	0	10
4	33	32	4	0	10
4	33	43	4	0	10
4	33	54	4	0	10
4	33	65	4	0	10
4	33	76	4	0	10
4	33	87	4	0	10
4	33	98	4	0	10
4	33	109	4	0	10
4	33	120	4	0	10
4	38	10	4	5	10
4	38	21	4	5	10
4	38	32	4	5	10
4	38	43	4	5	10
4	38	54	4	5	10
4	38	65	4	5	10
4	38	76	4	5	10
4	38	87	4	5	10
4	38	98	4	5	10
4	38	109	4	5	10
4	38	120	4	5	10
4	42	10	4	9	10
4	44	10	4	0	10
4	44	21	4	0	10
4	44	32	4	0	10
4	44	43	4	0	10
4	44	54	4	0	10
4	44	65	4	0	10
4	44	76	4	0	10
4	44	87	4	0	10
4	44	98	4	0	10
4	44	109	4	0	10
4	44	120	4	0	10
4	49	10	4	5	10
4	49	21	4	5	10
4	49	32	4	5	10
4	49	43	4	5	10
4	49	54	4	5	10
4	49	65	4	5	10
4	49	76	4	5	10
4	49	87	4	5	10
4	49	98	4	5	10
4	49	109	4	5	10
4	49	120	4	5	10
4	53	76	4	9	10
4	55	10	4	0	10
4	55	21	4	0	10
4	55	32	4	0	10
4	55	43	4	0	10
4	55	54	4	0	10
4	55	65	4	0	10
4	55	76	4	0	10
4	55	87	4	0	10
4	55	98	4	0	10
4	55	109	4	0	10
4	55	120	4	0	10
4	60	10	4	5	10
4	60	21	4	5	10
4	60	32	4	5	10
4	60	43	4	5	10
4	60	54	4	5	10
4	60	65	4	5	10
4	60	76	4	5	10
4	60	87	4	5	10
4	60	98	4	5	10
4	60	109	4	5	10
4	60	120	4	5	10
4	64	21	4	9	10
4	66	10	4	0	10
4	66	21	4	0	10
4	66	32	4	0	10
4	66	43	4	0	10
4	66	54	4	0	10
4	66	65	4	0	10
4	66	76	4	0	10
4	66	87	4	0	10
4	66	98	4	0	10
4	66	109	4	0	10
4	66	120	4	0	10
4	71	10	4	5	10
4	71	21	4	5	10
4	71	32	4	5	10
4	71	43	4	5	10
4	71	54	4	5	10
4	71	65	4	5	10
4	71	76	4	5	10
4	71	87	4	5	10
4	71	98	4	5	10
4	71	109	4	5	10
4	71	120	4	5	10
4	75	87	4	9	10
4	76	10	4	10	10
4	77	10	4	0	10
4	77	21	4	0	10
4	77	32	4	0	10
4	77	43	4	0	10
4	77	54	4	0	10
4	77	65	4	0	10
4	77	76	4	0	10
4	77	87	4	0	10
4	77	98	4	0	10
4	77	109	4	0	10
4	77	120	4	0	10
4	82	10	4	5	10
4	82	21	4	5	10
4	82	32	4	5	10
4	82	43	4	5	10
4	82	54	4	5	10
4	82	65	4	5	10
4	82	76	4	5	10
4	82	87	4	5	10
4	82	98	4	5	10
4	82	109	4	5	10
4	82	120	4	5	10
4	86	32	4	9	10
4	88	10	4	0	10
4	88	21	4	0	10
4	88	32	4	0	10
4	88	43	4	0	10
4	88	54	4	0	10
4	88	65	4	0	10
4	88	76	4	0	10
4	88	87	4	0	10
