p	A	B	R	S	rho_zero	sigma_zero	branch_collision	smooth_slice_sheets	open_presentations	target_presentations	target_halves	half_boundary_points
67	1	1	0	0	1	1	-1	0	0	0	0	0
67	1	2	19	19	0	0	1	0	0	0	0	0
67	1	3	22	22	0	0	1	0	0	0	0	0
67	1	4	35	35	0	0	1	0	0	0	0	0
67	1	5	15	15	0	0	1	0	0	0	0	0
67	1	6	21	21	0	0	1	0	0	0	0	0
67	1	7	6	6	0	0	1	0	0	0	0	0
67	1	8	17	17	0	0	1	0	0	0	0	0
67	1	9	36	36	0	0	1	0	0	0	0	0
67	1	10	29	29	0	0	1	0	0	0	0	0
67	1	11	21	21	0	0	1	0	0	0	0	0
67	1	12	55	55	0	0	1	0	0	0	0	0
67	1	13	56	56	0	0	1	0	0	0	0	0
67	1	14	33	33	0	0	1	0	0	0	0	0
67	1	15	36	36	0	0	1	0	0	0	0	0
67	1	16	25	25	0	0	1	0	0	0	0	0
67	1	17	35	35	0	0	1	0	0	0	0	0
67	1	18	60	60	0	0	1	0	0	0	0	0
67	1	19	6	6	0	0	1	0	0	0	0	0
67	1	20	29	29	0	0	1	0	0	0	0	0
67	1	21	25	25	0	0	1	0	0	0	0	0
67	1	22	22	22	0	0	1	0	0	0	0	0
67	1	23	10	10	0	0	1	0	0	0	0	0
67	1	24	33	33	0	0	1	0	0	0	0	0
67	1	25	17	17	0	0	1	0	0	0	0	0
67	1	26	60	60	0	0	1	0	0	0	0	0
67	1	27	15	15	0	0	1	0	0	0	0	0
67	1	28	55	55	0	0	1	0	0	0	0	0
67	1	29	64	64	0	0	1	0	0	0	0	0
67	1	30	64	64	0	0	1	0	0	0	0	0
67	1	31	56	56	0	0	1	0	0	0	0	0
67	1	32	10	10	0	0	1	0	0	0	0	0
67	1	33	19	19	0	0	1	0	0	0	0	0
67	1	34	19	19	0	0	1	0	0	0	0	0
67	1	35	10	10	0	0	1	0	0	0	0	0
67	1	36	56	56	0	0	1	0	0	0	0	0
67	1	37	64	64	0	0	1	0	0	0	0	0
67	1	38	64	64	0	0	1	0	0	0	0	0
67	1	39	55	55	0	0	1	0	0	0	0	0
67	1	40	15	15	0	0	1	0	0	0	0	0
67	1	41	60	60	0	0	1	0	0	0	0	0
67	1	42	17	17	0	0	1	0	0	0	0	0
67	1	43	33	33	0	0	1	0	0	0	0	0
67	1	44	10	10	0	0	1	0	0	0	0	0
67	1	45	22	22	0	0	1	0	0	0	0	0
67	1	46	25	25	0	0	1	0	0	0	0	0
67	1	47	29	29	0	0	1	0	0	0	0	0
67	1	48	6	6	0	0	1	0	0	0	0	0
67	1	49	60	60	0	0	1	0	0	0	0	0
67	1	50	35	35	0	0	1	0	0	0	0	0
67	1	51	25	25	0	0	1	0	0	0	0	0
67	1	52	36	36	0	0	1	0	0	0	0	0
67	1	53	33	33	0	0	1	0	0	0	0	0
67	1	54	56	56	0	0	1	0	0	0	0	0
67	1	55	55	55	0	0	1	0	0	0	0	0
67	1	56	21	21	0	0	1	0	0	0	0	0
67	1	57	29	29	0	0	1	0	0	0	0	0
67	1	58	36	36	0	0	1	0	0	0	0	0
67	1	59	17	17	0	0	1	0	0	0	0	0
67	1	60	6	6	0	0	1	0	0	0	0	0
67	1	61	21	21	0	0	1	0	0	0	0	0
67	1	62	15	15	0	0	1	0	0	0	0	0
67	1	63	35	35	0	0	1	0	0	0	0	0
67	1	64	22	22	0	0	1	0	0	0	0	0
67	1	65	19	19	0	0	1	0	0	0	0	0
67	1	66	0	0	1	1	-1	0	0	0	0	0
67	2	1	19	19	0	0	1	0	0	0	0	0
67	2	2	26	47	0	0	1	0	0	0	0	0
67	2	3	64	65	0	0	0	4	12	0	0	0
67	2	5	24	39	0	0	0	4	12	0	0	0
67	2	7	23	35	0	0	0	4	12	0	0	0
67	2	8	37	24	0	0	0	4	12	0	0	0
67	2	10	0	10	1	0	-1	0	0	0	0	0
67	2	11	64	65	0	0	0	4	12	0	0	0
67	2	17	26	47	0	0	1	0	0	0	0	0
67	2	19	56	33	0	0	0	4	12	0	0	0
67	2	20	24	39	0	0	0	4	12	0	0	0
67	2	21	37	24	0	0	0	4	12	0	0	0
67	2	22	35	16	0	0	0	4	12	0	0	0
67	2	24	23	35	0	0	0	4	12	0	0	0
67	2	30	56	33	0	0	0	4	12	0	0	0
67	2	32	35	16	0	0	0	4	12	0	0	0
67	2	33	19	19	0	0	1	0	0	0	0	0
67	2	34	19	19	0	0	1	0	0	0	0	0
67	2	35	35	16	0	0	0	4	12	6	96	0
67	2	37	56	33	0	0	0	4	12	0	0	0
67	2	43	23	35	0	0	0	4	12	0	0	0
67	2	45	35	16	0	0	0	4	12	6	96	0
67	2	46	37	24	0	0	0	4	12	0	0	0
67	2	47	24	39	0	0	0	4	12	0	0	0
67	2	48	56	33	0	0	0	4	12	0	0	0
67	2	50	26	47	0	0	1	0	0	0	0	0
67	2	56	64	65	0	0	0	4	12	0	0	0
67	2	57	0	10	1	0	-1	0	0	0	0	0
67	2	59	37	24	0	0	0	4	12	0	0	0
67	2	60	23	35	0	0	0	4	12	0	0	0
67	2	62	24	39	0	0	0	4	12	0	0	0
67	2	64	64	65	0	0	0	4	12	0	0	0
67	2	65	26	47	0	0	1	0	0	0	0	0
67	2	66	19	19	0	0	1	0	0	0	0	0
67	3	1	22	22	0	0	1	0	0	0	0	0
67	3	2	64	65	0	0	0	4	12	0	0	0
67	3	10	9	39	0	0	0	4	12	0	0	0
67	3	11	64	65	0	0	0	4	12	0	0	0
67	3	22	22	22	0	0	1	0	0	0	0	0
67	3	23	16	35	0	0	0	4	12	6	96	0
67	3	29	9	39	0	0	0	4	12	0	0	0
67	3	33	16	35	0	0	0	4	12	0	0	0
67	3	34	16	35	0	0	0	4	12	6	96	0
67	3	38	9	39	0	0	0	4	12	0	0	0
67	3	44	16	35	0	0	0	4	12	0	0	0
67	3	45	22	22	0	0	1	0	0	0	0	0
67	3	56	64	65	0	0	0	4	12	0	0	0
67	3	57	9	39	0	0	0	4	12	0	0	0
67	3	65	64	65	0	0	0	4	12	0	0	0
67	3	66	22	22	0	0	1	0	0	0	0	0
67	4	1	35	35	0	0	1	0	0	0	0	0
67	4	9	62	65	0	0	0	4	12	0	0	0
67	4	11	19	47	0	0	0	4	12	0	0	0
67	4	13	62	65	0	0	0	4	12	0	0	0
67	4	17	35	35	0	0	1	0	0	0	0	0
67	4	26	56	36	0	0	0	4	12	0	0	0
67	4	29	56	36	0	0	0	4	12	0	0	0
67	4	32	19	47	0	0	0	4	12	0	0	0
67	4	33	47	26	0	0	1	0	0	0	0	0
67	4	34	47	26	0	0	1	0	0	0	0	0
67	4	35	19	47	0	0	0	4	12	0	0	0
67	4	38	56	36	0	0	0	4	12	0	0	0
67	4	41	56	36	0	0	0	4	12	0	0	0
67	4	50	35	35	0	0	1	0	0	0	0	0
67	4	54	62	65	0	0	0	4	12	0	0	0
67	4	56	19	47	0	0	0	4	12	0	0	0
67	4	58	62	65	0	0	0	4	12	0	0	0
67	4	66	35	35	0	0	1	0	0	0	0	0
67	5	1	15	15	0	0	1	0	0	0	0	0
67	5	2	24	39	0	0	0	4	12	0	0	0
67	5	11	56	35	0	0	0	4	12	0	0	0
67	5	15	1	0	0	1	-1	0	0	0	0	0
67	5	20	24	39	0	0	0	4	12	0	0	0
67	5	21	23	14	0	0	0	4	12	0	0	0
67	5	25	1	0	0	1	-1	0	0	0	0	0
67	5	27	15	15	0	0	1	0	0	0	0	0
67	5	28	56	35	0	0	0	4	12	0	0	0
67	5	30	23	14	0	0	0	4	12	0	0	0
67	5	37	23	14	0	0	0	4	12	0	0	0
67	5	39	56	35	0	0	0	4	12	0	0	0
67	5	40	15	15	0	0	1	0	0	0	0	0
67	5	42	1	0	0	1	-1	0	0	0	0	0
67	5	46	23	14	0	0	0	4	12	0	0	0
67	5	47	24	39	0	0	0	4	12	0	0	0
67	5	52	1	0	0	1	-1	0	0	0	0	0
67	5	56	56	35	0	0	0	4	12	0	0	0
67	5	65	24	39	0	0	0	4	12	0	0	0
67	5	66	15	15	0	0	1	0	0	0	0	0
67	6	1	21	21	0	0	1	0	0	0	0	0
67	6	11	21	21	0	0	1	0	0	0	0	0
67	6	12	35	56	0	0	0	4	12	0	0	0
67	6	17	47	19	0	0	0	4	12	0	0	0
67	6	22	65	64	0	0	0	4	12	0	0	0
67	6	23	47	19	0	0	0	4	12	0	0	0
67	6	27	35	56	0	0	0	4	12	0	0	0
67	6	33	65	64	0	0	0	4	12	0	0	0
67	6	34	65	64	0	0	0	4	12	0	0	0
67	6	40	35	56	0	0	0	4	12	0	0	0
67	6	44	47	19	0	0	0	4	12	0	0	0
67	6	45	65	64	0	0	0	4	12	0	0	0
67	6	50	47	19	0	0	0	4	12	0	0	0
67	6	55	35	56	0	0	0	4	12	0	0	0
67	6	56	21	21	0	0	1	0	0	0	0	0
67	6	66	21	21	0	0	1	0	0	0	0	0
67	7	1	6	6	0	0	1	0	0	0	0	0
67	7	2	23	35	0	0	0	4	12	0	0	0
67	7	13	9	19	0	0	0	4	12	0	0	0
67	7	14	9	19	0	0	0	4	12	0	0	0
67	7	19	6	6	0	0	1	0	0	0	0	0
67	7	24	23	35	0	0	0	4	12	0	0	0
67	7	29	33	56	0	0	0	4	12	0	0	0
67	7	32	17	9	0	0	1	0	0	0	0	0
67	7	33	33	56	0	0	0	4	12	0	0	0
67	7	34	33	56	0	0	0	4	12	0	0	0
67	7	35	17	9	0	0	1	0	0	0	0	0
67	7	38	33	56	0	0	0	4	12	0	0	0
67	7	43	23	35	0	0	0	4	12	6	78	0
67	7	48	6	6	0	0	1	0	0	0	0	0
67	7	53	9	19	0	0	0	4	12	0	0	0
67	7	54	9	19	0	0	0	4	12	0	0	0
67	7	65	23	35	0	0	0	4	12	6	78	0
67	7	66	6	6	0	0	1	0	0	0	0	0
67	8	1	17	17	0	0	1	0	0	0	0	0
67	8	2	37	24	0	0	0	4	12	0	0	0
67	8	9	0	1	1	0	-1	0	0	0	0	0
67	8	12	33	36	0	0	0	4	12	0	0	0
67	8	21	37	24	0	0	0	4	12	0	0	0
67	8	25	17	17	0	0	1	0	0	0	0	0
67	8	27	0	1	1	0	-1	0	0	0	0	0
67	8	28	60	22	0	0	0	4	12	0	0	0
67	8	30	33	36	0	0	0	4	12	0	0	0
67	8	32	60	22	0	0	0	4	12	0	0	0
67	8	35	60	22	0	0	0	4	12	0	0	0
67	8	37	33	36	0	0	0	4	12	0	0	0
67	8	39	60	22	0	0	0	4	12	0	0	0
67	8	40	0	1	1	0	-1	0	0	0	0	0
67	8	42	17	17	0	0	1	0	0	0	0	0
67	8	46	37	24	0	0	0	4	12	0	0	0
67	8	55	33	36	0	0	0	4	12	0	0	0
67	8	58	0	1	1	0	-1	0	0	0	0	0
67	8	65	37	24	0	0	0	4	12	0	0	0
67	8	66	17	17	0	0	1	0	0	0	0	0
67	9	1	36	36	0	0	1	0	0	0	0	0
67	9	4	62	65	0	0	0	4	12	0	0	0
67	9	8	0	1	1	0	-1	0	0	0	0	0
67	9	9	65	40	0	0	1	0	0	0	0	0
67	9	13	62	65	0	0	0	4	12	0	0	0
67	9	15	36	36	0	0	1	0	0	0	0	0
67	9	16	64	26	0	0	0	4	12	0	0	0
67	9	20	64	26	0	0	0	4	12	0	0	0
67	9	24	65	40	0	0	1	0	0	0	0	0
67	9	27	0	1	1	0	-1	0	0	0	0	0
67	9	40	0	1	1	0	-1	0	0	0	0	0
67	9	43	65	40	0	0	1	0	0	0	0	0
67	9	47	64	26	0	0	0	4	12	0	0	0
67	9	51	64	26	0	0	0	4	12	0	0	0
67	9	52	36	36	0	0	1	0	0	0	0	0
67	9	54	62	65	0	0	0	4	12	0	0	0
67	9	58	65	40	0	0	1	0	0	0	0	0
67	9	59	0	1	1	0	-1	0	0	0	0	0
67	9	63	62	65	0	0	0	4	12	0	0	0
67	9	66	36	36	0	0	1	0	0	0	0	0
67	10	1	29	29	0	0	1	0	0	0	0	0
67	10	2	0	10	1	0	-1	0	0	0	0	0
67	10	3	9	39	0	0	0	4	12	0	0	0
67	10	10	0	10	1	0	-1	0	0	0	0	0
67	10	15	26	64	0	0	0	4	12	0	0	0
67	10	20	29	29	0	0	1	0	0	0	0	0
67	10	21	26	64	0	0	0	4	12	0	0	0
67	10	27	39	24	0	0	0	4	12	0	0	0
67	10	29	9	39	0	0	0	4	12	6	96	0
67	10	33	39	24	0	0	0	4	12	6	96	0
67	10	34	39	24	0	0	0	4	12	0	0	0
67	10	38	9	39	0	0	0	4	12	0	0	0
67	10	40	39	24	0	0	0	4	12	6	96	0
67	10	46	26	64	0	0	0	4	12	0	0	0
