m	n	k	torsion_coset
-2994	-2355	1657	2
-2994	417	-2039	2
-2990	-1937	-2975	2
-2974	-1321	-2415	2
-2970	771	-2127	2
-2966	-2159	425	2
-2954	733	2353	2
-2942	-2897	1849	2
-2938	2069	1545	2
-2930	-2093	-295	2
-2930	2191	713	2
-2914	-2491	-1735	2
-2914	-1315	-223	2
-2914	2969	785	2
-2910	123	-1535	2
-2906	-1475	2233	2
-2886	-1455	2913	2
-2886	-1287	2409	2
-2876	-1160	2933	2
-2870	523	841	2
-2862	-621	1561	2
-2858	-419	1513	2
-2854	-2341	1545	2
-2854	515	-1983	2
-2822	-1853	-1967	2
-2798	-2411	2945	2
-2794	-2119	2009	2
-2790	-861	-743	2
-2786	313	-671	2
-2786	481	-1175	2
-2770	-2551	33	2
-2770	-1879	-2487	2
-2770	809	537	2
-2766	-495	1113	2
-2766	1941	-2415	2
-2750	-299	-2527	2
-2738	-551	1225	2
-2738	-383	721	2
-2722	2081	2625	2
-2718	225	897	2
-2718	2493	-2127	2
-2710	-2413	2513	2
-2708	-1664	-2611	2
-2708	2620	-1603	2
-2702	-2921	841	2
-2702	2791	841	2
-2690	1345	-2519	2
-2686	-2761	-1479	2
-2674	-2515	-2743	2
-2666	-593	-2023	2
-2662	-685	-727	2
-2650	2093	2841	2
-2646	-1479	1905	2
-2638	1871	1113	2
-2630	-1319	1433	2
-2622	-2205	1273	2
-2618	-443	505	2
-2618	1405	-2183	2
-2618	1741	2353	2
-2610	-2763	-287	2
-2610	-2007	-2975	2
-2610	681	-1799	2
-2610	2865	1729	2
-2606	-209	1345	2
-2598	597	-399	2
-2598	1773	1113	2
-2590	2063	785	2
-2574	-129	-1031	2
-2570	-131	-1967	2
-2570	373	2065	2
-2570	2557	-791	2
-2566	1883	1329	2
-2546	-1613	1937	2
-2534	-1997	-167	2
-2522	-2435	-1007	2
-2522	2941	1345	2
-2518	-661	-975	2
-2518	1523	-1983	2
-2482	-1855	-1191	2
-2482	2849	2337	2
-2478	-387	393	2
-2478	789	1905	2
-2454	-1113	-239	2
-2454	63	1273	2
-2450	1489	2017	2
-2442	933	49	2
-2438	2731	-167	2
-2426	-2597	2729	2
-2426	2863	209	2
-2402	-2063	-2303	2
-2402	-887	-791	2
-2398	-2905	321	2
-2398	-2065	-2703	2
-2398	-1729	1833	2
-2378	-857	1433	2
-2378	487	2441	2
-2370	693	-2255	2
-2370	2037	-1247	2
-2354	-1007	-2687	2
-2354	1849	-2015	2
-2322	-2859	-1535	2
-2322	-2691	-2039	2
-2322	-171	-359	2
-2322	-3	-863	2
-2314	1085	-2703	2
-2298	1779	-615	2
-2290	-1027	1505	2
-2290	1409	-2023	2
-2282	-2459	841	2
-2282	-275	-167	2
-2282	229	2017	2
-2282	2413	1009	2
-2282	2581	505	2
-2274	-915	2737	2
-2274	-747	2233	2
-2274	-327	-2807	2
-2274	1857	-959	2
-2270	-713	-167	2
-2266	1061	-975	2
-2254	-961	785	2
-2242	-2323	-2743	2
-2218	-2203	2625	2
-2202	-1155	433	2
-2202	-987	-71	2
-2198	2707	-1175	2
-2190	1563	-455	2
-2190	1731	-959	2
-2182	-2173	537	2
-2170	-2011	2297	2
-2154	921	-1871	2
-2150	-2861	49	2
-2150	-677	-959	2
-2146	-2191	2841	2
-2134	-901	2625	2
-2130	2871	-2127	2
-2126	-227	929	2
-2126	-59	425	2
-2126	2209	-2599	2
-2122	65	-7	2
-2122	1241	1505	2
-2098	-2383	-975	2
-2070	-2229	-2039	2
-2070	-2061	-2543	2
-2066	-887	-2471	2
-2066	1801	-1295	2
-2050	-1111	1113	2
-2050	65	2625	2
-2050	905	609	2
-2050	2249	1617	2
-2046	2997	897	2
-2034	525	-1583	2
-2034	1617	-239	2
-2022	-2973	1057	2
-2022	-1797	-2471	2
-2022	2655	-1967	2
-2018	-2015	2857	2
-2010	-1209	1113	2
-2006	-1211	1721	2
-2006	-1043	1217	2
-2006	2401	-295	2
-2002	-919	785	2
-2002	257	2297	2
-1982	79	-1463	2
-1982	2263	-2471	2
-1978	-1099	1329	2
-1978	2093	-2703	2
-1966	-1321	-399	2
-1958	865	-583	2
-1934	1303	2353	2
-1930	-1459	2553	2
-1930	725	1545	2
-1930	725	-2991	2
-1930	2741	1041	2
-1926	-2679	105	2
-1926	-411	-2919	2
-1926	765	-1407	2
-1910	121	2513	2
-1902	1467	2497	2
-1862	-989	1345	2
-1850	-2435	-2015	2
-1850	-2267	-2519	2
-1850	2101	-1679	2
-1846	347	537	2
-1838	-119	209	2
-1822	1247	-223	2
-1810	1001	1833	2
-1806	-2487	2409	2
-1806	-219	-615	2
-1806	2973	-111	2
-1778	-1703	505	2
-1770	-75	-2471	2
-1770	513	1225	2
-1770	2613	-1295	2
-1762	1481	1041	2
-1730	1297	-2807	2
-1730	2137	-2975	2
-1710	-1203	-615	2
-1702	2795	-7	2
-1694	103	-167	2
-1682	2017	-167	2
-1678	1271	-471	2
-1670	-2891	-2311	2
-1654	2339	-1735	2
-1650	-1095	1489	2
-1650	1593	2665	2
-1630	-2833	1113	2
-1616	898	-2611	2
-1614	-2289	769	2
-1610	-2291	-671	2
-1610	-107	-1679	2
-1610	229	2857	2
-1610	1069	-167	2
-1610	2077	-2687	2
-1610	2581	-503	2
-1602	-1419	-455	2
-1602	1269	721	2
-1594	-1963	1041	2
-1582	1811	785	2
-1570	2465	1289	2
-1562	205	1729	2
-1558	203	2337	2
-1538	2419	2945	2
-1534	-1741	1505	2
-1534	2711	2009	2
-1530	-1659	-2759	2
-1510	-2173	-471	2
-1506	-1125	-1407	2
-1506	2319	-2919	2
-1482	-2355	-1367	2
-1482	-1179	145	2
-1482	1005	1993	2
-1482	1089	-2879	2
-1474	1505	2337	2
-1470	-1227	-1623	2
-1470	-1059	-2127	2
-1462	-2917	2625	2
-1458	-405	-1623	2
-1448	142	1421	2
-1442	1993	-1175	2
-1434	-2595	1057	2
-1434	-327	-1967	2
-1434	93	2233	2
-1434	849	-455	2
-1434	2361	-791	2
-1430	-797	841	2
-1430	1219	337	2
-1426	-2383	-1983	2
-1414	2147	-2239	2
-1414	2315	-2743	2
-1406	1213	2009	2
-1402	2801	-1735	2
-1394	-2399	2569	2
-1394	2641	-2471	2
-1390	-889	1833	2
-1390	1295	825	2
-1390	2471	2337	2
-1386	-2109	-615	2
-1386	-933	897	2
-1378	-2119	-1407	2
-1378	-943	105	2
-1370	-941	929	2
-1362	-2835	-1247	2
-1362	-2163	937	2
-1362	609	-2759	2
-1362	2121	1945	2
-1358	1783	-2687	2
-1350	-621	-1463	2
-1342	-241	1041	2
-1338	975	-903	2
-1330	2441	281	2
-1310	-1769	-1967	2
-1306	1085	-687	2
-1290	519	-2631	2
-1290	1695	-1119	2
-1286	-2411	-79	2
-1286	-311	-2599	2
-1286	1033	-1591	2
-1282	-1111	1001	2
-1274	-1283	2521	2
-1262	2311	-1175	2
-1258	-451	-471	2
-1238	2305	497	2
-1234	-1735	-223	2
-1234	-1567	-727	2
-1222	-2821	-2703	2
-1222	-2317	1329	2
-1218	-9	-111	2
-1206	645	393	2
-1196	772	917	2
-1194	-735	-743	2
-1190	-1997	-1175	2
-1178	-2099	-671	2
-1178	589	505	2
-1178	2101	-2687	2
-1178	2773	-503	2
-1170	723	1617	2
-1166	-2219	2225	2
-1166	49	-799	2
-1162	-2095	1793	2
-1150	-1441	2297	2
-1142	2683	2569	2
-1106	-1703	-503	2
-1090	-1711	-471	2
-1090	473	-1479	2
-1090	641	-1983	2
-1090	977	2553	2
-1086	-2931	-2919	2
