p	exponent	base_a	base_b	base_c	base_d	base_u	base_t	base_w	flags	rank	nzero	a	b	c	d	u	t	w	y0	y1	y2	y3
11	5	0	5	2	8	4	9	10	qrep+root0+rad0	7	2	38720	92394	159502	91880	126658	25320	141008	54505	156992	7296	66356
11	5	0	6	9	3	4	9	10	qrep+root0+rad0	7	2	99220	67051	24792	70942	9838	142382	45187	154176	153285	49316	57303
