p	A	B	C	rho	sigma	pairing	M	N	reason
47	2	17	18	12	8	1	-1	-1	projective_MN_missing_6
47	2	17	18	12	8	2	-1	-1	projective_MN_missing_6
47	2	17	18	12	8	3	-1	-1	projective_MN_missing_6
47	2	18	17	12	8	1	-1	-1	projective_MN_missing_6
47	2	18	17	12	8	2	-1	-1	projective_MN_missing_6
47	2	18	17	12	8	3	-1	-1	projective_MN_missing_6
47	3	18	27	42	1	1	-1	-1	projective_MN_missing_6
47	3	18	27	42	1	2	-1	-1	projective_MN_missing_6
47	3	18	27	42	1	3	-1	-1	projective_MN_missing_6
47	3	27	18	42	1	1	-1	-1	projective_MN_missing_6
47	3	27	18	42	1	2	-1	-1	projective_MN_missing_6
47	3	27	18	42	1	3	-1	-1	projective_MN_missing_6
47	3	30	35	4	25	1	-1	-1	projective_MN_missing_6
47	3	30	35	4	25	2	-1	-1	projective_MN_missing_6
47	3	30	35	4	25	3	-1	-1	projective_MN_missing_6
47	3	35	30	4	25	1	-1	-1	projective_MN_missing_6
47	3	35	30	4	25	2	-1	-1	projective_MN_missing_6
47	3	35	30	4	25	3	-1	-1	projective_MN_missing_6
47	7	16	34	46	5	1	-1	-1	projective_MN_missing_6
47	7	16	34	46	5	2	-1	-1	projective_MN_missing_6
47	7	16	34	46	5	3	-1	-1	projective_MN_missing_6
47	7	34	16	46	5	1	-1	-1	projective_MN_missing_6
47	7	34	16	46	5	2	-1	-1	projective_MN_missing_6
47	7	34	16	46	5	3	-1	-1	projective_MN_missing_6
47	11	16	43	22	43	1	-1	-1	projective_MN_missing_6
47	11	16	43	22	43	2	-1	-1	projective_MN_missing_6
47	11	16	43	22	43	3	-1	-1	projective_MN_missing_6
47	11	23	34	8	12	1	-1	-1	projective_MN_missing_6
47	11	23	34	8	12	2	-1	-1	projective_MN_missing_6
47	11	23	34	8	12	3	-1	-1	projective_MN_missing_6
47	11	34	23	8	12	1	-1	-1	projective_MN_missing_6
47	11	34	23	8	12	2	-1	-1	projective_MN_missing_6
47	11	34	23	8	12	3	-1	-1	projective_MN_missing_6
