p	A	B	C	rho	sigma	pairing	M	N	reason
53	7	10	25	33	5	1	-1	-1	projective_MN_missing_6
53	7	10	25	33	5	2	-1	-1	projective_MN_missing_6
53	7	10	25	33	5	3	-1	-1	projective_MN_missing_6
53	7	25	10	33	5	1	-1	-1	projective_MN_missing_6
53	7	25	10	33	5	2	-1	-1	projective_MN_missing_6
53	7	25	10	33	5	3	-1	-1	projective_MN_missing_6
53	8	15	19	8	18	1	-1	-1	projective_MN_missing_6
53	8	15	19	8	18	2	-1	-1	projective_MN_missing_6
53	8	15	19	8	18	3	-1	-1	projective_MN_missing_6
53	8	19	15	8	18	1	-1	-1	projective_MN_missing_6
53	8	19	15	8	18	2	-1	-1	projective_MN_missing_6
53	8	19	15	8	18	3	-1	-1	projective_MN_missing_6
53	10	7	25	33	5	1	-1	-1	projective_MN_missing_6
53	10	7	25	33	5	2	-1	-1	projective_MN_missing_6
53	10	7	25	33	5	3	-1	-1	projective_MN_missing_6
53	10	25	7	33	5	1	-1	-1	projective_MN_missing_6
53	10	25	7	33	5	2	-1	-1	projective_MN_missing_6
53	10	25	7	33	5	3	-1	-1	projective_MN_missing_6
53	14	20	46	35	45	1	-1	-1	projective_MN_missing_6
53	14	20	46	35	45	2	-1	-1	projective_MN_missing_6
53	14	20	46	35	45	3	-1	-1	projective_MN_missing_6
53	14	46	20	35	45	1	-1	-1	projective_MN_missing_6
53	14	46	20	35	45	2	-1	-1	projective_MN_missing_6
53	14	46	20	35	45	3	-1	-1	projective_MN_missing_6
53	15	8	19	8	18	1	-1	-1	projective_MN_missing_6
53	15	8	19	8	18	2	-1	-1	projective_MN_missing_6
53	15	8	19	8	18	3	-1	-1	projective_MN_missing_6
53	15	19	8	8	18	1	-1	-1	projective_MN_missing_6
53	15	19	8	8	18	2	-1	-1	projective_MN_missing_6
53	15	19	8	8	18	3	-1	-1	projective_MN_missing_6
53	16	17	38	48	20	1	-1	-1	projective_MN_missing_6
53	16	17	38	48	20	2	-1	-1	projective_MN_missing_6
53	16	17	38	48	20	3	-1	-1	projective_MN_missing_6
53	16	38	17	48	20	1	-1	-1	projective_MN_missing_6
53	16	38	17	48	20	2	-1	-1	projective_MN_missing_6
53	16	38	17	48	20	3	-1	-1	projective_MN_missing_6
53	17	16	38	48	20	1	-1	-1	projective_MN_missing_6
53	17	16	38	48	20	2	-1	-1	projective_MN_missing_6
53	17	16	38	48	20	3	-1	-1	projective_MN_missing_6
53	17	38	16	48	20	1	-1	-1	projective_MN_missing_6
53	17	38	16	48	20	2	-1	-1	projective_MN_missing_6
53	17	38	16	48	20	3	-1	-1	projective_MN_missing_6
53	19	8	15	8	18	1	-1	-1	projective_MN_missing_6
53	19	8	15	8	18	2	-1	-1	projective_MN_missing_6
53	19	8	15	8	18	3	-1	-1	projective_MN_missing_6
53	19	15	8	8	18	1	-1	-1	projective_MN_missing_6
53	19	15	8	8	18	2	-1	-1	projective_MN_missing_6
53	19	15	8	8	18	3	-1	-1	projective_MN_missing_6
53	20	14	46	35	45	1	-1	-1	projective_MN_missing_6
53	20	14	46	35	45	2	-1	-1	projective_MN_missing_6
53	20	14	46	35	45	3	-1	-1	projective_MN_missing_6
53	20	46	14	35	45	1	-1	-1	projective_MN_missing_6
53	20	46	14	35	45	2	-1	-1	projective_MN_missing_6
53	20	46	14	35	45	3	-1	-1	projective_MN_missing_6
53	25	7	10	33	5	1	-1	-1	projective_MN_missing_6
53	25	7	10	33	5	2	-1	-1	projective_MN_missing_6
53	25	7	10	33	5	3	-1	-1	projective_MN_missing_6
53	25	10	7	33	5	1	-1	-1	projective_MN_missing_6
53	25	10	7	33	5	2	-1	-1	projective_MN_missing_6
53	25	10	7	33	5	3	-1	-1	projective_MN_missing_6
53	38	16	17	48	20	1	-1	-1	projective_MN_missing_6
53	38	16	17	48	20	2	-1	-1	projective_MN_missing_6
53	38	16	17	48	20	3	-1	-1	projective_MN_missing_6
53	38	17	16	48	20	1	-1	-1	projective_MN_missing_6
53	38	17	16	48	20	2	-1	-1	projective_MN_missing_6
53	38	17	16	48	20	3	-1	-1	projective_MN_missing_6
53	46	14	20	35	45	1	-1	-1	projective_MN_missing_6
53	46	14	20	35	45	2	-1	-1	projective_MN_missing_6
53	46	14	20	35	45	3	-1	-1	projective_MN_missing_6
53	46	20	14	35	45	1	-1	-1	projective_MN_missing_6
53	46	20	14	35	45	2	-1	-1	projective_MN_missing_6
53	46	20	14	35	45	3	-1	-1	projective_MN_missing_6
