u_num	u_den	t_num	t_den	w_num	w_den
-85334	185115	258063	9740	-154459	143116
194619	115669	-240332	154327	-48689	25338
43645	235656	5501	3034	228777	200638
239221	217752	204824	162319	-189319	14557
29638	71595	175207	193481	-48689	25338
-12948	65231	221161	146101	-25493	42954
126266	125689	-148213	131503	-67933	12095
61857	193288	-103259	97739	-8267	240998
56383	164354	-138053	13899	110689	49063
-154867	10371	219193	227235	-42564	65231
21349	182800	185838	115415	-19449	44548
-146314	111499	-109173	236804	-253867	50912
42413	214987	68659	218202	196319	190920
26787	65998	-200099	174236	247993	189625
-37595	76282	194195	119843	-95548	153523
71685	3478	52529	152870	-198439	227427
-12948	65231	108173	69467	165191	21370
188619	94136	13389	189218	156855	68542
-15602	164839	236262	160691	-53639	92988
108228	203237	236262	160691	-200465	76338
108228	203237	236262	160691	-1237	198001
-37091	236488	236262	160691	-175994	79113
226519	198235	-86021	258491	-186902	97051
28069	17097	-25224	217967	-129401	57844
-67512	228739	236262	160691	-197810	114989
253547	169986	236262	160691	-29168	95763
129717	131588	236262	160691	227159	223901
99879	223081	150313	33411	-228363	57986
152250	209309	179677	119146	256040	250709
-12948	65231	-26637	97670	-227266	45759
-117019	142803	233727	39272	-210097	228993
33483	94546	-12795	78181	-53037	246476
55187	136489	-160534	100233	-211706	192497
99011	68511	-55770	39109	19217	36681
-185505	74777	-143143	53857	-91093	203155
245984	25379	-141812	186665	46627	260795
-248154	207829	229502	99149	-255627	252281
15863	133343	-96086	96385	60727	25748
-234625	112832	-224601	208657	16102	239353
107703	75358	-224939	72594	134192	88193
165356	18155	-224939	72594	134192	88193
162799	241952	-116402	50389	145561	229104
53573	222396	-143385	72394	-191393	227550
154339	146261	206668	105219	-45919	132225
-105044	111327	130075	45512	28154	159121
-228389	65231	103213	82890	-16142	250431
-228389	65231	-214170	242971	-100264	253879
-228389	65231	173272	37369	25919	248707
-228389	65231	-70059	45521	-142325	255603
229282	93637	124993	95571	4633	223342
63737	227841	46222	92537	110681	103544
112114	213021	175911	112961	-253267	220498
233952	62327	-189063	65231	-236541	92045
-13758	122285	-57967	75938	87895	175808
-228389	65231	-101743	168968	103861	222806
-228389	65231	-76392	23611	211504	150275
-146877	179912	227228	137307	252367	82451
-200441	174881	-65234	257325	-104607	121360
-228389	65231	-29083	214703	-23521	69083
-228389	65231	-173291	195628	91501	177900
-228389	65231	38375	77926	-232627	236598
-228389	65231	144208	19075	-162064	29349
-180802	8815	180678	151441	55619	48133
168835	26058	-65234	257325	-104607	121360
209499	101861	-183703	178965	124281	125474
-54089	81086	-42358	86817	32381	12136
43336	161875	213110	74863	246591	232019
-228389	65231	99829	102820	85321	155447
-228389	65231	-11554	28575	85321	155447
157247	251378	60575	258801	30112	181979
-115163	22274	141879	134029	225873	52306
-227650	16727	56211	222238	250112	69449
235915	51342	187402	231151	-105674	238169
243796	212749	-203645	41152	130289	32819
136967	42148	-109144	187925	-8951	250346
-228389	65231	-51814	218319	-76743	184796
-166527	139277	223249	209427	164470	178081
-115163	22274	-107589	1030	-161373	86551
238743	9116	92286	89207	81424	138785
-49798	118511	225018	164303	-170451	131159
-228389	65231	199339	250938	259745	171004
-214596	219151	122019	37969	-4143	131897
-228389	65231	-78635	111818	-112624	208973
-228389	65231	138987	69560	169443	151999
-228389	65231	169163	160249	-191765	75979
254156	141969	227812	9159	68807	83763
-228389	65231	206049	219314	6180	22453
53573	222396	-188033	110680	-191393	227550
154339	146261	-37415	19181	-45919	132225
-22958	257111	-239396	93869	-241943	92761
-228389	65231	-168824	252211	-184386	257327
-228389	65231	-210554	190097	236224	240087
-228389	65231	-252284	127983	25919	248707
-25822	141599	6760	26199	230130	143353
218494	229067	-241949	57796	-31157	163916
245659	615	139785	46361	57407	80324
-228389	65231	1373	35333	85321	155447
-69653	117752	192462	224353	234343	170237
245381	172602	104801	25677	114780	192659
-228389	65231	4825	236046	174424	15557
-228389	65231	224690	105581	-167045	165791
-228389	65231	48798	209953	60601	65635
53573	222396	-255005	168109	-191393	227550
-4901	41144	58154	107543	-60671	52531
-252289	87394	124722	17807	-204503	115799
-228389	65231	30553	37155	194163	241811
-228389	65231	-97276	225551	-184386	257327
-228389	65231	-158382	151241	-142325	255603
236350	165353	250897	217551	33487	185545
-219129	54797	192476	172011	-90095	74046
-228389	65231	-55527	54668	223864	195181
-228389	65231	-71567	259657	-160865	188244
-228389	65231	-139625	21036	-179483	49276
-228389	65231	39487	150321	72961	110541
-228389	65231	150541	40985	-77942	25901
-228389	65231	-16040	204989	-82923	162343
236350	165353	176743	198239	33487	185545
-219129	54797	-66277	157741	-90095	74046
-228389	65231	84572	196623	228845	58739
-228389	65231	-83102	55235	72961	110541
-228389	65231	166939	15459	-77942	25901
136887	96391	33733	97754	-76479	104705
-228389	65231	85703	36021	-209106	167515
-214759	259296	-104205	214306	-147604	61705
-228389	65231	-99500	80761	-162064	29349
218494	229067	206784	72971	-172664	203365
-228389	65231	174761	56230	-95283	117437
-228389	65231	236602	256469	258546	12109
-228389	65231	99481	152236	-149704	74255
-228389	65231	137121	104233	-40862	160619
-228389	65231	-28242	95281	-95283	117437
-228389	65231	215379	45949	-149704	74255
-228389	65231	-67081	83243	54421	43182
-228389	65231	74149	64596	-40862	160619
26535	125431	99372	246203	-139907	119843
65827	39543	141649	249479	9583	39565
173994	145837	-197392	203537	249193	229835
-228389	65231	160587	226546	-29701	46630
-180593	106000	-182084	27539	231259	238650
82559	254651	-232544	243531	-98942	158507
218494	229067	60377	54476	223917	140051
43123	170355	-260598	194221	-253948	7955
-228389	65231	-57451	97577	-234791	133635
-228389	65231	118122	38503	-28502	205525
-228389	65231	-124851	226118	19739	226254
182604	104303	44587	136568	101386	154529
236350	165353	12403	244604	-8000	50009
-106984	26417	-62006	201679	185502	133993
51098	108249	-233297	168387	-255509	141857
-228389	65231	-52549	92390	-35881	24177
-228389	65231	-6352	211087	175623	174452
-228389	65231	98746	26307	247385	126098
138562	88557	169549	157440	-169629	79550
58829	162319	-151762	132397	15881	223424
