p	A	B	C	rho	sigma	pairing	M	N	reason
59	8	36	42	42	38	1	-1	-1	projective_MN_missing_6
59	8	36	42	42	38	2	-1	-1	projective_MN_missing_6
59	8	36	42	42	38	3	-1	-1	projective_MN_missing_6
59	8	42	36	42	38	1	-1	-1	projective_MN_missing_6
59	8	42	36	42	38	2	-1	-1	projective_MN_missing_6
59	8	42	36	42	38	3	-1	-1	projective_MN_missing_6
59	14	29	42	5	45	1	-1	-1	projective_MN_missing_6
59	14	29	42	5	45	2	-1	-1	projective_MN_missing_6
59	14	29	42	5	45	3	-1	-1	projective_MN_missing_6
59	14	42	29	5	45	1	-1	-1	projective_MN_missing_6
59	14	42	29	5	45	2	-1	-1	projective_MN_missing_6
59	14	42	29	5	45	3	-1	-1	projective_MN_missing_6
59	29	14	42	5	45	1	-1	-1	projective_MN_missing_6
59	29	14	42	5	45	2	-1	-1	projective_MN_missing_6
59	29	14	42	5	45	3	-1	-1	projective_MN_missing_6
59	29	42	14	5	45	1	-1	-1	projective_MN_missing_6
59	29	42	14	5	45	2	-1	-1	projective_MN_missing_6
59	29	42	14	5	45	3	-1	-1	projective_MN_missing_6
59	36	8	42	42	38	1	-1	-1	projective_MN_missing_6
59	36	8	42	42	38	2	-1	-1	projective_MN_missing_6
59	36	8	42	42	38	3	-1	-1	projective_MN_missing_6
59	36	42	8	42	38	1	-1	-1	projective_MN_missing_6
59	36	42	8	42	38	2	-1	-1	projective_MN_missing_6
59	36	42	8	42	38	3	-1	-1	projective_MN_missing_6
59	37	41	52	21	17	1	-1	-1	projective_MN_missing_6
59	37	41	52	21	17	2	-1	-1	projective_MN_missing_6
59	37	41	52	21	17	3	-1	-1	projective_MN_missing_6
59	37	52	41	21	17	1	-1	-1	projective_MN_missing_6
59	37	52	41	21	17	2	-1	-1	projective_MN_missing_6
59	37	52	41	21	17	3	-1	-1	projective_MN_missing_6
59	38	52	57	14	54	1	-1	-1	projective_MN_missing_6
59	38	52	57	14	54	2	-1	-1	projective_MN_missing_6
59	38	52	57	14	54	3	-1	-1	projective_MN_missing_6
59	38	57	52	14	54	1	-1	-1	projective_MN_missing_6
59	38	57	52	14	54	2	-1	-1	projective_MN_missing_6
59	38	57	52	14	54	3	-1	-1	projective_MN_missing_6
59	41	37	52	21	17	1	-1	-1	projective_MN_missing_6
59	41	37	52	21	17	2	-1	-1	projective_MN_missing_6
59	41	37	52	21	17	3	-1	-1	projective_MN_missing_6
59	41	52	37	21	17	1	-1	-1	projective_MN_missing_6
59	41	52	37	21	17	2	-1	-1	projective_MN_missing_6
59	41	52	37	21	17	3	-1	-1	projective_MN_missing_6
59	42	8	36	42	38	1	-1	-1	projective_MN_missing_6
59	42	8	36	42	38	2	-1	-1	projective_MN_missing_6
59	42	8	36	42	38	3	-1	-1	projective_MN_missing_6
59	42	14	29	5	45	1	-1	-1	projective_MN_missing_6
59	42	14	29	5	45	2	-1	-1	projective_MN_missing_6
59	42	14	29	5	45	3	-1	-1	projective_MN_missing_6
59	42	29	14	5	45	1	-1	-1	projective_MN_missing_6
59	42	29	14	5	45	2	-1	-1	projective_MN_missing_6
59	42	29	14	5	45	3	-1	-1	projective_MN_missing_6
59	42	36	8	42	38	1	-1	-1	projective_MN_missing_6
59	42	36	8	42	38	2	-1	-1	projective_MN_missing_6
59	42	36	8	42	38	3	-1	-1	projective_MN_missing_6
59	52	37	41	21	17	1	-1	-1	projective_MN_missing_6
59	52	37	41	21	17	2	-1	-1	projective_MN_missing_6
59	52	37	41	21	17	3	-1	-1	projective_MN_missing_6
59	52	38	57	14	54	1	-1	-1	projective_MN_missing_6
59	52	38	57	14	54	2	-1	-1	projective_MN_missing_6
59	52	38	57	14	54	3	-1	-1	projective_MN_missing_6
59	52	41	37	21	17	1	-1	-1	projective_MN_missing_6
59	52	41	37	21	17	2	-1	-1	projective_MN_missing_6
59	52	41	37	21	17	3	-1	-1	projective_MN_missing_6
59	52	57	38	14	54	1	-1	-1	projective_MN_missing_6
59	52	57	38	14	54	2	-1	-1	projective_MN_missing_6
59	52	57	38	14	54	3	-1	-1	projective_MN_missing_6
59	57	38	52	14	54	1	-1	-1	projective_MN_missing_6
59	57	38	52	14	54	2	-1	-1	projective_MN_missing_6
59	57	38	52	14	54	3	-1	-1	projective_MN_missing_6
59	57	52	38	14	54	1	-1	-1	projective_MN_missing_6
59	57	52	38	14	54	2	-1	-1	projective_MN_missing_6
59	57	52	38	14	54	3	-1	-1	projective_MN_missing_6
