p	A	B	C	rho	sigma	pairing	M	N	reason
43	2	16	39	31	35	1	-1	-1	projective_MN_missing_6
43	2	16	39	31	35	2	-1	-1	projective_MN_missing_6
43	2	16	39	31	35	3	-1	-1	projective_MN_missing_6
43	2	39	16	31	35	1	-1	-1	projective_MN_missing_6
43	2	39	16	31	35	2	-1	-1	projective_MN_missing_6
43	2	39	16	31	35	3	-1	-1	projective_MN_missing_6
43	3	7	41	39	5	1	-1	-1	projective_MN_missing_6
43	3	7	41	39	5	2	-1	-1	projective_MN_missing_6
43	3	7	41	39	5	3	-1	-1	projective_MN_missing_6
43	3	41	7	39	5	1	-1	-1	projective_MN_missing_6
43	3	41	7	39	5	2	-1	-1	projective_MN_missing_6
43	3	41	7	39	5	3	-1	-1	projective_MN_missing_6
43	6	14	21	5	39	1	-1	-1	projective_MN_missing_6
43	6	14	21	5	39	2	-1	-1	projective_MN_missing_6
43	6	14	21	5	39	3	-1	-1	projective_MN_missing_6
43	6	21	14	5	39	1	-1	-1	projective_MN_missing_6
43	6	21	14	5	39	2	-1	-1	projective_MN_missing_6
43	6	21	14	5	39	3	-1	-1	projective_MN_missing_6
43	7	3	41	39	5	1	-1	-1	projective_MN_missing_6
43	7	3	41	39	5	2	-1	-1	projective_MN_missing_6
43	7	3	41	39	5	3	-1	-1	projective_MN_missing_6
43	7	41	3	39	5	1	-1	-1	projective_MN_missing_6
43	7	41	3	39	5	2	-1	-1	projective_MN_missing_6
43	7	41	3	39	5	3	-1	-1	projective_MN_missing_6
43	14	6	21	5	39	1	-1	-1	projective_MN_missing_6
43	14	6	21	5	39	2	-1	-1	projective_MN_missing_6
43	14	6	21	5	39	3	-1	-1	projective_MN_missing_6
43	14	21	6	5	39	1	-1	-1	projective_MN_missing_6
43	14	21	6	5	39	2	-1	-1	projective_MN_missing_6
43	14	21	6	5	39	3	-1	-1	projective_MN_missing_6
43	14	35	38	29	32	1	-1	-1	projective_MN_missing_6
43	14	35	38	29	32	2	-1	-1	projective_MN_missing_6
43	14	35	38	29	32	3	-1	-1	projective_MN_missing_6
43	14	38	35	29	32	1	-1	-1	projective_MN_missing_6
43	14	38	35	29	32	2	-1	-1	projective_MN_missing_6
43	14	38	35	29	32	3	-1	-1	projective_MN_missing_6
43	16	2	39	31	35	1	-1	-1	projective_MN_missing_6
43	16	2	39	31	35	2	-1	-1	projective_MN_missing_6
43	16	2	39	31	35	3	-1	-1	projective_MN_missing_6
43	16	17	40	11	14	1	-1	-1	projective_MN_missing_6
43	16	17	40	11	14	2	-1	-1	projective_MN_missing_6
43	16	17	40	11	14	3	-1	-1	projective_MN_missing_6
43	16	39	2	31	35	1	-1	-1	projective_MN_missing_6
43	16	39	2	31	35	2	-1	-1	projective_MN_missing_6
43	16	39	2	31	35	3	-1	-1	projective_MN_missing_6
43	16	40	17	11	14	1	-1	-1	projective_MN_missing_6
43	16	40	17	11	14	2	-1	-1	projective_MN_missing_6
43	16	40	17	11	14	3	-1	-1	projective_MN_missing_6
43	17	16	40	11	14	1	-1	-1	projective_MN_missing_6
43	17	16	40	11	14	2	-1	-1	projective_MN_missing_6
43	17	16	40	11	14	3	-1	-1	projective_MN_missing_6
43	17	40	16	11	14	1	-1	-1	projective_MN_missing_6
43	17	40	16	11	14	2	-1	-1	projective_MN_missing_6
43	17	40	16	11	14	3	-1	-1	projective_MN_missing_6
43	21	6	14	5	39	1	-1	-1	projective_MN_missing_6
43	21	6	14	5	39	2	-1	-1	projective_MN_missing_6
43	21	6	14	5	39	3	-1	-1	projective_MN_missing_6
43	21	14	6	5	39	1	-1	-1	projective_MN_missing_6
43	21	14	6	5	39	2	-1	-1	projective_MN_missing_6
43	21	14	6	5	39	3	-1	-1	projective_MN_missing_6
43	21	29	37	38	4	1	-1	-1	projective_MN_missing_6
43	21	29	37	38	4	2	-1	-1	projective_MN_missing_6
43	21	29	37	38	4	3	-1	-1	projective_MN_missing_6
43	21	37	29	38	4	1	-1	-1	projective_MN_missing_6
43	21	37	29	38	4	2	-1	-1	projective_MN_missing_6
43	21	37	29	38	4	3	-1	-1	projective_MN_missing_6
43	22	32	35	8	12	1	-1	-1	projective_MN_missing_6
43	22	32	35	8	12	2	-1	-1	projective_MN_missing_6
43	22	32	35	8	12	3	-1	-1	projective_MN_missing_6
43	22	35	32	8	12	1	-1	-1	projective_MN_missing_6
43	22	35	32	8	12	2	-1	-1	projective_MN_missing_6
43	22	35	32	8	12	3	-1	-1	projective_MN_missing_6
43	29	21	37	38	4	1	-1	-1	projective_MN_missing_6
43	29	21	37	38	4	2	-1	-1	projective_MN_missing_6
43	29	21	37	38	4	3	-1	-1	projective_MN_missing_6
43	29	37	21	38	4	1	-1	-1	projective_MN_missing_6
43	29	37	21	38	4	2	-1	-1	projective_MN_missing_6
43	29	37	21	38	4	3	-1	-1	projective_MN_missing_6
43	32	22	35	8	12	1	-1	-1	projective_MN_missing_6
43	32	22	35	8	12	2	-1	-1	projective_MN_missing_6
43	32	22	35	8	12	3	-1	-1	projective_MN_missing_6
43	32	35	22	8	12	1	-1	-1	projective_MN_missing_6
43	32	35	22	8	12	2	-1	-1	projective_MN_missing_6
43	32	35	22	8	12	3	-1	-1	projective_MN_missing_6
43	35	14	38	29	32	1	-1	-1	projective_MN_missing_6
43	35	14	38	29	32	2	-1	-1	projective_MN_missing_6
43	35	14	38	29	32	3	-1	-1	projective_MN_missing_6
43	35	22	32	8	12	1	-1	-1	projective_MN_missing_6
43	35	22	32	8	12	2	-1	-1	projective_MN_missing_6
43	35	22	32	8	12	3	-1	-1	projective_MN_missing_6
43	35	32	22	8	12	1	-1	-1	projective_MN_missing_6
43	35	32	22	8	12	2	-1	-1	projective_MN_missing_6
43	35	32	22	8	12	3	-1	-1	projective_MN_missing_6
