p	u	t	w	pairing	a	b	c	d	ordD3	ordD4	D4div2
37	0	6	3	1	9	33	13	17	3	4	1
37	0	6	3	2	9	13	33	17	3	4	1
37	0	6	3	3	9	17	33	13	3	4	1
37	0	6	3	1	28	4	13	17	3	4	1
37	0	6	3	2	28	13	4	17	3	4	1
37	0	6	3	3	28	17	4	13	3	4	1
37	0	6	3	1	9	33	24	20	3	4	1
37	0	6	3	2	9	24	33	20	3	4	1
37	0	6	3	3	9	20	33	24	3	4	1
37	0	6	3	1	28	4	24	20	3	4	1
37	0	6	3	2	28	24	4	20	3	4	1
37	0	6	3	3	28	20	4	24	3	4	1
37	2	7	6	1	13	8	25	16	3	4	1
37	2	7	6	2	13	25	8	16	3	4	1
37	2	7	6	3	13	16	8	25	3	4	1
37	2	7	6	1	24	29	12	21	3	4	1
37	2	7	6	2	24	12	29	21	3	4	1
37	2	7	6	3	24	21	29	12	3	4	1
37	2	18	13	1	1	9	14	5	3	4	1
37	2	18	13	2	1	14	9	5	3	4	1
37	2	18	13	3	1	5	9	14	3	4	1
37	2	18	13	1	36	28	23	32	3	4	1
37	2	18	13	2	36	23	28	32	3	4	1
37	2	18	13	3	36	32	28	23	3	4	1
37	3	26	19	1	15	4	18	12	3	4	1
37	3	26	19	2	15	18	4	12	3	4	1
37	3	26	19	3	15	12	4	18	3	4	1
37	3	26	19	1	22	33	19	25	3	4	1
37	3	26	19	2	22	19	33	25	3	4	1
37	3	26	19	3	22	25	33	19	3	4	1
37	7	16	28	1	9	11	10	12	3	4	1
37	7	16	28	2	9	10	11	12	3	4	1
37	7	16	28	3	9	12	11	10	3	4	1
37	7	16	28	1	28	11	27	12	3	4	1
37	7	16	28	2	28	27	11	12	3	4	1
37	7	16	28	3	28	12	11	27	3	4	1
37	7	16	28	1	9	26	10	25	3	4	1
37	7	16	28	2	9	10	26	25	3	4	1
37	7	16	28	3	9	25	26	10	3	4	1
37	7	16	28	1	28	26	27	25	3	4	1
37	7	16	28	2	28	27	26	25	3	4	1
37	7	16	28	3	28	25	26	27	3	4	1
37	7	19	32	1	22	28	24	16	3	4	1
37	7	19	32	2	22	24	28	16	3	4	1
37	7	19	32	3	22	16	28	24	3	4	1
37	7	19	32	1	15	9	13	21	3	4	1
37	7	19	32	2	15	13	9	21	3	4	1
37	7	19	32	3	15	21	9	13	3	4	1
37	8	35	12	1	9	33	8	19	3	4	1
37	8	35	12	2	9	8	33	19	3	4	1
37	8	35	12	3	9	19	33	8	3	4	1
37	8	35	12	1	9	4	8	19	3	4	1
37	8	35	12	2	9	8	4	19	3	4	1
37	8	35	12	3	9	19	4	8	3	4	1
37	8	35	12	1	28	33	29	19	3	4	1
37	8	35	12	2	28	29	33	19	3	4	1
37	8	35	12	3	28	19	33	29	3	4	1
37	8	35	12	1	28	4	29	19	3	4	1
37	8	35	12	2	28	29	4	19	3	4	1
37	8	35	12	3	28	19	4	29	3	4	1
37	8	35	12	1	9	33	8	18	3	4	1
37	8	35	12	2	9	8	33	18	3	4	1
37	8	35	12	3	9	18	33	8	3	4	1
37	8	35	12	1	9	4	8	18	3	4	1
37	8	35	12	2	9	8	4	18	3	4	1
37	8	35	12	3	9	18	4	8	3	4	1
37	8	35	12	1	28	33	29	18	3	4	1
37	8	35	12	2	28	29	33	18	3	4	1
37	8	35	12	3	28	18	33	29	3	4	1
37	8	35	12	1	28	4	29	18	3	4	1
37	8	35	12	2	28	29	4	18	3	4	1
37	8	35	12	3	28	18	4	29	3	4	1
37	9	8	8	1	2	3	14	7	3	4	1
37	9	8	8	2	2	14	3	7	3	4	1
37	9	8	8	3	2	7	3	14	3	4	1
37	9	8	8	1	35	34	23	30	3	4	1
37	9	8	8	2	35	23	34	30	3	4	1
37	9	8	8	3	35	30	34	23	3	4	1
37	9	10	0	1	34	26	14	17	3	4	1
37	9	10	0	2	34	14	26	17	3	4	1
37	9	10	0	3	34	17	26	14	3	4	1
37	9	10	0	1	3	11	23	20	3	4	1
37	9	10	0	2	3	23	11	20	3	4	1
37	9	10	0	3	3	20	11	23	3	4	1
37	9	26	0	1	9	3	32	17	3	4	1
37	9	26	0	2	9	32	3	17	3	4	1
37	9	26	0	3	9	17	3	32	3	4	1
37	9	26	0	1	28	34	5	20	3	4	1
37	9	26	0	2	28	5	34	20	3	4	1
37	9	26	0	3	28	20	34	5	3	4	1
37	10	13	9	1	24	10	19	12	3	4	1
37	10	13	9	2	24	19	10	12	3	4	1
37	10	13	9	3	24	12	10	19	3	4	1
37	10	13	9	1	13	27	18	25	3	4	1
37	10	13	9	2	13	18	27	25	3	4	1
37	10	13	9	3	13	25	27	18	3	4	1
37	10	36	3	1	11	30	10	16	3	4	1
37	10	36	3	2	11	10	30	16	3	4	1
37	10	36	3	3	11	16	30	10	3	4	1
37	10	36	3	1	26	30	27	16	3	4	1
37	10	36	3	2	26	27	30	16	3	4	1
37	10	36	3	3	26	16	30	27	3	4	1
37	10	36	3	1	11	7	10	21	3	4	1
37	10	36	3	2	11	10	7	21	3	4	1
37	10	36	3	3	11	21	7	10	3	4	1
37	10	36	3	1	26	7	27	21	3	4	1
37	10	36	3	2	26	27	7	21	3	4	1
37	10	36	3	3	26	21	7	27	3	4	1
37	12	1	31	1	1	23	32	16	3	4	1
37	12	1	31	2	1	32	23	16	3	4	1
37	12	1	31	3	1	16	23	32	3	4	1
37	12	1	31	1	36	14	5	21	3	4	1
37	12	1	31	2	36	5	14	21	3	4	1
37	12	1	31	3	36	21	14	5	3	4	1
37	12	10	14	1	15	4	13	12	3	4	1
37	12	10	14	2	15	13	4	12	3	4	1
37	12	10	14	3	15	12	4	13	3	4	1
37	12	10	14	1	22	33	24	25	3	4	1
37	12	10	14	2	22	24	33	25	3	4	1
37	12	10	14	3	22	25	33	24	3	4	1
37	14	15	16	1	36	23	19	12	3	4	1
37	14	15	16	2	36	19	23	12	3	4	1
37	14	15	16	3	36	12	23	19	3	4	1
37	14	15	16	1	1	14	18	25	3	4	1
37	14	15	16	2	1	18	14	25	3	4	1
37	14	15	16	3	1	25	14	18	3	4	1
37	17	21	28	1	26	5	19	12	3	4	1
37	17	21	28	2	26	19	5	12	3	4	1
37	17	21	28	3	26	12	5	19	3	4	1
37	17	21	28	1	26	32	18	12	3	4	1
37	17	21	28	2	26	18	32	12	3	4	1
37	17	21	28	3	26	12	32	18	3	4	1
37	17	21	28	1	11	5	19	25	3	4	1
37	17	21	28	2	11	19	5	25	3	4	1
37	17	21	28	3	11	25	5	19	3	4	1
37	17	21	28	1	11	32	18	25	3	4	1
37	17	21	28	2	11	18	32	25	3	4	1
37	17	21	28	3	11	25	32	18	3	4	1
37	21	15	19	1	35	9	4	6	3	4	1
37	21	15	19	2	35	4	9	6	3	4	1
37	21	15	19	3	35	6	9	4	3	4	1
37	21	15	19	1	2	28	33	31	3	4	1
37	21	15	19	2	2	33	28	31	3	4	1
37	21	15	19	3	2	31	28	33	3	4	1
37	22	17	33	1	36	22	11	17	3	4	1
37	22	17	33	2	36	11	22	17	3	4	1
37	22	17	33	3	36	17	22	11	3	4	1
37	22	17	33	1	1	15	26	20	3	4	1
37	22	17	33	2	1	26	15	20	3	4	1
37	22	17	33	3	1	20	15	26	3	4	1
37	23	36	2	1	2	24	19	17	3	4	1
37	23	36	2	2	2	19	24	17	3	4	1
37	23	36	2	3	2	17	24	19	3	4	1
37	23	36	2	1	35	13	18	20	3	4	1
37	23	36	2	2	35	18	13	20	3	4	1
37	23	36	2	3	35	20	13	18	3	4	1
37	26	23	20	1	11	7	29	6	3	4	1
37	26	23	20	2	11	29	7	6	3	4	1
37	26	23	20	3	11	6	7	29	3	4	1
37	26	23	20	1	26	30	8	31	3	4	1
37	26	23	20	2	26	8	30	31	3	4	1
37	26	23	20	3	26	31	30	8	3	4	1
37	30	21	12	1	15	34	7	6	3	4	1
37	30	21	12	2	15	7	34	6	3	4	1
37	30	21	12	3	15	6	34	7	3	4	1
37	30	21	12	1	22	3	7	6	3	4	1
37	30	21	12	2	22	7	3	6	3	4	1
37	30	21	12	3	22	6	3	7	3	4	1
37	30	21	12	1	15	34	30	31	3	4	1
37	30	21	12	2	15	30	34	31	3	4	1
37	30	21	12	3	15	31	34	30	3	4	1
37	30	21	12	1	22	3	30	31	3	4	1
37	30	21	12	2	22	30	3	31	3	4	1
37	30	21	12	3	22	31	3	30	3	4	1
37	32	22	31	1	1	22	8	12	3	4	1
37	32	22	31	2	1	8	22	12	3	4	1
37	32	22	31	3	1	12	22	8	3	4	1
37	32	22	31	1	36	22	29	12	3	4	1
37	32	22	31	2	36	29	22	12	3	4	1
37	32	22	31	3	36	12	22	29	3	4	1
37	32	22	31	1	1	15	8	25	3	4	1
37	32	22	31	2	1	8	15	25	3	4	1
37	32	22	31	3	1	25	15	8	3	4	1
37	32	22	31	1	36	15	29	25	3	4	1
37	32	22	31	2	36	29	15	25	3	4	1
37	32	22	31	3	36	25	15	29	3	4	1
37	36	31	25	1	15	4	25	6	3	4	1
37	36	31	25	2	15	25	4	6	3	4	1
37	36	31	25	3	15	6	4	25	3	4	1
37	36	31	25	1	22	33	12	31	3	4	1
37	36	31	25	2	22	12	33	31	3	4	1
37	36	31	25	3	22	31	33	12	3	4	1
