p	u	t	w	pairing	a	b	c	d	ordD3	ordD4	D4div2
43	0	25	2	1	42	7	21	10	3	4	1
43	0	25	2	2	42	21	7	10	3	4	1
43	0	25	2	3	42	10	7	21	3	4	1
43	0	25	2	1	1	36	22	33	3	4	1
43	0	25	2	2	1	22	36	33	3	4	1
43	0	25	2	3	1	33	36	22	3	4	1
43	0	33	38	1	22	20	14	13	3	4	1
43	0	33	38	2	22	14	20	13	3	4	1
43	0	33	38	3	22	13	20	14	3	4	1
43	0	33	38	1	21	23	29	30	3	4	1
43	0	33	38	2	21	29	23	30	3	4	1
43	0	33	38	3	21	30	23	29	3	4	1
43	0	38	22	1	2	12	4	17	3	4	1
43	0	38	22	2	2	4	12	17	3	4	1
43	0	38	22	3	2	17	12	4	3	4	1
43	0	38	22	1	41	31	39	26	3	4	1
43	0	38	22	2	41	39	31	26	3	4	1
43	0	38	22	3	41	26	31	39	3	4	1
43	1	5	10	1	40	21	10	16	3	4	1
43	1	5	10	2	40	10	21	16	3	4	1
43	1	5	10	3	40	16	21	10	3	4	1
43	1	5	10	1	3	22	10	16	3	4	1
43	1	5	10	2	3	10	22	16	3	4	1
43	1	5	10	3	3	16	22	10	3	4	1
43	1	5	10	1	40	21	33	27	3	4	1
43	1	5	10	2	40	33	21	27	3	4	1
43	1	5	10	3	40	27	21	33	3	4	1
43	1	5	10	1	3	22	33	27	3	4	1
43	1	5	10	2	3	33	22	27	3	4	1
43	1	5	10	3	3	27	22	33	3	4	1
43	1	14	15	1	36	40	11	9	3	4	1
43	1	14	15	2	36	11	40	9	3	4	1
43	1	14	15	3	36	9	40	11	3	4	1
43	1	14	15	1	7	3	11	9	3	4	1
43	1	14	15	2	7	11	3	9	3	4	1
43	1	14	15	3	7	9	3	11	3	4	1
43	1	14	15	1	36	40	32	34	3	4	1
43	1	14	15	2	36	32	40	34	3	4	1
43	1	14	15	3	36	34	40	32	3	4	1
43	1	14	15	1	7	3	32	34	3	4	1
43	1	14	15	2	7	32	3	34	3	4	1
43	1	14	15	3	7	34	3	32	3	4	1
43	1	19	31	1	22	29	38	9	3	4	1
43	1	19	31	2	22	38	29	9	3	4	1
43	1	19	31	3	22	9	29	38	3	4	1
43	1	19	31	1	21	14	5	34	3	4	1
43	1	19	31	2	21	5	14	34	3	4	1
43	1	19	31	3	21	34	14	5	3	4	1
43	4	28	10	1	41	24	14	6	3	4	1
43	4	28	10	2	41	14	24	6	3	4	1
43	4	28	10	3	41	6	24	14	3	4	1
43	4	28	10	1	2	19	14	6	3	4	1
43	4	28	10	2	2	14	19	6	3	4	1
43	4	28	10	3	2	6	19	14	3	4	1
43	4	28	10	1	41	24	29	37	3	4	1
43	4	28	10	2	41	29	24	37	3	4	1
43	4	28	10	3	41	37	24	29	3	4	1
43	4	28	10	1	2	19	29	37	3	4	1
43	4	28	10	2	2	29	19	37	3	4	1
43	4	28	10	3	2	37	19	29	3	4	1
43	5	14	26	1	3	19	17	16	3	4	1
43	5	14	26	2	3	17	19	16	3	4	1
43	5	14	26	3	3	16	19	17	3	4	1
43	5	14	26	1	3	24	26	16	3	4	1
43	5	14	26	2	3	26	24	16	3	4	1
43	5	14	26	3	3	16	24	26	3	4	1
43	5	14	26	1	40	19	17	27	3	4	1
43	5	14	26	2	40	17	19	27	3	4	1
43	5	14	26	3	40	27	19	17	3	4	1
43	5	14	26	1	40	24	26	27	3	4	1
43	5	14	26	2	40	26	24	27	3	4	1
43	5	14	26	3	40	27	24	26	3	4	1
43	6	36	41	1	2	23	19	25	3	4	1
43	6	36	41	2	2	19	23	25	3	4	1
43	6	36	41	3	2	25	23	19	3	4	1
43	6	36	41	1	41	20	24	18	3	4	1
43	6	36	41	2	41	24	20	18	3	4	1
43	6	36	41	3	41	18	20	24	3	4	1
43	6	41	19	1	4	14	38	13	3	4	1
43	6	41	19	2	4	38	14	13	3	4	1
43	6	41	19	3	4	13	14	38	3	4	1
43	6	41	19	1	39	29	38	13	3	4	1
43	6	41	19	2	39	38	29	13	3	4	1
43	6	41	19	3	39	13	29	38	3	4	1
43	6	41	19	1	4	14	5	30	3	4	1
43	6	41	19	2	4	5	14	30	3	4	1
43	6	41	19	3	4	30	14	5	3	4	1
43	6	41	19	1	39	29	5	30	3	4	1
43	6	41	19	2	39	5	29	30	3	4	1
43	6	41	19	3	39	30	29	5	3	4	1
43	7	1	9	1	1	36	15	31	3	4	1
43	7	1	9	2	1	15	36	31	3	4	1
43	7	1	9	3	1	31	36	15	3	4	1
43	7	1	9	1	42	7	15	31	3	4	1
43	7	1	9	2	42	15	7	31	3	4	1
43	7	1	9	3	42	31	7	15	3	4	1
43	7	1	9	1	1	36	28	12	3	4	1
43	7	1	9	2	1	28	36	12	3	4	1
43	7	1	9	3	1	12	36	28	3	4	1
43	7	1	9	1	42	7	28	12	3	4	1
43	7	1	9	2	42	28	7	12	3	4	1
43	7	1	9	3	42	12	7	28	3	4	1
43	8	5	31	1	35	11	9	13	3	4	1
43	8	5	31	2	35	9	11	13	3	4	1
43	8	5	31	3	35	13	11	9	3	4	1
43	8	5	31	1	35	32	34	13	3	4	1
43	8	5	31	2	35	34	32	13	3	4	1
43	8	5	31	3	35	13	32	34	3	4	1
43	8	5	31	1	8	11	9	30	3	4	1
43	8	5	31	2	8	9	11	30	3	4	1
43	8	5	31	3	8	30	11	9	3	4	1
43	8	5	31	1	8	32	34	30	3	4	1
43	8	5	31	2	8	34	32	30	3	4	1
43	8	5	31	3	8	30	32	34	3	4	1
43	8	30	31	1	2	28	31	24	3	4	1
43	8	30	31	2	2	31	28	24	3	4	1
43	8	30	31	3	2	24	28	31	3	4	1
43	8	30	31	1	2	15	12	24	3	4	1
43	8	30	31	2	2	12	15	24	3	4	1
