p	A	B	C	rho	sigma	pairing	a	b	c	d	mc	nc	U1	U0	V1	V0	M	N	G1	G0	W1	W0	ordD	ordH	relrankMN
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	2	12	32	37	58	23	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	6	67	57	53	68	69	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	7	11	17	2	17	66	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	7	49	63	7	54	5	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	11	22	59	42	18	1	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	14	64	22	5	31	48	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	15	5	56	42	22	41	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	16	16	17	7	54	59	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	17	24	10	30	67	10	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	22	47	62	2	62	7	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	35	65	45	24	16	63	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	49	17	1	54	15	24	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	53	39	13	31	0	36	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	55	2	7	47	62	40	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	60	10	69	41	65	21	12	24	2
71	3	7	44	43	64	1	57	62	55	58	49	57	70	50	46	6	69	39	42	5	8	18	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	2	12	32	37	58	23	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	6	67	57	53	68	69	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	7	11	17	2	17	66	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	7	49	63	7	54	5	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	11	22	59	42	18	1	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	14	64	22	5	31	48	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	15	5	56	42	22	41	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	16	16	17	7	54	59	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	17	24	10	30	67	10	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	22	47	62	2	62	7	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	35	65	45	24	16	63	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	49	17	1	54	15	24	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	53	39	13	31	0	36	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	55	2	7	47	62	40	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	60	10	69	41	65	21	12	24	2
71	3	7	44	43	64	2	57	55	62	58	49	57	70	50	46	6	69	39	42	5	8	18	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	2	12	32	37	58	23	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	6	67	57	53	68	69	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	7	11	17	2	17	66	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	7	49	63	7	54	5	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	11	22	59	42	18	1	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	14	64	22	5	31	48	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	15	5	56	42	22	41	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	16	16	17	7	54	59	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	17	24	10	30	67	10	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	22	47	62	2	62	7	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	35	65	45	24	16	63	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	49	17	1	54	15	24	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	53	39	13	31	0	36	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	55	2	7	47	62	40	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	60	10	69	41	65	21	12	24	2
71	3	7	44	43	64	3	62	55	57	58	49	57	70	50	46	6	69	39	42	5	8	18	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	1	25	34	54	24	42	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	2	29	15	6	64	64	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	11	1	9	69	67	9	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	22	43	46	10	16	66	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	25	57	32	37	14	45	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	31	48	1	53	16	63	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	38	13	70	1	67	36	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	42	0	16	66	0	13	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	48	60	54	62	35	17	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	54	65	44	62	25	54	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	55	2	17	37	5	58	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	59	31	54	54	36	13	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	62	4	52	66	37	46	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	63	10	21	49	14	69	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	63	64	32	31	57	2	12	24	2
71	3	7	44	28	7	1	14	9	16	13	33	14	19	57	51	67	67	14	57	69	9	10	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	1	25	34	54	24	42	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	2	29	15	6	64	64	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	11	1	9	69	67	9	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	22	43	46	10	16	66	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	25	57	32	37	14	45	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	31	48	1	53	16	63	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	38	13	70	1	67	36	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	42	0	16	66	0	13	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	48	60	54	62	35	17	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	54	65	44	62	25	54	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	55	2	17	37	5	58	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	59	31	54	54	36	13	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	62	4	52	66	37	46	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	63	10	21	49	14	69	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	63	64	32	31	57	2	12	24	2
71	3	7	44	28	7	2	14	16	9	13	33	14	19	57	51	67	67	14	57	69	9	10	12	24	2
