family	n	d	parameter	status	jacobian_order
5	0	1	0	boundary	0
5	1	1	1	boundary	0
5	2	1	2	good_allowed	3456
5	3	1	3	good_allowed	2688
5	4	1	4	good_allowed	2688
5	5	1	5	good_allowed	3456
5	6	1	6	good_allowed	3072
5	7	1	7	good_allowed	2688
5	8	1	8	good_allowed	3456
5	9	1	9	good_allowed	3456
5	10	1	10	good_allowed	3072
5	11	1	11	good_allowed	2304
5	12	1	12	boundary	0
5	13	1	13	good_allowed	3072
5	14	1	14	good_allowed	3072
5	15	1	15	good_allowed	2688
5	16	1	16	good_allowed	3456
5	17	1	17	good_allowed	2688
5	18	1	18	good_allowed	2688
5	19	1	19	good_allowed	2688
5	20	1	20	good_allowed	2688
5	21	1	21	good_allowed	3072
5	22	1	22	good_allowed	3456
5	23	1	23	good_allowed	3456
5	24	1	24	good_allowed	3456
5	25	1	25	good_allowed	3456
5	26	1	26	good_allowed	3456
5	27	1	27	good_allowed	2304
5	28	1	28	good_allowed	3456
5	29	1	29	good_allowed	3456
5	30	1	30	good_allowed	2688
5	31	1	31	good_allowed	3456
5	32	1	32	good_allowed	3072
5	33	1	33	good_allowed	3072
5	34	1	34	good_allowed	3456
5	35	1	35	good_allowed	2688
5	36	1	36	good_allowed	3072
5	37	1	37	good_allowed	3072
5	38	1	38	good_allowed	3072
5	39	1	39	good_allowed	3072
5	40	1	40	good_allowed	3456
5	41	1	41	good_allowed	2688
5	42	1	42	good_allowed	3456
5	43	1	43	good_allowed	3456
5	44	1	44	good_allowed	3456
5	45	1	45	good_allowed	2688
5	46	1	46	good_allowed	2688
5	47	1	47	good_allowed	3072
5	48	1	48	good_allowed	3072
5	49	1	49	good_allowed	3456
5	50	1	50	good_allowed	2304
5	51	1	51	good_allowed	3072
5	52	1	52	good_allowed	2304
5	53	1	53	good_allowed	3072
5	54	1	54	good_allowed	3456
5	55	1	55	good_allowed	3072
5	56	1	56	boundary	0
5	57	1	57	good_allowed	2688
5	58	1	58	good_allowed	2688
5	59	1	59	good_allowed	2688
5	60	1	60	boundary	0
5	1	0	infinity	boundary	0
6	0	1	0	boundary	0
6	1	1	1	boundary	0
6	7	1	7	good_allowed	3072
6	10	1	10	good_allowed	3072
6	14	1	14	good_allowed	3072
6	15	1	15	boundary	0
6	19	1	19	good_allowed	3072
6	21	1	21	boundary	0
6	32	1	32	boundary	0
6	35	1	35	good_allowed	3072
6	38	1	38	boundary	0
6	45	1	45	good_allowed	3072
6	48	1	48	good_allowed	3072
6	53	1	53	boundary	0
6	55	1	55	good_allowed	3072
6	57	1	57	boundary	0
6	60	1	60	boundary	0
6	1	0	infinity	boundary	0
