p	A	B	R	S	rho_zero	sigma_zero	branch_collision	smooth_slice_sheets	open_presentations	target_presentations	target_halves	half_boundary_points
61	1	1	0	0	1	1	-1	0	0	0	0	0
61	1	2	48	48	0	0	1	0	0	0	0	0
61	1	3	41	41	0	0	1	0	0	0	0	0
61	1	4	56	56	0	0	1	0	0	0	0	0
61	1	5	45	45	0	0	1	0	0	0	0	0
61	1	6	12	12	0	0	1	0	0	0	0	0
61	1	7	52	52	0	0	1	0	0	0	0	0
61	1	8	42	42	0	0	1	0	0	0	0	0
61	1	9	15	15	0	0	1	0	0	0	0	0
61	1	10	12	12	0	0	1	0	0	0	0	0
61	1	11	57	57	0	0	1	0	0	0	0	0
61	1	12	45	45	0	0	1	0	0	0	0	0
61	1	13	58	58	0	0	1	0	0	0	0	0
61	1	14	58	58	0	0	1	0	0	0	0	0
61	1	15	56	56	0	0	1	0	0	0	0	0
61	1	16	5	5	0	0	1	0	0	0	0	0
61	1	17	1	1	0	0	1	0	0	0	0	0
61	1	18	1	1	0	0	1	0	0	0	0	0
61	1	19	5	5	0	0	1	0	0	0	0	0
61	1	20	41	41	0	0	1	0	0	0	0	0
61	1	21	60	60	0	0	1	0	0	0	0	0
61	1	22	9	9	0	0	1	0	0	0	0	0
61	1	23	42	42	0	0	1	0	0	0	0	0
61	1	24	16	16	0	0	1	0	0	0	0	0
61	1	25	9	9	0	0	1	0	0	0	0	0
61	1	26	52	52	0	0	1	0	0	0	0	0
61	1	27	15	15	0	0	1	0	0	0	0	0
61	1	28	16	16	0	0	1	0	0	0	0	0
61	1	29	60	60	0	0	1	0	0	0	0	0
61	1	30	48	48	0	0	1	0	0	0	0	0
61	1	31	48	48	0	0	1	0	0	0	0	0
61	1	32	60	60	0	0	1	0	0	0	0	0
61	1	33	16	16	0	0	1	0	0	0	0	0
61	1	34	15	15	0	0	1	0	0	0	0	0
61	1	35	52	52	0	0	1	0	0	0	0	0
61	1	36	9	9	0	0	1	0	0	0	0	0
61	1	37	16	16	0	0	1	0	0	0	0	0
61	1	38	42	42	0	0	1	0	0	0	0	0
61	1	39	9	9	0	0	1	0	0	0	0	0
61	1	40	60	60	0	0	1	0	0	0	0	0
61	1	41	41	41	0	0	1	0	0	0	0	0
61	1	42	5	5	0	0	1	0	0	0	0	0
61	1	43	1	1	0	0	1	0	0	0	0	0
61	1	44	1	1	0	0	1	0	0	0	0	0
61	1	45	5	5	0	0	1	0	0	0	0	0
61	1	46	56	56	0	0	1	0	0	0	0	0
61	1	47	58	58	0	0	1	0	0	0	0	0
61	1	48	58	58	0	0	1	0	0	0	0	0
61	1	49	45	45	0	0	1	0	0	0	0	0
61	1	50	57	57	0	0	1	0	0	0	0	0
61	1	51	12	12	0	0	1	0	0	0	0	0
61	1	52	15	15	0	0	1	0	0	0	0	0
61	1	53	42	42	0	0	1	0	0	0	0	0
61	1	54	52	52	0	0	1	0	0	0	0	0
61	1	55	12	12	0	0	1	0	0	0	0	0
61	1	56	45	45	0	0	1	0	0	0	0	0
61	1	57	56	56	0	0	1	0	0	0	0	0
61	1	58	41	41	0	0	1	0	0	0	0	0
61	1	59	48	48	0	0	1	0	0	0	0	0
61	1	60	0	0	1	1	-1	0	0	0	0	0
61	2	1	48	48	0	0	1	0	0	0	0	0
61	2	3	49	52	0	0	0	4	12	0	0	0
61	2	4	58	27	0	0	0	4	12	0	0	0
61	2	7	36	0	0	1	-1	0	0	0	0	0
61	2	10	49	52	0	0	0	4	12	0	0	0
61	2	12	14	34	0	0	0	4	12	0	0	0
61	2	13	36	0	0	1	-1	0	0	0	0	0
61	2	14	41	20	0	0	0	4	12	0	0	0
61	2	16	27	25	0	0	0	4	12	0	0	0
61	2	18	16	42	0	0	0	4	12	6	60	0
61	2	20	22	5	0	0	0	4	12	0	0	0
61	2	21	27	25	0	0	0	4	12	0	0	0
61	2	22	16	42	0	0	0	4	12	0	0	0
61	2	23	58	27	0	0	0	4	12	0	0	0
61	2	24	41	20	0	0	0	4	12	0	0	0
61	2	28	14	34	0	0	0	4	12	0	0	0
61	2	29	22	5	0	0	0	4	12	0	0	0
61	2	30	48	48	0	0	1	0	0	0	0	0
61	2	31	48	48	0	0	1	0	0	0	0	0
61	2	32	22	5	0	0	0	4	12	0	0	0
61	2	33	14	34	0	0	0	4	12	0	0	0
61	2	37	41	20	0	0	0	4	12	0	0	0
61	2	38	58	27	0	0	0	4	12	0	0	0
61	2	39	16	42	0	0	0	4	12	6	60	0
61	2	40	27	25	0	0	0	4	12	0	0	0
61	2	41	22	5	0	0	0	4	12	0	0	0
61	2	43	16	42	0	0	0	4	12	0	0	0
61	2	45	27	25	0	0	0	4	12	0	0	0
