p	A	B	R	S	rho_zero	sigma_zero	branch_collision	smooth_slice_sheets	open_presentations	target_presentations	target_halves	half_boundary_points
43	1	1	0	0	1	1	-1	0	0	0	0	0
43	1	2	13	13	0	0	1	0	0	0	0	0
43	1	3	31	31	0	0	1	0	0	0	0	0
43	1	4	6	6	0	0	1	0	0	0	0	0
43	1	5	11	11	0	0	1	0	0	0	0	0
43	1	6	40	40	0	0	1	0	0	0	0	0
43	1	7	40	40	0	0	1	0	0	0	0	0
43	1	8	17	17	0	0	1	0	0	0	0	0
43	1	9	10	10	0	0	1	0	0	0	0	0
43	1	10	9	9	0	0	1	0	0	0	0	0
43	1	11	6	6	0	0	1	0	0	0	0	0
43	1	12	36	36	0	0	1	0	0	0	0	0
43	1	13	9	9	0	0	1	0	0	0	0	0
43	1	14	31	31	0	0	1	0	0	0	0	0
43	1	15	21	21	0	0	1	0	0	0	0	0
43	1	16	17	17	0	0	1	0	0	0	0	0
43	1	17	11	11	0	0	1	0	0	0	0	0
43	1	18	36	36	0	0	1	0	0	0	0	0
43	1	19	10	10	0	0	1	0	0	0	0	0
43	1	20	21	21	0	0	1	0	0	0	0	0
43	1	21	13	13	0	0	1	0	0	0	0	0
43	1	22	13	13	0	0	1	0	0	0	0	0
43	1	23	21	21	0	0	1	0	0	0	0	0
43	1	24	10	10	0	0	1	0	0	0	0	0
43	1	25	36	36	0	0	1	0	0	0	0	0
43	1	26	11	11	0	0	1	0	0	0	0	0
43	1	27	17	17	0	0	1	0	0	0	0	0
43	1	28	21	21	0	0	1	0	0	0	0	0
43	1	29	31	31	0	0	1	0	0	0	0	0
43	1	30	9	9	0	0	1	0	0	0	0	0
43	1	31	36	36	0	0	1	0	0	0	0	0
43	1	32	6	6	0	0	1	0	0	0	0	0
43	1	33	9	9	0	0	1	0	0	0	0	0
43	1	34	10	10	0	0	1	0	0	0	0	0
43	1	35	17	17	0	0	1	0	0	0	0	0
43	1	36	40	40	0	0	1	0	0	0	0	0
43	1	37	40	40	0	0	1	0	0	0	0	0
43	1	38	11	11	0	0	1	0	0	0	0	0
43	1	39	6	6	0	0	1	0	0	0	0	0
43	1	40	31	31	0	0	1	0	0	0	0	0
43	1	41	13	13	0	0	1	0	0	0	0	0
43	1	42	0	0	1	1	-1	0	0	0	0	0
43	2	1	13	13	0	0	1	0	0	0	0	0
43	2	2	40	35	0	0	1	0	0	0	0	0
43	2	3	16	25	0	0	0	4	12	0	0	0
43	2	4	15	21	0	0	0	4	12	0	0	0
43	2	5	23	10	0	0	0	4	12	0	0	0
43	2	7	16	25	0	0	0	4	12	0	0	0
43	2	8	0	4	1	0	-1	0	0	0	0	0
43	2	11	40	35	0	0	1	0	0	0	0	0
43	2	13	23	10	0	0	0	4	12	0	0	0
43	2	16	15	21	0	0	0	4	12	6	78	0
