p	u	t	w	pairing	a	b	c	d	ordD3	ordD4	D4div2
41	0	24	30	1	16	15	33	27	3	4	1
41	0	24	30	2	16	33	15	27	3	4	1
41	0	24	30	3	16	27	15	33	3	4	1
41	0	24	30	1	25	26	33	27	3	4	1
41	0	24	30	2	25	33	26	27	3	4	1
41	0	24	30	3	25	27	26	33	3	4	1
41	0	24	30	1	16	15	8	14	3	4	1
41	0	24	30	2	16	8	15	14	3	4	1
41	0	24	30	3	16	14	15	8	3	4	1
41	0	24	30	1	25	26	8	14	3	4	1
41	0	24	30	2	25	8	26	14	3	4	1
41	0	24	30	3	25	14	26	8	3	4	1
41	0	26	38	1	13	15	33	32	3	4	1
41	0	26	38	2	13	33	15	32	3	4	1
41	0	26	38	3	13	32	15	33	3	4	1
41	0	26	38	1	28	15	8	32	3	4	1
41	0	26	38	2	28	8	15	32	3	4	1
41	0	26	38	3	28	32	15	8	3	4	1
41	0	26	38	1	13	26	33	9	3	4	1
41	0	26	38	2	13	33	26	9	3	4	1
41	0	26	38	3	13	9	26	33	3	4	1
41	0	26	38	1	28	26	8	9	3	4	1
41	0	26	38	2	28	8	26	9	3	4	1
41	0	26	38	3	28	9	26	8	3	4	1
41	1	30	19	1	39	13	4	15	3	4	1
41	1	30	19	2	39	4	13	15	3	4	1
41	1	30	19	3	39	15	13	4	3	4	1
41	1	30	19	1	2	28	37	26	3	4	1
41	1	30	19	2	2	37	28	26	3	4	1
41	1	30	19	3	2	26	28	37	3	4	1
41	2	10	35	1	13	15	33	32	3	4	1
41	2	10	35	2	13	33	15	32	3	4	1
41	2	10	35	3	13	32	15	33	3	4	1
41	2	10	35	1	28	15	8	32	3	4	1
41	2	10	35	2	28	8	15	32	3	4	1
41	2	10	35	3	28	32	15	8	3	4	1
41	2	10	35	1	13	26	33	9	3	4	1
41	2	10	35	2	13	33	26	9	3	4	1
41	2	10	35	3	13	9	26	33	3	4	1
41	2	10	35	1	28	26	8	9	3	4	1
41	2	10	35	2	28	8	26	9	3	4	1
41	2	10	35	3	28	9	26	8	3	4	1
41	4	11	10	1	2	3	10	15	3	4	1
41	4	11	10	2	2	10	3	15	3	4	1
41	4	11	10	3	2	15	3	10	3	4	1
41	4	11	10	1	39	3	31	15	3	4	1
41	4	11	10	2	39	31	3	15	3	4	1
41	4	11	10	3	39	15	3	31	3	4	1
41	4	11	10	1	2	38	10	26	3	4	1
41	4	11	10	2	2	10	38	26	3	4	1
41	4	11	10	3	2	26	38	10	3	4	1
41	4	11	10	1	39	38	31	26	3	4	1
41	4	11	10	2	39	31	38	26	3	4	1
41	4	11	10	3	39	26	38	31	3	4	1
41	4	24	34	1	2	10	14	22	3	4	1
41	4	24	34	2	2	14	10	22	3	4	1
