m	n	torsion_coset
7056	-9336	1
7056	7824	1
9828	6240	1
1260	-3288	1
3780	4392	1
-3780	-120	1
1260	-9840	1
0	0	1
5796	-6048	1
2016	384	1
-6300	120	1
3276	-7176	1
-7812	-5856	1
5796	2157	1
-504	-1995	1
7056	1389	1
-3024	-7563	1
-3024	8739	1
-504	9237	1
2016	-6909	1
-5544	-6003	1
-1154	5249	1
-6194	-8743	1
-6194	8417	1
-2	-1	2
5038	-1921	2
1006	3071	2
-1010	-3985	2
6046	1151	2
