family	n	d	parameter	status	jacobian_order
5	0	1	0	boundary	0
5	1	1	1	boundary	0
5	3	1	3	good_allowed	4608
5	6	1	6	good_allowed	4608
5	8	1	8	good_allowed	4608
5	15	1	15	good_allowed	4608
5	16	1	16	good_allowed	4608
5	18	1	18	boundary	0
5	19	1	19	good_allowed	4608
5	30	1	30	good_allowed	4608
5	32	1	32	good_allowed	4608
5	34	1	34	good_allowed	4608
5	36	1	36	good_allowed	4608
5	39	1	39	good_allowed	4608
5	40	1	40	good_allowed	4608
5	42	1	42	good_allowed	4608
5	49	1	49	good_allowed	4608
5	50	1	50	good_allowed	4608
5	51	1	51	good_allowed	4608
5	52	1	52	good_allowed	4608
5	56	1	56	good_allowed	4608
5	58	1	58	good_allowed	4608
5	61	1	61	good_allowed	4608
5	63	1	63	good_allowed	4608
5	64	1	64	good_allowed	4608
5	66	1	66	good_allowed	4608
5	69	1	69	boundary	0
5	71	1	71	good_allowed	4608
5	72	1	72	boundary	0
5	1	0	infinity	boundary	0
6	0	1	0	boundary	0
6	1	1	1	boundary	0
6	6	1	6	boundary	0
6	16	1	16	boundary	0
6	24	1	24	boundary	0
6	32	1	32	boundary	0
6	61	1	61	boundary	0
6	70	1	70	boundary	0
6	72	1	72	boundary	0
6	1	0	infinity	boundary	0
