a	b	c	d	e1	e2	e3	e4	L	U	v
1	2	9	18	19	6	15	4	11	10	18
1	2	10	14	2	16	8	16	9	2	2
1	2	13	18	15	1	5	18	9	20	13
1	2	14	10	2	16	8	16	9	2	2
1	2	18	9	19	6	15	4	11	10	18
1	2	18	13	15	1	5	18	9	20	13
1	3	5	15	7	15	11	2	3	3	15
1	3	10	21	22	0	14	12	7	17	3
1	3	14	19	15	21	10	3	4	13	19
1	3	15	5	7	15	11	2	3	3	15
1	3	19	14	15	21	10	3	4	13	19
1	3	21	10	22	0	14	12	7	17	3
1	4	5	10	4	18	18	3	1	4	4
1	4	10	5	4	18	18	3	1	4	4
1	4	11	21	4	3	16	16	1	16	21
1	4	15	21	16	2	12	2	2	18	15
1	4	21	11	4	3	16	16	1	16	21
1	4	21	15	16	2	12	2	2	18	15
1	5	3	15	7	15	11	2	3	3	15
1	5	4	10	4	18	18	3	1	4	4
1	5	7	12	12	1	3	13	7	12	12
1	5	8	17	11	7	5	8	1	8	17
1	5	10	4	4	18	18	3	1	4	4
1	5	12	7	12	1	3	13	7	12	12
1	5	15	3	7	15	11	2	3	3	15
1	5	16	19	22	15	21	4	8	1	5
1	5	17	8	11	7	5	8	1	8	17
1	5	19	16	22	15	21	4	8	1	5
1	6	7	14	6	6	9	8	6	6	6
1	6	11	20	6	1	8	12	6	1	20
1	6	11	21	1	16	6	13	11	4	11
1	6	14	7	6	6	9	8	6	6	6
1	6	20	11	6	1	8	12	6	1	20
1	6	21	11	1	16	6	13	11	4	11
1	7	5	12	12	1	3	13	7	12	12
1	7	6	14	6	6	9	8	6	6	6
1	7	8	11	5	0	21	2	10	7	8
1	7	9	21	20	0	10	6	3	5	9
1	7	11	8	5	0	21	2	10	7	8
1	7	12	5	12	1	3	13	7	12	12
1	7	14	6	6	6	9	8	6	6	6
1	7	21	9	20	0	10	6	3	5	9
1	8	5	17	11	7	5	8	1	8	17
1	8	7	11	5	0	21	2	10	7	8
1	8	11	7	5	0	21	2	10	7	8
1	8	14	20	17	19	15	12	9	4	20
1	8	17	5	11	7	5	8	1	8	17
1	8	20	14	17	19	15	12	9	4	20
1	9	2	18	19	6	15	4	11	10	18
1	9	7	21	20	0	10	6	3	5	9
1	9	12	16	22	9	20	9	6	14	16
1	9	12	18	21	13	22	6	7	5	9
1	9	16	12	22	9	20	9	6	14	16
1	9	18	2	19	6	15	4	11	10	18
1	9	18	12	21	13	22	6	7	5	9
1	9	21	7	20	0	10	6	3	5	9
1	10	2	14	2	16	8	16	9	2	2
1	10	3	21	22	0	14	12	7	17	3
1	10	4	5	4	18	18	3	1	4	4
1	10	5	4	4	18	18	3	1	4	4
1	10	11	18	17	0	11	4	8	10	18
1	10	14	2	2	16	8	16	9	2	2
1	10	18	11	17	0	11	4	8	10	18
1	10	21	3	22	0	14	12	7	17	3
1	11	4	21	4	3	16	16	1	16	21
1	11	6	20	6	1	8	12	6	1	20
1	11	6	21	1	16	6	13	11	4	11
1	11	7	8	5	0	21	2	10	7	8
1	11	8	7	5	0	21	2	10	7	8
1	11	10	18	17	0	11	4	8	10	18
1	11	18	10	17	0	11	4	8	10	18
1	11	20	6	6	1	8	12	6	1	20
1	11	21	4	4	3	16	16	1	16	21
1	11	21	6	1	16	6	13	11	4	11
1	12	5	7	12	1	3	13	7	12	12
1	12	7	5	12	1	3	13	7	12	12
1	12	9	16	22	9	20	9	6	14	16
1	12	9	18	21	13	22	6	7	5	9
1	12	16	9	22	9	20	9	6	14	16
1	12	18	9	21	13	22	6	7	5	9
1	13	2	18	15	1	5	18	9	20	13
1	13	14	17	11	21	17	6	3	12	14
1	13	17	14	11	21	17	6	3	12	14
1	13	17	19	15	17	11	8	11	8	17
1	13	18	2	15	1	5	18	9	20	13
1	13	19	17	15	17	11	8	11	8	17
1	14	2	10	2	16	8	16	9	2	2
1	14	3	19	15	21	10	3	4	13	19
1	14	6	7	6	6	9	8	6	6	6
1	14	7	6	6	6	9	8	6	6	6
1	14	8	20	17	19	15	12	9	4	20
1	14	10	2	2	16	8	16	9	2	2
1	14	13	17	11	21	17	6	3	12	14
1	14	17	13	11	21	17	6	3	12	14
1	14	19	3	15	21	10	3	4	13	19
1	14	20	8	17	19	15	12	9	4	20
1	15	3	5	7	15	11	2	3	3	15
1	15	4	21	16	2	12	2	2	18	15
1	15	5	3	7	15	11	2	3	3	15
1	15	21	4	16	2	12	2	2	18	15
1	16	5	19	22	15	21	4	8	1	5
1	16	9	12	22	9	20	9	6	14	16
1	16	12	9	22	9	20	9	6	14	16
1	16	17	19	10	5	22	3	2	13	19
1	16	19	5	22	15	21	4	8	1	5
1	16	19	17	10	5	22	3	2	13	19
1	17	5	8	11	7	5	8	1	8	17
1	17	8	5	11	7	5	8	1	8	17
1	17	13	14	11	21	17	6	3	12	14
1	17	13	19	15	17	11	8	11	8	17
1	17	14	13	11	21	17	6	3	12	14
1	17	16	19	10	5	22	3	2	13	19
1	17	19	13	15	17	11	8	11	8	17
1	17	19	16	10	5	22	3	2	13	19
1	18	2	9	19	6	15	4	11	10	18
1	18	2	13	15	1	5	18	9	20	13
1	18	9	2	19	6	15	4	11	10	18
1	18	9	12	21	13	22	6	7	5	9
1	18	10	11	17	0	11	4	8	10	18
1	18	11	10	17	0	11	4	8	10	18
1	18	12	9	21	13	22	6	7	5	9
1	18	13	2	15	1	5	18	9	20	13
1	19	3	14	15	21	10	3	4	13	19
1	19	5	16	22	15	21	4	8	1	5
1	19	13	17	15	17	11	8	11	8	17
1	19	14	3	15	21	10	3	4	13	19
1	19	16	5	22	15	21	4	8	1	5
1	19	16	17	10	5	22	3	2	13	19
1	19	17	13	15	17	11	8	11	8	17
1	19	17	16	10	5	22	3	2	13	19
1	20	6	11	6	1	8	12	6	1	20
1	20	8	14	17	19	15	12	9	4	20
1	20	11	6	6	1	8	12	6	1	20
1	20	14	8	17	19	15	12	9	4	20
1	21	3	10	22	0	14	12	7	17	3
1	21	4	11	4	3	16	16	1	16	21
1	21	4	15	16	2	12	2	2	18	15
1	21	6	11	1	16	6	13	11	4	11
1	21	7	9	20	0	10	6	3	5	9
1	21	9	7	20	0	10	6	3	5	9
1	21	10	3	22	0	14	12	7	17	3
1	21	11	4	4	3	16	16	1	16	21
1	21	11	6	1	16	6	13	11	4	11
1	21	15	4	16	2	12	2	2	18	15
