[-80, 0, 4868890573347296293199567470388682506321694710408011101617960823246188128455933193829750003006270135993549349341522861921940601370946176566/2149815549500667694555144064317087714922027624711372935997200597713228444827494514782125161785371595075353217315376573614902288944004855625, 1935941949942993880660938073796461941190913116579974169318320797758928858359357849251659040445515354701931733342731086915792987236539822285117390612545974485827038807820213696206860226993975453293668603789595213348923997969267097774295618390722764689668608965591391563633393600402721413606132306699602040978262754859067448317638828252372599073154755134828856350088520152396963802680653821970572588254152442397570442243324805972209/3619668173163115239003751178755640079146231154089663670192876282107323461736674225015639856478675874797029468090193593034473417185661991678222151336863195012289433537227872561672857122796906662112161020163364196275656852727347814231745005892115269307064647157073352134469485373561263867861695881516018637234350961295841097386511189704690217147509680789977780636900788820033565150304563230638026881682567536650496714770705105625, 63177208827171849038491203239854747944841774715655305208846777492120522971067887134133642574227897164660632120872425173816820347031833702737300009416187094434921535667076495559939660247464226436779177617390305636635803762480258134632590033205764014752642532182878099390773723670964273669469375554982192541153475170093771423036361739706838358483076519461070345159815127547840350636211229898842795857246371082152609058942324188978414055119300548506739514850349712509025203143973308020803003260784796804795353835173661283420559593304464401970709635042327570093644566466061314771469709646903542093967936806289810917382793061850377424985197516227773/120475248134114731824770201296483991893919712379669710670740922709935177416472463753447850120258385353882818075086185867767882114743155803832150501295293992467248368236719163269294425975923167174978466970688743898997298614523340115487411218381647653274869944326473444423960996474280025325651496646561569385048410304438841940471710734984479067289618834575504833755338688135296700749131706523165816968270375885904529414586150671603271330031120210216055301210917229349729058193798250413193349779739357138925090836751099781698201426286500738751830817374700064672805508842276147723071055147188293613716337047957201583146227895593509677993676562500, [4], 1]
[-80, 1, 4868890573347296293199567470388682506321694710408011101617960823246188128455933193829750003006270135993549349341522861921940601370946176566/2149815549500667694555144064317087714922027624711372935997200597713228444827494514782125161785371595075353217315376573614902288944004855625, 976560371307707820986699430560527179921503192735025022938291835079124239513673949830020048540748631131079684554267012098961852298711390124841354587051377853800344895829035297799596994907364617385127585020937349197921255214678038247974234593353175004548932737448242024628117446676703084774708484346988094272673797402246547650252754056191962932844654597280880119620312459760939707872557821927319966407881/33520826548759466868262307235853994634863253514684387350160579730968734027495566209357621824390779617156016280522807415701225795043720558876609856359513145852849875805709586848684284829875754888836575872095701567789641001954530313850203406146477082178146722757860515545599811990825825961038671614638746768917854219208997469369759564203371533081495797575057706840452832172016203651647569144000275560000, 482998487402557621856495794835415497188062576094801000545389881873883587079448113437519787031869338270786605468029549771135065387214419874984877874026330740272933990993773766288003673165829422177372519085815506843048433820033054709416716371043705550164614182959564019060610477873178016491251276992150454182716388748359178037750845774012414941786235849535134240803087533156219044545083157140718352027225161387748903859588256253114795954444097609456701169336551848440903892843385504843070068862487799577168869119576481249494725665900082540247689257541906163878271113173527062746803467637674001349174483929/21338179705367277319581822704927094303036398053595282013242085676745277241720779327651208774858489787218601567335034144182640752721555849637923547695320494434207231728286511691805626674725921572569419473950011440514616774322438589804247878698431765866812372217912302515408103960177858622093496970655565911325089048034690810729263209652284109822999607481389174285845450155359412908814828321663812525988590575053435151876150319045753409223913278926048452127377785038079112439696727118259477161525776686409722535147593910799789012419765207416333532649631681775894892428697233864796701024897103020225000000, [4], 1]
[-79, 0, 732730007357062165412458889176717716081172330724120489224347593966568652295252819842927973609003446305512554063980856587523791703187300/1070023792860376132477575529164172726371336979200964012903321235844117027399326823974813724929447534859875351300631483728175565213743001, 70412979200155810747685646059015323860943594459015200115881687005916976130871019891418551768117353895203579578740427343557695520393218365885028041655800832351108157251170365220898854681886010343520034807784908565025279660142079865035618981557904743355254766228593548624989129183234967958037705963220250359183767641833798847203460304959067104799171416973542697623772890947379128934494251232668571570851077517110142230625/131300575647416318867870273052353054350431431660242708829519813204308533611937916495300006621871014927971575660710356987490777591433535623063501766798670078194802751867457975668642140442984654176267460660588688556308479959324512310489576979075967448158835460319832966031022718718800201747176059935919324121789673500423473996108185064018811819984567813334433133019850411187935687801696340250770063015241307663676715075684, 1882516236645180726524323708792536528491700604891403014110961132880189190266161235452998982660652552420095390723894031121999729178834643030838566321115612595247477952435285640593171032251448116209820066240781587912873718070828835061727507616442885372358556186321586630296630360701554385167492150852256991852357064385878911610433000908458202459737948169947109146645682074928310452378848230327899249388757845474776838133717071231745399914269103057816744335964985114587646788418560717046503181338928048971021230369593409289097664998578388017996969067510150140559922771092835443983384367154328976275774108500747135210171956471992075/40403821133824498473428209868950896209494368561645153669366322125506219251819649948108815067848774668248413137976183675589411261938864298251200723849662710903992364930844483906445059894414575880770873228784663440457836557264042055178741451703839464617202487900593405558708374097773034384372744279715409663197805325826478326372581579233883165581123997894711412083216480119481281169193024788882422954524939839019461535145181503294605730951095858411861763714667865087670190383755812715715372778257477522137385503467914023361196482103933895523164991097643412071664864029317535830887027392624600648663754931147688453261804097203059948, [4], 1]
[-79, 1, 732730007357062165412458889176717716081172330724120489224347593966568652295252819842927973609003446305512554063980856587523791703187300/1070023792860376132477575529164172726371336979200964012903321235844117027399326823974813724929447534859875351300631483728175565213743001, 1536525958524566009598588301861770844862187837227788398770883035348674749554711474524906121026115634983970558476815008010633863006844968668923155721673513526424977008594087154444160232535959952357212436660679383972036490697066212282839159197491735607089721037393581210817357178508716618134897501142134122193370115058162614063164570801662906000949131315742953256932604041269674003120759678564/8551232157724256244695144335805299075667921909826140954897489427015253206802175160928820631229290266543934193952975564394596453178197605306467562681359092503312468191114729026235766339304686685947695695594137215962780288024351717019020790706293365576282822439907190214070713636439135773866223418471210665494174226802672165549470763614472040401253326429642410528627544132987465925159144869881, 15832739797924911619944233086916242021214672535368158276287696132525474802518705717631079808035628320043825894585002599275916747789366975292135760749028395342187392384610140064889561454905546042570328464568143978542203633395134367736563149125526321659897038285997533022972896591374954659427320739604720923860876468885062653109383443108928427333770943556984251743447474402632776616966499735001266765771167148875972859788071824076857418024685756597701570349922193359336511036811876089156447692648158162738283725214125700701873567596293334428812681821698286154212719169728022032073155256162/45701638005433563856063907890568726233234561826395782385034319702117622566448065257667153284772204300352959390315938607367449207905404004705698639415268432855230594115859332519352477658172873123893758373889135274612804511666244630101232032045717532308492112904348713805534529572413198853555385861394464790274166240494154045155482619626153493262302202123956234675263286378232044966973140619526593669278113672529916718540473920068607569208983951867389046931930636026971919998535647798331961301780633812643014186454767810035978641436348924512342340405163894957900100049078940691976663161073, [4], 1]
[-78, 0, -309282632311149823599274562323487006769592528127659624304428891168989447336846455255902282522245637963848911498587192655632946618397/62434805605320795630970607865719009580666959891473897184434176282281205394370571360177814235770994491108279076379050603045457593764, 922755717922404627569222006096010237865201859387824243877607567693752859827375628988461653366966383173104450342422669136108257558227943784641562028354609753074519128019988911080779978711803007186747768453623122014986247524728349586308942674810124222382680314794470971341254695416484484803469641358078087002258708581898819090661061470483094838435805084029352875983302374000613050290050584205796057800062776721/288555371671152151543525612898093817644193307893314169669439112859677302249371289353944646493051324630104696641984323980848873105021833233445704521526231732596286458699859533440086209728580067454885979965599498541771174940166422548163483019486340273583826973375588841856509050963155808568427756939872405862371150516700886743590967277880379377732441223054789610241600071635361218300141344254743335115939062500, -775091900538263147845241634043603644431871601455858721292946121511494924862961125584281131962099472446916945385420141608030972824262066126964967090612067678060939165443372945935663622839137086717561013845473452488466679281878176006122028119475832328454870234255535147966889187735316521970959235394058563365309674090106730385463138260723522264956789695774181231502464641749991094943256619679564513549042044977041533818380243565653579763490885069989083616043486536202139983268838430040104213633616007736682530478416074500259786038348953766393810608306934092508214205998317404943412380472128894456759084672810446069/20522148086545883080079865193945981119626636066725217716670805888448002724958177092080516327852773202351040006959625421189908109671500237622549865425844703429391719296621006187730496258400401247045534934370513910916005463122874134093519821689357414171725799006888462099558076616093674898608166688742611380430291578492397813565178249191425027373692529649174890767531104648895362715977683329178831725565390529947859138283209862271390131553552415253660797883932483292784527996632250471576019216430048916755329003260433435253552171547996657494929309623274435887666549532506451012928740628783627665149862760681250000, [4], 1]
[-78, 1, -309282632311149823599274562323487006769592528127659624304428891168989447336846455255902282522245637963848911498587192655632946618397/62434805605320795630970607865719009580666959891473897184434176282281205394370571360177814235770994491108279076379050603045457593764, 1464616512037462138515726112423615351547476576096286854442263787926474880986634047884551062505122439332811402415331771143669619822967531148518114752168005321349211278090937407547994419224639583546785408257041626562966583672885633167175458163345546037595879200901879649249412492929987045636804651711879084878632730817675505752210830018952133176364641655190590642736664730845298517601/479946205839279119946754111690737959728180869497067649423806810924391540608906976763419304686881440337006332460202961124066383611693857755965354064885607838480182872799964163158654724196756375389056052064245934858141021259144489150796904358314825996587967314568545251272118192337186796735275050654355710810675792846301024740904991889490667314927786281573427396137722324995318230564, -116744709686472156675212882866332872679090278206844556597534330639107908558745055233686133714586209913138120708662412852232697795197761617501012673403324245401398456112590085792753519808296231356108394686302120103355437304694071780282212684676886555480252428594995112561783628597504853706697099130902228455728257653542897954985088677500471777864487251835999168997949856508850328106648680333632959879701938025560024588637269341983423087354627571878593346042416398345293820074135040576994775281299424880586652149129627766730734573955314505149348198121454999178113898228449633/4851142359046788112363760177844668320770597896471997351562656263479738995445849607144322231558069189997766668873424628429854161434190748671334452054096680466051670543699980558824225540412901867493341734172467186794448024078339553028231181593787279059443912036943257551622346522617052942543575735160189093077230514615792704210900735276985100467612073392614421235737999899847721974772579906611919113452230611054327089504544541969923847985099335435125509018769122610586378891220072336970984680647630547926952343661606223410536464143392296562739390593940321834450509940312976, [4], 1]
[-77, 0, -147973800200531327933661264099900157272995155980088969306989799266322723509239853373176488573478464527661064453718562342510933716/89395906228970834710601446370868871396213327926909611279785916788947091607618030534950527939940988612713698793115891178403362609, 56981309529079401092233199414888352115834153563658100409628895940415786015731593917438404655003099540596506967971107383903894244772578692147171355426382830063935708567423113752173734925756271830351613595440122268612328301543818654398801987268667521977891617951301239987693393330187055718134646616091271128743935119402192678776608719967063107313467497715302757190379092704514737267158244184865642084/102353924838590071483932562588170995902927964536472509993282640490687721967098993489661226729259755887693089976716020142656035019360316397137282663343279953838542209151231512779931624344472106231616262461963554201866154686336609533049976408539204585110844640333768379295353446808991169794374059233915741437984995178482625722948710087325273344477455088372923025295720681171802134945505960614515336609, -1984373373949984759013413142064340659620564767241005684769126522876520089710031244435827555721895168929921617937297585641945702271170175511987164213126439696202989454540235067731554168652903852643937409557353046478436879791761569193446214965379514412923812525096835241264130755489006190073093870355471633337246534817200385464814799301755333132433738879963666467853966211813206220202363004057838114530839772277041498802929330983386181107555525959061509511533280672598466406150625080561778457262941555525366182140833480132924242639835184383271133036360755376942416784818392390263316366320144479096250/680966006982363504010845518081099417151753593700642269853363026218196223916359915219229116541766189300959741443259272479458032441200288955374150047325429946179845223226599581508692400442065503285186437408773184298721424654526149062265420767613477947753685691289472860681050884424609062332918114585235797891660773246608757113282643890978680243185782903490977422092747551064485012540674712340261476246313018513167183856374826381749808401752847146402145009312315063187309939927095514827402649757796179465492132163168057695881891980595160786240789631924383874153801399453142905814130782795237537176177, [4], 1]
[-77, 1, -147973800200531327933661264099900157272995155980088969306989799266322723509239853373176488573478464527661064453718562342510933716/89395906228970834710601446370868871396213327926909611279785916788947091607618030534950527939940988612713698793115891178403362609, 178589817501972443470710052061973900290363119138747561142402551861967664667499040172176042723527308168018917210809721400401555735377254840431379836879210590293960467910857125726942672210683394297984970964836816088243131779124623870019573049260995055221048518492542793117361917806972681967249315510929826999702282042191671508394650387572786544402327952074877178509212629881/222544137886668065433721621091388983451158108022770758472328248355372595773214013017686361176737037030292682726953713098639780421609292027827868692366696323287658569103170594893659245579466959893279515437169966757293038723896569203566375261550369695515469606297067037777892273240996420936152091407123661548401241605906726895998780773784107233336204977437497328187767119556, 78418981651124122828219460465723064544779721421982942202121679178018218574571664239813909862250771889208248001501832268299127209292055386561707232561390870301341994884204625291872672714903975094885336622082991452874127232205949360334284004104243266481636298573283425572114152933360448582581301416403391324858052522491118322448189733398427638029893595272196310029698861272515316410189985857302307339780139338771068803981549842080011963765889036923102742915437530978979139255954358538941233530139177120974688751533404710956722532866838545973324914818669247591/4119126381556988930999664495437468676563667122686276150072736223169946501176712194468437273763875691629760869080968550688750908161821519969963153761638193446122248297548678945516038278553285794160930748745077821374738633017318522395785537968743692442842165370463445380495505475694211056563749860065141291177981586991801444950439334908120534146223303054705297969429662314279886586637443768673063914641189558385884578773674676511110597625112404786876598799460894000390148330627502544172588409757484606191973378266254811847837222953991603586322221964045930012, [4], 1]
[-76, 0, 94449235153563988045366493130630452747158430971839849698714378854150436703950894561771301715986360317391240123110557086894798/87676438380392473048314415870171307543042317107796410207944306992666862855772611236804043493503475435973255109328570767235601, 2200040973538895179370675875163981030540928459536453440283910606894436518196282083121019972359575009183413428592788071950358598889893290878021221604432899303999671460610647091247988233382822283792872802183210628924800972661169600236618044692402879850367726950004792756043350906427034645290219623036458995261673204311787115632928162899023861841619481654617835167407842017870128154228701409/1367087834137568036132210904634133130587752640781055187126502064901809930858430517370122424239416591192446782068371399789040985347370371740983246654573662747303834535431988516678619451799008956971835852250107718585612098091259767199818468119842774611227611925241660429699426589216147507093777084204129965183104674468228283839392429791330642357478607207950989603203635944118567413219461184, 355346698865295991477586583310354921701149455527017115633056469405799610983514939363120582740217897312371049698769241006749511022242279746845532414981127742932171189556354313341885307068791609533123156805222275974615867082070287606660751394492459586748903354933837388195565108607475709987299155287222478280314537112426593655904104038359102465070310136722835994132692451992789368766803133766418068207762429433243762785224525904644913618943303972408887692642349437780535321004606560523794995165748499069940332877651094254558207870296219817427927936436579433280527795312158131832940973/175743761631478866816159529802413726332354966301721646080150394699874605703967017169160676461795237467209870401558555196624349538666350997406369263663664319763504970181108912368601340550239917352650577377986625542621052010069822403121785730859151042100476325302700560757863609124510282034315847463132449010148147902724694004478776070092022622668509565244772730657701241122242688236427277129549838724297553784971025886914190019214709466040474783447298783713711683490508715881159865532289672366536844373153616023954786030658313750696832248520536081762669017813350308852530231504724800, [4], 1]
[-76, 1, 94449235153563988045366493130630452747158430971839849698714378854150436703950894561771301715986360317391240123110557086894798/87676438380392473048314415870171307543042317107796410207944306992666862855772611236804043493503475435973255109328570767235601, 70285690587996403505666994158595840225391293987398771320827630534105924550952842459431280010239161897452733773307219625334737771214956319258266158066454795065579941141895663459071515756170835869675079224357201109482706787679133814394062573190139344214948660914947554515528358675361773361600055630490733256619452747019608055787063370073757148081818127059724958561/60225674217965626012533171452769014636162879832665808230231868110188518983042200474821695661026304539859512234883364836296119754722751936120626666067315328649140306461967708654697629214904954215581048473555290197983588557298585946496395184249128286677346274320910041720985113665581109019279546013665272289482930929945739169868894621703658042391564843955821119921, 2441760609337665855845745218443179363163722015361710690793828993407740708170035390260000091044991084495744700572831344254019111155388614915569126568806434092633761629677381607777964807233689737170780424870434565841244991783214611121832047793044851375828031286853396834603163426934564440776489956517478251545390837529898701512398812198573614397272605388692146614485801125389506502252911778909454824250699637443307520575790414044169822336458209510045326633607741461892588546350459731578998612963550818712953917880429994458358889932514568196649/485824395889143347873329668884310915752541231172300388992275418302017973069535896660793678541771492013463377398102441026058089167909492436724693989985746109374901607883637301696788283952760961536526459017593464283736644645098732053576855778570313466385550436514488753796930972228777256832776709305459313850156533360089757721632420061837745918367206951137971070237548521510513377719209814037365371155112621137947350865908133829174362470078493128390771483105767768853907887988603801594981284047984925343308078402708166963263060953623892385748440, [4], 1]
[-75, 0, 47936480231717364514092393415741010310600706174414115749610783411474033387943627516556789937861048568446261498456808593969/24947054058170841311710685559328221307188124152236946263007952063784308095396629755940766017197347545119418511768453377089, 1436445635884642677947027540985820997346166648088584484653058002763067266184216919068977090473351032246401689300341436633095294101448467420042376823237605763768403483494735560165775133214242191763067647491584072341221577261455590895674229188717915984499346810232536446912634869403579666982325892924256674418385799211755604976870057254690437127462789757795219996838192203562849089/199367576988591672064383650995562366007838364809126087759462381023665985381047699297808616668625006034949585180553413512991806443730516853587337808888010513074348565816007007986198167792254525393519043453668418494466466756117456493707698571905765193800026409725233941154025625717036859570099510193493156499579781605994038216414641398334610941119893888644099428818496128443669409, 508391560448112388987244994116435605447528132801676763664617077935497039403862566511359349185060066142462332869430864650251109804462074859292872453502902295056659624629643353471073879460990361314856350698050059845810414373225116524045424403474973438902095565178193925625282455634088961907553957525375844397378240667070006010697831682102920070096761300116202222006861807934335353838694159631892062609343401893357744802292745205443124071926976252269350220620269413730269081333932512855705314464786010093440390905098048585348154335277596644802157453357914727900837621572/162693617632384132220816268679642087110878326057399705865813535768232274564251158411627068383962685472609724391702777634446681021407066498298921516318813354153895360820778876001443949335060419925872929629469527648443216511750997566089908674494043863627412361143830293685758115458729809127919815404199550169037369336451283276238729291059979702455770529711753121088926259458604141041463271152080481362918014115996076476832435503606300109308327425414561971512432084843638187809326353022372314073754306814914438885465156529775284902569602273236366860616490279074289883099, [4], 1]
