p	u	t	w	pairing	a	b	c	d	ordD3	ordD4	D4div2
29	0	14	7	1	28	3	15	24	3	4	1
29	0	14	7	2	28	15	3	24	3	4	1
29	0	14	7	3	28	24	3	15	3	4	1
29	0	14	7	1	1	26	14	5	3	4	1
29	0	14	7	2	1	14	26	5	3	4	1
29	0	14	7	3	1	5	26	14	3	4	1
29	16	22	17	1	28	4	7	20	3	4	1
29	16	22	17	2	28	7	4	20	3	4	1
29	16	22	17	3	28	20	4	7	3	4	1
29	16	22	17	1	1	25	22	9	3	4	1
29	16	22	17	2	1	22	25	9	3	4	1
29	16	22	17	3	1	9	25	22	3	4	1
29	27	2	24	1	23	3	19	20	3	4	1
29	27	2	24	2	23	19	3	20	3	4	1
29	27	2	24	3	23	20	3	19	3	4	1
29	27	2	24	1	6	26	10	9	3	4	1
29	27	2	24	2	6	10	26	9	3	4	1
29	27	2	24	3	6	9	26	10	3	4	1
