p	A	B	R	S	rho_zero	sigma_zero	branch_collision	smooth_slice_sheets	open_presentations	target_presentations	target_halves	half_boundary_points
41	1	1	0	0	1	1	-1	0	0	0	0	0
41	1	2	33	33	0	0	1	0	0	0	0	0
41	1	3	39	39	0	0	1	0	0	0	0	0
41	1	4	32	32	0	0	1	0	0	0	0	0
41	1	5	5	5	0	0	1	0	0	0	0	0
41	1	6	1	1	0	0	1	0	0	0	0	0
41	1	7	1	1	0	0	1	0	0	0	0	0
41	1	8	5	5	0	0	1	0	0	0	0	0
41	1	9	37	37	0	0	1	0	0	0	0	0
41	1	10	32	32	0	0	1	0	0	0	0	0
41	1	11	16	16	0	0	1	0	0	0	0	0
41	1	12	21	21	0	0	1	0	0	0	0	0
41	1	13	36	36	0	0	1	0	0	0	0	0
41	1	14	39	39	0	0	1	0	0	0	0	0
41	1	15	16	16	0	0	1	0	0	0	0	0
41	1	16	4	4	0	0	1	0	0	0	0	0
41	1	17	21	21	0	0	1	0	0	0	0	0
41	1	18	4	4	0	0	1	0	0	0	0	0
41	1	19	36	36	0	0	1	0	0	0	0	0
41	1	20	33	33	0	0	1	0	0	0	0	0
41	1	21	33	33	0	0	1	0	0	0	0	0
41	1	22	36	36	0	0	1	0	0	0	0	0
41	1	23	4	4	0	0	1	0	0	0	0	0
41	1	24	21	21	0	0	1	0	0	0	0	0
41	1	25	4	4	0	0	1	0	0	0	0	0
41	1	26	16	16	0	0	1	0	0	0	0	0
41	1	27	39	39	0	0	1	0	0	0	0	0
41	1	28	36	36	0	0	1	0	0	0	0	0
41	1	29	21	21	0	0	1	0	0	0	0	0
41	1	30	16	16	0	0	1	0	0	0	0	0
41	1	31	32	32	0	0	1	0	0	0	0	0
41	1	32	37	37	0	0	1	0	0	0	0	0
41	1	33	5	5	0	0	1	0	0	0	0	0
41	1	34	1	1	0	0	1	0	0	0	0	0
41	1	35	1	1	0	0	1	0	0	0	0	0
41	1	36	5	5	0	0	1	0	0	0	0	0
41	1	37	32	32	0	0	1	0	0	0	0	0
41	1	38	39	39	0	0	1	0	0	0	0	0
41	1	39	33	33	0	0	1	0	0	0	0	0
41	1	40	0	0	1	1	-1	0	0	0	0	0
41	2	1	33	33	0	0	1	0	0	0	0	0
41	2	6	39	16	0	0	0	4	12	0	0	0
41	2	9	10	23	0	0	0	4	12	6	78	0
41	2	11	4	40	0	0	0	4	12	0	0	0
41	2	12	2	32	0	0	1	0	0	0	0	0
41	2	13	4	40	0	0	0	4	12	0	0	0
41	2	14	25	1	0	0	0	4	12	0	0	0
41	2	16	10	23	0	0	0	4	12	6	78	0
41	2	17	39	16	0	0	0	4	12	0	0	0
41	2	19	25	1	0	0	0	4	12	0	0	0
41	2	20	33	33	0	0	1	0	0	0	0	0
41	2	21	33	33	0	0	1	0	0	0	0	0
41	2	22	25	1	0	0	0	4	12	0	0	0
41	2	24	39	16	0	0	0	4	12	0	0	0
41	2	25	10	23	0	0	0	4	12	0	0	0
41	2	27	25	1	0	0	0	4	12	0	0	0
41	2	28	4	40	0	0	0	4	12	0	0	0
41	2	29	2	32	0	0	1	0	0	0	0	0
41	2	30	4	40	0	0	0	4	12	0	0	0
41	2	32	10	23	0	0	0	4	12	0	0	0
41	2	35	39	16	0	0	0	4	12	0	0	0
41	2	40	33	33	0	0	1	0	0	0	0	0
41	3	1	39	39	0	0	1	0	0	0	0	0
41	3	13	1	25	0	0	0	4	12	0	0	0
