p	u	t	w	pairing	a	b	c	d	ordD3	ordD4	D4div2
23	4	4	3	1	1	5	10	4	3	4	1
23	4	4	3	2	1	10	5	4	3	4	1
23	4	4	3	3	1	4	5	10	3	4	1
23	4	4	3	1	22	18	13	19	3	4	1
23	4	4	3	2	22	13	18	19	3	4	1
23	4	4	3	3	22	19	18	13	3	4	1
23	8	17	17	1	1	5	17	8	3	4	1
23	8	17	17	2	1	17	5	8	3	4	1
23	8	17	17	3	1	8	5	17	3	4	1
23	8	17	17	1	22	18	6	15	3	4	1
23	8	17	17	2	22	6	18	15	3	4	1
23	8	17	17	3	22	15	18	6	3	4	1
23	9	22	9	1	21	12	20	8	3	4	1
23	9	22	9	2	21	20	12	8	3	4	1
23	9	22	9	3	21	8	12	20	3	4	1
23	9	22	9	1	2	11	3	15	3	4	1
23	9	22	9	2	2	3	11	15	3	4	1
23	9	22	9	3	2	15	11	3	3	4	1
23	16	21	20	1	1	21	11	4	3	4	1
23	16	21	20	2	1	11	21	4	3	4	1
23	16	21	20	3	1	4	21	11	3	4	1
23	16	21	20	1	22	2	12	19	3	4	1
23	16	21	20	2	22	12	2	19	3	4	1
23	16	21	20	3	22	19	2	12	3	4	1
