family	p	status	finite_cover	finite_smooth	finite_live	finite_singular	infinity_full	live_T	J_orders
R7	17	LIVE	17	0	18	17	1	[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
R7	19	LIVE	4	0	4	4	0	[ 1, 8, 11, 18 ]	[ -1, -1, -1, -1 ]
R7	23	LIVE	6	2	4	4	0	[ 1, 2, 21, 22 ]	[ -1, -1, -1, -1 ]
R7	29	LIVE	7	0	7	7	0	[ 0, 1, 8, 10, 19, 21, 28 ]	[ -1, -1, -1, -1, -1, -1, -1 ]
R7	31	LIVE	6	2	5	4	1	[ 5, 15, 16, 26, -1 ]	[ -1, -1, -1, -1, -2 ]
R7	37	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
R7	41	LIVE	4	4	5	0	1	[ 1, 6, 35, 40, -1 ]	[ 1536, 1536, 1536, 1536, -2 ]
R7	43	LIVE	10	0	10	10	0	[ 1, 5, 9, 15, 18, 25, 28, 34, 38, 42 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1 ]
S1	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
S1	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
S1	11	LIVE	4	2	2	2	0	[ 1, 10 ]	[ -1, -1 ]
S1	13	LIVE	13	0	14	13	1	[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
S1	17	LIVE	6	0	6	6	0	[ 1, 5, 8, 9, 12, 16 ]	[ -1, -1, -1, -1, -1, -1 ]
S1	19	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
S1	23	LIVE	6	6	2	0	0	[ 4, 19 ]	[ 384, 384 ]
S1	29	LIVE	6	6	2	0	0	[ 8, 21 ]	[ 768, 768 ]
S1	31	LIVE	6	2	5	4	1	[ 1, 10, 21, 30, -1 ]	[ -1, -1, -1, -1, -2 ]
S1	37	LIVE	6	6	2	0	0	[ 1, 36 ]	[ 1536, 1536 ]
S1	41	LIVE	6	4	6	2	0	[ 1, 4, 9, 32, 37, 40 ]	[ 1536, -1, 1536, 1536, -1, 1536 ]
S1	43	LIVE	7	4	5	3	0	[ 0, 10, 20, 23, 33 ]	[ -1, -1, 1920, 1920, -1 ]
S3	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
S3	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
S3	11	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
S3	13	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
S3	17	LIVE	4	2	2	2	0	[ 1, 16 ]	[ -1, -1 ]
S3	19	LIVE	4	2	5	2	1	[ 1, 3, 16, 18, -1 ]	[ 384, -1, -1, 384, -2 ]
S3	23	LIVE	6	2	7	4	1	[ 1, 7, 10, 13, 16, 22, -1 ]	[ -1, 768, -1, -1, 768, -1, -2 ]
S3	29	LIVE	6	6	2	0	0	[ 1, 28 ]	[ 768, 768 ]
S3	31	LIVE	6	4	4	2	0	[ 1, 3, 28, 30 ]	[ -1, 768, 768, -1 ]
S3	37	LIVE	10	0	11	10	1	[ 1, 4, 12, 13, 18, 19, 24, 25, 33, 36, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
S3	41	LIVE	4	4	5	0	1	[ 1, 7, 34, 40, -1 ]	[ 1536, 1536, 1536, 1536, -2 ]
S3	43	LIVE	8	8	4	0	0	[ 9, 21, 22, 34 ]	[ 1920, 1920, 1920, 1920 ]
U1	5	LIVE	5	0	6	5	1	[ 0, 1, 2, 3, 4, -1 ]	[ -1, -1, -1, -1, -1, -2 ]
U1	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
U1	11	DEAD	4	4	0	0	0	[]	[]
U2	5	LIVE	5	0	6	5	1	[ 0, 1, 2, 3, 4, -1 ]	[ -1, -1, -1, -1, -1, -2 ]
U2	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
U2	11	DEAD	4	4	0	0	0	[]	[]
V1	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
V1	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
V1	11	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
V1	13	LIVE	4	0	4	4	0	[ 1, 5, 8, 12 ]	[ -1, -1, -1, -1 ]
V1	17	LIVE	4	4	2	0	0	[ 1, 16 ]	[ 384, 384 ]
V1	19	LIVE	19	0	20	19	1	[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
V1	23	LIVE	6	6	2	0	0	[ 4, 19 ]	[ 384, 384 ]
V1	29	LIVE	6	6	3	0	1	[ 1, 28, -1 ]	[ 960, 960, -2 ]
V1	31	LIVE	10	0	11	10	1	[ 1, 5, 8, 10, 11, 20, 21, 23, 26, 30, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
V1	37	LIVE	4	2	4	2	0	[ 1, 4, 33, 36 ]	[ -1, 1536, 1536, -1 ]
V1	41	LIVE	6	6	2	0	0	[ 10, 31 ]	[ 1536, 1536 ]
V1	43	LIVE	8	6	8	2	0	[ 1, 9, 13, 18, 25, 30, 34, 42 ]	[ 2304, 2304, 2304, -1, -1, 2304, 2304, 2304 ]
V2	5	LIVE	5	0	6	5	1	[ 0, 1, 2, 3, 4, -1 ]	[ -1, -1, -1, -1, -1, -2 ]
V2	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
V2	11	DEAD	4	4	0	0	0	[]	[]
W1	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
W1	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
W1	11	LIVE	4	0	4	4	0	[ 1, 3, 8, 10 ]	[ -1, -1, -1, -1 ]
W1	13	DEAD	4	4	0	0	0	[]	[]
W2	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
W2	7	LIVE	4	0	4	4	0	[ 1, 3, 4, 6 ]	[ -1, -1, -1, -1 ]
W2	11	LIVE	4	0	4	4	0	[ 1, 3, 8, 10 ]	[ -1, -1, -1, -1 ]
W2	13	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
W2	17	LIVE	17	0	18	17	1	[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
W2	19	LIVE	4	0	4	4	0	[ 1, 7, 12, 18 ]	[ -1, -1, -1, -1 ]
W2	23	LIVE	8	4	8	4	0	[ 1, 3, 10, 11, 12, 13, 20, 22 ]	[ 768, -1, 768, -1, -1, 768, -1, 768 ]
W2	29	LIVE	6	4	2	2	0	[ 10, 19 ]	[ -1, -1 ]
W2	31	LIVE	6	4	2	2	0	[ 4, 27 ]	[ -1, -1 ]
W2	37	LIVE	8	6	6	2	0	[ 5, 10, 17, 20, 27, 32 ]	[ 1536, 1344, -1, -1, 1344, 1536 ]
W2	41	LIVE	10	4	6	6	0	[ 3, 4, 8, 33, 37, 38 ]	[ -1, -1, -1, -1, -1, -1 ]
W2	43	LIVE	10	6	6	4	0	[ 2, 10, 16, 27, 33, 41 ]	[ -1, 1728, -1, -1, 1728, -1 ]
X1	5	LIVE	5	0	6	5	1	[ 0, 1, 2, 3, 4, -1 ]	[ -1, -1, -1, -1, -1, -2 ]
X1	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
X1	11	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
X1	13	LIVE	3	0	3	3	0	[ 0, 1, 12 ]	[ -1, -1, -1 ]
X1	17	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
X1	19	DEAD	4	4	0	0	0	[]	[]
Y1	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
Y1	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
Y1	11	LIVE	4	0	4	4	0	[ 1, 3, 8, 10 ]	[ -1, -1, -1, -1 ]
Y1	13	LIVE	13	0	14	13	1	[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
Y1	17	LIVE	4	2	2	2	0	[ 8, 9 ]	[ -1, -1 ]
Y1	19	DEAD	4	4	0	0	0	[]	[]
Z1	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
Z1	7	LIVE	7	0	8	7	1	[ 0, 1, 2, 3, 4, 5, 6, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -2 ]
Z1	11	DEAD	4	4	0	0	0	[]	[]
AA1	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
AA1	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
AA1	11	LIVE	4	2	2	2	0	[ 5, 6 ]	[ -1, -1 ]
AA1	13	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
AA1	17	LIVE	5	2	3	3	0	[ 0, 1, 16 ]	[ -1, -1, -1 ]
AA1	19	DEAD	4	4	0	0	0	[]	[]
