a	b	c	d	e1	e2	e3	e4	L	U	v
1	2	5	7	2	4	8	5	3	5	10
1	2	7	5	2	4	8	5	3	5	10
1	5	2	7	2	4	8	5	3	5	10
1	5	7	2	2	4	8	5	3	5	10
1	5	7	8	7	5	2	3	2	1	2
1	5	8	7	7	5	2	3	2	1	2
1	6	8	9	6	3	7	9	4	4	8
1	6	9	8	6	3	7	9	4	4	8
1	7	2	5	2	4	8	5	3	5	10
1	7	5	2	2	4	8	5	3	5	10
1	7	5	8	7	5	2	3	2	1	2
1	7	8	5	7	5	2	3	2	1	2
1	7	8	9	8	9	6	4	5	9	7
1	7	9	8	8	9	6	4	5	9	7
1	8	5	7	7	5	2	3	2	1	2
1	8	6	9	6	3	7	9	4	4	8
1	8	7	5	7	5	2	3	2	1	2
1	8	7	9	8	9	6	4	5	9	7
1	8	9	6	6	3	7	9	4	4	8
1	8	9	7	8	9	6	4	5	9	7
1	9	6	8	6	3	7	9	4	4	8
1	9	7	8	8	9	6	4	5	9	7
1	9	8	6	6	3	7	9	4	4	8
1	9	8	7	8	9	6	4	5	9	7
