p	u	t	w	a	b	c	d	flags	r0	r1	r2	r3
43	0	0	0	0	0	0	21	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
43	0	0	0	0	0	0	22	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
43	0	0	34	0	23	38	27	t0+qrep+qgcd+root0+rad0	0	0	4	10
43	0	0	34	0	23	5	27	t0+qrep+qgcd+root0+rad0	0	0	11	40
43	0	0	34	0	20	38	16	t0+qrep+qgcd+root0+rad0	0	0	11	40
43	0	0	34	0	20	5	16	t0+qrep+qgcd+root0+rad0	0	0	4	10
43	1	0	1	0	1	1	1	t0+qgcd+root0+rootrep+rad0	0	0	4	4
43	1	0	1	0	1	1	42	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	1	0	1	0	1	42	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	1	0	1	0	1	42	42	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	1	0	1	0	42	1	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	1	0	1	0	42	1	42	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	1	0	1	0	42	42	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	1	0	1	0	42	42	42	t0+qgcd+root0+rootrep+rad0	0	0	4	4
43	1	3	30	41	15	15	15	rootrep	1	35	17	17
43	1	3	30	41	15	28	28	rootrep+rad0	1	11	0	0
43	1	3	30	41	28	15	28	rootrep+rad0	1	11	0	0
43	1	3	30	41	28	28	15	rootrep+rad0	1	11	0	0
43	1	3	30	2	15	15	28	rootrep+rad0	1	11	0	0
43	1	3	30	2	15	28	15	rootrep+rad0	1	11	0	0
43	1	3	30	2	28	15	15	rootrep+rad0	1	11	0	0
43	1	3	30	2	28	28	28	rootrep	1	35	17	17
43	1	21	0	41	21	4	25	qrep	14	15	40	38
43	1	21	0	41	21	39	18	qrep	14	36	1	36
43	1	21	0	2	22	4	25	qrep	14	36	1	36
43	1	21	0	2	22	39	18	qrep	14	15	40	38
43	1	21	30	40	10	25	38	qrep	9	41	38	21
43	1	21	30	40	10	18	5	qrep	9	15	31	31
43	1	21	30	3	33	25	38	qrep	9	15	31	31
43	1	21	30	3	33	18	5	qrep	9	41	38	21
43	1	25	2	25	38	38	11	rootrep	38	4	23	23
43	1	25	2	25	38	5	32	rootrep+rad0	38	31	0	0
43	1	25	2	25	5	38	32	rootrep+rad0	38	31	0	0
43	1	25	2	25	5	5	11	rootrep	38	9	6	6
43	1	25	2	18	38	38	32	rootrep	38	9	6	6
43	1	25	2	18	38	5	11	rootrep+rad0	38	31	0	0
43	1	25	2	18	5	38	11	rootrep+rad0	38	31	0	0
43	1	25	2	18	5	5	32	rootrep	38	4	23	23
43	1	39	34	23	23	31	25	qgcd+rootrep	13	11	11	1
43	1	39	34	20	20	12	18	qgcd+rootrep	13	11	11	1
43	2	0	17	0	21	21	25	t0+qgcd+root0+rootrep+rad0	0	0	10	10
43	2	0	17	0	21	21	18	t0+qgcd+root0+rootrep+rad0	0	0	1	1
43	2	0	17	0	21	22	25	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	2	0	17	0	21	22	18	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	2	0	17	0	22	21	25	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	2	0	17	0	22	21	18	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	2	0	17	0	22	22	25	t0+qgcd+root0+rootrep+rad0	0	0	1	1
43	2	0	17	0	22	22	18	t0+qgcd+root0+rootrep+rad0	0	0	10	10
43	2	1	25	1	42	38	26	qrep+qgcd+rootrep+rad0	1	0	0	17
43	2	1	25	1	42	5	17	qrep+qgcd+rootrep+rad0	1	0	0	17
43	2	1	25	42	1	38	26	qrep+qgcd+rootrep+rad0	1	0	0	17
43	2	1	25	42	1	5	17	qrep+qgcd+rootrep+rad0	1	0	0	17
43	2	2	1	10	10	18	37	qgcd+rootrep	36	40	40	10
43	2	2	1	33	33	25	6	qgcd+rootrep	36	40	40	10
43	2	12	36	0	31	5	16	root0+rad0	0	0	10	23
43	2	12	36	0	12	38	27	root0+rad0	0	0	10	23
43	2	13	18	4	4	26	37	rootrep	41	15	15	31
43	2	13	18	4	39	17	37	rootrep+rad0	41	0	0	10
43	2	13	18	4	39	26	6	rootrep+rad0	41	0	0	10
43	2	13	18	39	4	17	37	rootrep+rad0	41	0	0	10
43	2	13	18	39	4	26	6	rootrep+rad0	41	0	0	10
43	2	13	18	39	39	17	6	rootrep	41	15	15	31
43	2	18	24	36	37	37	16	qgcd+rootrep	10	17	14	14
43	2	18	24	7	6	6	27	qgcd+rootrep	10	17	14	14
43	2	29	16	1	40	3	34	rootrep+rad0	38	21	0	0
43	2	29	16	1	3	40	34	rootrep+rad0	38	21	0	0
43	2	29	16	1	3	3	9	rootrep	38	31	4	4
43	2	29	16	42	40	40	34	rootrep	38	31	4	4
43	2	29	16	42	40	3	9	rootrep+rad0	38	21	0	0
43	2	29	16	42	3	40	9	rootrep+rad0	38	21	0	0
43	2	40	18	41	24	19	5	rootrep+rad0	41	35	0	0
43	2	40	18	41	19	24	5	rootrep+rad0	41	35	0	0
43	2	40	18	2	24	19	38	rootrep+rad0	41	35	0	0
43	2	40	18	2	19	24	38	rootrep+rad0	41	35	0	0
43	3	0	4	0	40	39	14	t0+qgcd+root0+rad0	0	0	38	41
43	3	0	4	0	3	4	29	t0+qgcd+root0+rad0	0	0	38	41
43	3	0	18	0	9	16	27	t0+qgcd+root0+rootrep+rad0	0	0	15	0
43	3	0	18	0	9	27	16	t0+qgcd+root0+rootrep+rad0	0	0	15	0
43	3	0	18	0	9	27	27	t0+qgcd+root0+rootrep+rad0	0	0	13	25
43	3	0	18	0	34	16	16	t0+qgcd+root0+rootrep+rad0	0	0	13	25
43	3	0	18	0	34	16	27	t0+qgcd+root0+rootrep+rad0	0	0	15	0
43	3	0	18	0	34	27	16	t0+qgcd+root0+rootrep+rad0	0	0	15	0
43	3	2	7	40	40	40	4	rootrep	21	21	21	21
43	3	2	7	40	40	3	39	rootrep+rad0	21	0	0	0
43	3	2	7	40	3	40	39	rootrep+rad0	21	0	0	0
43	3	2	7	40	3	3	4	rootrep+rad0	21	0	0	0
43	3	2	7	3	40	40	39	rootrep+rad0	21	0	0	0
43	3	2	7	3	40	3	4	rootrep+rad0	21	0	0	0
43	3	2	7	3	3	40	4	rootrep+rad0	21	0	0	0
43	3	2	7	3	3	3	39	rootrep	21	21	21	21
43	3	16	29	0	11	11	11	qgcd+root0+rootrep+rad0	0	0	41	41
43	3	16	29	0	11	11	32	qgcd+root0+rootrep+rad0	0	0	0	0
43	3	16	29	0	11	32	11	qgcd+root0+rootrep+rad0	0	0	0	0
43	3	16	29	0	11	32	32	qgcd+root0+rootrep+rad0	0	0	0	0
43	3	16	29	0	32	11	11	qgcd+root0+rootrep+rad0	0	0	0	0
43	3	16	29	0	32	11	32	qgcd+root0+rootrep+rad0	0	0	0	0
43	3	16	29	0	32	32	11	qgcd+root0+rootrep+rad0	0	0	0	0
43	3	16	29	0	32	32	32	qgcd+root0+rootrep+rad0	0	0	41	41
43	3	23	29	1	23	18	18	qrep+qgcd+rootrep	13	21	15	15
43	3	23	29	1	20	25	18	qrep+qgcd+rootrep+rad0	13	11	14	0
43	3	23	29	1	20	18	25	qrep+qgcd+rootrep+rad0	13	11	14	0
43	3	23	29	42	23	25	18	qrep+qgcd+rootrep+rad0	13	11	14	0
43	3	23	29	42	23	18	25	qrep+qgcd+rootrep+rad0	13	11	14	0
43	3	23	29	42	20	25	25	qrep+qgcd+rootrep	13	21	15	15
43	4	0	10	0	41	41	24	t0+qgcd+root0+rootrep+rad0	0	0	35	35
43	4	0	10	0	41	2	24	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	4	0	10	0	41	2	19	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	4	0	10	0	2	41	24	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	4	0	10	0	2	41	19	t0+qgcd+root0+rootrep+rad0	0	0	0	0
43	4	0	10	0	2	2	19	t0+qgcd+root0+rootrep+rad0	0	0	35	35
43	4	15	4	0	6	6	13	root0+rootrep+rad0	0	0	38	38
43	4	15	4	0	6	37	13	root0+rootrep+rad0	0	0	0	0
43	4	15	4	0	6	37	30	root0+rootrep+rad0	0	0	0	0
43	4	15	4	0	37	6	13	root0+rootrep+rad0	0	0	0	0
43	4	15	4	0	37	6	30	root0+rootrep+rad0	0	0	0	0
43	4	15	4	0	37	37	30	root0+rootrep+rad0	0	0	38	38
43	4	18	23	23	17	26	37	qgcd+rootrep+rad0	21	14	0	0
43	4	18	23	23	26	17	37	qgcd+rootrep+rad0	21	14	0	0
43	4	18	23	20	17	26	6	qgcd+rootrep+rad0	21	14	0	0
