a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
3128	3680	5678	6680	6	1564	1840	-2839	-3340	1	0	0	0	0
3128	3772	6256	7544	6	34	41	-68	-82	1	0	0	0	0
3130	3620	5321	6154	6	3130	3620	-5321	-6154	1	0	0	0	0
3132	3393	4176	4524	6	36	39	-48	-52	1	0	0	0	0
3132	3888	4263	5292	6	1044	1296	-1421	-1764	1	0	0	0	0
3132	3888	7047	8748	6	116	144	-261	-324	1	0	0	0	0
3136	3584	5096	5824	6	56	64	-91	-104	1	0	0	0	0
3136	4608	4704	9408	6	98	144	-147	-294	0	0	0	0	0
3144	6288	6419	9432	6	24	48	-49	-72	0	0	0	0	0
3146	3276	3675	7098	6	3146	3276	-3675	-7098	0	0	0	0	0
3150	3885	6900	8510	6	630	777	-1380	-1702	1	0	0	0	0
3150	4455	5180	7326	6	3150	4455	-5180	-7326	1	0	0	0	0
3150	4725	5040	5250	6	30	45	-48	-50	0	0	0	0	0
3157	4279	4879	6613	6	3157	4279	-4879	-6613	1	0	0	0	0
3159	3591	5031	5719	6	3159	3591	-5031	-5719	1	0	0	0	0
3159	3861	6669	8151	6	81	99	-171	-209	1	0	0	0	0
3162	3213	3348	3402	6	1054	1071	-1116	-1134	1	0	0	0	0
3162	3813	6324	7626	6	34	41	-68	-82	1	0	0	0	0
3168	3300	3520	5280	6	72	75	-80	-120	0	0	0	0	0
3168	3432	4224	4576	6	36	39	-48	-52	1	0	0	0	0
3168	3696	5568	6496	6	198	231	-348	-406	1	0	0	0	0
3168	3840	6468	7840	6	792	960	-1617	-1960	1	0	0	0	0
3168	4332	4356	5346	6	528	722	-726	-891	0	0	0	0	0
3168	6336	6468	9504	6	24	48	-49	-72	0	0	0	0	0
3172	3536	4697	5236	6	3172	3536	-4697	-5236	1	0	0	0	0
3174	5175	5202	9936	6	1058	1725	-1734	-3312	0	0	0	0	0
3177	4626	6354	9252	6	353	514	-706	-1028	1	0	0	0	0
3180	3710	3960	4620	6	318	371	-396	-462	1	0	0	0	0
3180	4770	5088	5300	6	30	45	-48	-50	0	0	0	0	0
3180	4770	5230	7845	0	636	954	1046	1569	1	1	0	0	0
3185	3315	3675	3825	6	637	663	-735	-765	1	0	0	0	0
3186	3564	4779	5346	6	118	132	-177	-198	1	0	0	0	0
3188	4782	6078	9117	6	3188	4782	-6078	-9117	1	0	0	0	0
3190	3335	3740	3910	6	638	667	-748	-782	1	0	0	0	0
3192	3648	5187	5928	6	56	64	-91	-104	1	0	0	0	0
3192	3744	4256	4992	6	399	468	-532	-624	1	0	0	0	0
3192	3906	4256	5208	6	228	279	-304	-372	1	0	0	0	0
3192	3990	7392	9240	6	76	95	-176	-220	1	0	0	0	0
3192	6384	6517	9576	6	24	48	-49	-72	0	0	0	0	0
3196	3434	4136	4444	6	1598	1717	-2068	-2222	1	0	0	0	0
3196	3854	6392	7708	6	34	41	-68	-82	1	0	0	0	0
3198	3444	4173	4494	6	1066	1148	-1391	-1498	1	0	0	0	0
3200	3528	3610	4840	6	1600	1764	-1805	-2420	0	0	0	0	0
3200	4640	7200	7250	6	320	464	-720	-725	0	0	0	0	0
3204	3471	4272	4628	6	36	39	-48	-52	1	0	0	0	0
3206	3794	5954	7046	6	1603	1897	-2977	-3523	1	0	0	0	0
3210	4815	5136	5350	6	30	45	-48	-50	0	0	0	0	0
3212	3828	6132	7308	6	803	957	-1533	-1827	1	0	0	0	0
3216	4824	5216	7824	6	402	603	-652	-978	1	0	0	0	0
3216	4896	5896	8976	6	402	612	-737	-1122	1	0	0	0	0
3216	6432	6566	9648	6	24	48	-49	-72	0	0	0	0	0
3219	3441	4089	4371	6	1073	1147	-1363	-1457	1	0	0	0	0
3220	3780	5796	6804	6	115	135	-207	-243	1	0	0	0	0
3220	6860	7220	7360	6	161	343	-361	-368	0	0	0	0	0
3223	3377	3809	3991	6	3223	3377	-3809	-3991	1	0	0	0	0
3224	3596	4784	5336	6	806	899	-1196	-1334	1	0	0	0	0
3230	3895	6460	7790	6	34	41	-68	-82	1	0	0	0	0
3231	4338	6462	8676	0	359	482	718	964	1	1	0	0	0
3234	3630	3780	5775	6	1078	1210	-1260	-1925	0	0	0	0	0
3234	4752	4851	9702	6	98	144	-147	-294	0	0	0	0	0
3237	3783	5727	6693	6	1079	1261	-1909	-2231	1	0	0	0	0
3240	3375	3600	5400	6	72	75	-80	-120	0	0	0	0	0
