a	b	c	d	e1	e2	e3	e4	L	U	v
1	3	8	12	14	0	5	1	2	1	13
1	3	11	13	11	0	6	16	5	2	9
1	3	12	8	14	0	5	1	2	1	13
1	3	13	11	11	0	6	16	5	2	9
1	4	6	14	11	0	6	16	5	2	9
1	4	10	12	6	0	11	16	3	15	8
1	4	12	10	6	0	11	16	3	15	8
1	4	14	6	11	0	6	16	5	2	9
1	6	4	14	11	0	6	16	5	2	9
1	6	10	15	5	0	14	1	4	4	1
1	6	14	4	11	0	6	16	5	2	9
1	6	15	10	5	0	14	1	4	4	1
1	8	3	12	14	0	5	1	2	1	13
1	8	12	3	14	0	5	1	2	1	13
1	8	12	14	14	0	5	1	2	1	13
1	8	14	12	14	0	5	1	2	1	13
1	10	4	12	6	0	11	16	3	15	8
1	10	6	15	5	0	14	1	4	4	1
1	10	11	15	5	0	14	1	4	4	1
1	10	12	4	6	0	11	16	3	15	8
1	10	12	13	6	0	11	16	3	15	8
1	10	13	12	6	0	11	16	3	15	8
1	10	15	6	5	0	14	1	4	4	1
1	10	15	11	5	0	14	1	4	4	1
1	11	3	13	11	0	6	16	5	2	9
1	11	10	15	5	0	14	1	4	4	1
1	11	13	3	11	0	6	16	5	2	9
1	11	15	10	5	0	14	1	4	4	1
1	12	3	8	14	0	5	1	2	1	13
1	12	4	10	6	0	11	16	3	15	8
1	12	8	3	14	0	5	1	2	1	13
1	12	8	14	14	0	5	1	2	1	13
1	12	10	4	6	0	11	16	3	15	8
1	12	10	13	6	0	11	16	3	15	8
1	12	13	10	6	0	11	16	3	15	8
1	12	14	8	14	0	5	1	2	1	13
1	13	3	11	11	0	6	16	5	2	9
1	13	10	12	6	0	11	16	3	15	8
1	13	11	3	11	0	6	16	5	2	9
1	13	12	10	6	0	11	16	3	15	8
1	14	4	6	11	0	6	16	5	2	9
1	14	6	4	11	0	6	16	5	2	9
1	14	8	12	14	0	5	1	2	1	13
1	14	12	8	14	0	5	1	2	1	13
1	15	6	10	5	0	14	1	4	4	1
1	15	10	6	5	0	14	1	4	4	1
1	15	10	11	5	0	14	1	4	4	1
1	15	11	10	5	0	14	1	4	4	1
