a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
5004	5421	6672	7228	6	36	39	-48	-52	1	0	0	0	0
5005	5495	7007	7693	6	715	785	-1001	-1099	1	0	0	0	0
5010	7515	8016	8350	6	30	45	-48	-50	0	0	0	0	0
5016	5184	5643	5832	6	1672	1728	-1881	-1944	1	0	0	0	0
5016	6138	6688	8184	6	228	279	-304	-372	1	0	0	0	0
5022	5778	8370	9630	6	279	321	-465	-535	1	0	0	0	0
5026	5124	5385	5490	6	5026	5124	-5385	-5490	1	0	0	0	0
5032	5143	5440	5560	6	5032	5143	-5440	-5560	1	0	0	0	0
5038	6116	6641	8062	6	5038	6116	-6641	-8062	1	0	0	0	0
5040	5250	5600	8400	6	72	75	-80	-120	0	0	0	0	0
5040	5460	6720	7280	6	36	39	-48	-52	1	0	0	0	0
5040	5760	8190	9360	6	56	64	-91	-104	1	0	0	0	0
5040	7560	8064	8400	6	30	45	-48	-50	0	0	0	0	0
5044	5681	7760	8740	6	5044	5681	-7760	-8740	1	0	0	0	0
5060	5704	7810	8804	6	2530	2852	-3905	-4402	1	0	0	0	0
5070	5334	6720	9525	6	1690	1778	-2240	-3175	0	0	0	0	0
5070	7605	8112	8450	6	30	45	-48	-50	0	0	0	0	0
5074	5676	7611	8514	6	118	132	-177	-198	1	0	0	0	0
5076	5499	6768	7332	6	36	39	-48	-52	1	0	0	0	0
5084	5301	5904	6156	6	5084	5301	-5904	-6156	1	0	0	0	0
5088	5936	6336	7392	6	318	371	-396	-462	1	0	0	0	0
5092	5408	5548	9782	6	2546	2704	-2774	-4891	0	0	0	0	0
5092	5561	6992	7636	6	5092	5561	-6992	-7636	1	0	0	0	0
5096	5304	5880	6120	6	637	663	-735	-765	1	0	0	0	0
5096	5824	5971	6824	6	5096	5824	-5971	-6824	1	0	0	0	0
5096	5824	8281	9464	6	56	64	-91	-104	1	0	0	0	0
5100	7650	8160	8500	6	30	45	-48	-50	0	0	0	0	0
5100	8228	8619	9792	6	300	484	-507	-576	0	0	0	0	0
5103	5427	6363	6767	6	5103	5427	-6363	-6767	1	0	0	0	0
5104	5336	5984	6256	6	638	667	-748	-782	1	0	0	0	0
5104	5632	7279	8032	6	5104	5632	-7279	-8032	1	0	0	0	0
5104	6116	7076	8479	6	5104	6116	-7076	-8479	1	0	0	0	0
5106	5883	8556	9858	6	1702	1961	-2852	-3286	1	0	0	0	0
5112	5325	5680	8520	6	72	75	-80	-120	0	0	0	0	0
5112	5538	6816	7384	6	36	39	-48	-52	1	0	0	0	0
5130	7695	8208	8550	6	30	45	-48	-50	0	0	0	0	0
5134	5916	8607	9918	6	5134	5916	-8607	-9918	1	0	0	0	0
5136	6424	7704	9636	6	1284	1606	-1926	-2409	1	0	0	0	0
5148	5577	6864	7436	6	36	39	-48	-52	1	0	0	0	0
5148	5772	7788	8732	6	1287	1443	-1947	-2183	1	0	0	0	0
5151	5757	7701	8607	6	1717	1919	-2567	-2869	1	0	0	0	0
5152	5348	5888	6112	6	1288	1337	-1472	-1528	1	0	0	0	0
5152	5888	8372	9568	6	56	64	-91	-104	1	0	0	0	0
