a	b	c	d	e1	e2	e3	e4	L	U	v
1	2	6	21	17	6	6	16	2	3	2
1	2	8	10	14	1	13	25	11	10	24
1	2	8	25	12	18	16	9	7	16	26
1	2	9	14	3	29	12	16	7	27	2
1	2	10	8	14	1	13	25	11	10	24
1	2	13	23	21	19	18	19	6	16	29
1	2	14	9	3	29	12	16	7	27	2
1	2	21	6	17	6	6	16	2	3	2
1	2	23	13	21	19	18	19	6	16	29
1	2	23	24	25	16	12	20	2	16	29
1	2	24	23	25	16	12	20	2	16	29
1	2	25	8	12	18	16	9	7	16	26
1	3	6	18	29	21	3	10	6	27	18
1	3	10	22	5	30	14	19	9	1	3
1	3	11	14	17	18	11	9	9	25	11
1	3	14	11	17	18	11	9	9	25	11
1	3	16	26	12	12	3	2	1	24	16
1	3	18	6	29	21	3	10	6	27	18
1	3	20	29	11	7	13	16	6	18	29
1	3	22	10	5	30	14	19	9	1	3
1	3	26	16	12	12	3	2	1	24	16
1	3	29	20	11	7	13	16	6	18	29
1	4	5	16	19	2	22	7	10	18	6
1	4	7	8	6	20	2	18	3	8	13
1	4	8	7	6	20	2	18	3	8	13
1	4	8	9	7	8	21	19	13	5	12
1	4	9	8	7	8	21	19	13	5	12
1	4	10	14	3	3	5	4	1	6	28
1	4	14	10	3	3	5	4	1	6	28
1	4	16	5	19	2	22	7	10	18	6
1	4	16	28	3	5	8	5	12	4	22
1	4	18	19	20	6	3	16	2	21	5
1	4	19	18	20	6	3	16	2	21	5
1	4	28	16	3	5	8	5	12	4	22
1	5	4	16	19	2	22	7	10	18	6
1	5	7	14	23	3	17	5	13	21	5
1	5	9	10	21	28	16	8	4	28	30
1	5	10	9	21	28	16	8	4	28	30
1	5	11	17	2	22	15	25	4	27	2
1	5	14	7	23	3	17	5	13	21	5
1	5	16	4	19	2	22	7	10	18	6
1	5	17	11	2	22	15	25	4	27	2
1	5	23	24	15	23	10	1	3	6	28
1	5	24	23	15	23	10	1	3	6	28
1	6	2	21	17	6	6	16	2	3	2
1	6	3	18	29	21	3	10	6	27	18
1	6	18	3	29	21	3	10	6	27	18
1	6	21	2	17	6	6	16	2	3	2
1	7	4	8	6	20	2	18	3	8	13
1	7	5	14	23	3	17	5	13	21	5
1	7	8	4	6	20	2	18	3	8	13
1	7	14	5	23	3	17	5	13	21	5
1	7	16	20	24	27	6	2	12	30	16
1	7	20	16	24	27	6	2	12	30	16
1	7	25	28	2	19	22	4	2	28	30
1	7	28	25	2	19	22	4	2	28	30
1	8	2	10	14	1	13	25	11	10	24
1	8	2	25	12	18	16	9	7	16	26
1	8	4	7	6	20	2	18	3	8	13
1	8	4	9	7	8	21	19	13	5	12
1	8	7	4	6	20	2	18	3	8	13
1	8	9	4	7	8	21	19	13	5	12
1	8	10	2	14	1	13	25	11	10	24
1	8	18	19	6	12	9	2	8	12	25
1	8	19	18	6	12	9	2	8	12	25
1	8	20	28	9	24	24	8	15	11	10
1	8	25	2	12	18	16	9	7	16	26
1	8	28	20	9	24	24	8	15	11	10
1	9	2	14	3	29	12	16	7	27	2
1	9	4	8	7	8	21	19	13	5	12
1	9	5	10	21	28	16	8	4	28	30
1	9	8	4	7	8	21	19	13	5	12
1	9	10	5	21	28	16	8	4	28	30
1	9	14	2	3	29	12	16	7	27	2
1	9	20	25	22	13	17	25	15	12	25
1	9	25	20	22	13	17	25	15	12	25
1	10	2	8	14	1	13	25	11	10	24
1	10	3	22	5	30	14	19	9	1	3
1	10	4	14	3	3	5	4	1	6	28
1	10	5	9	21	28	16	8	4	28	30
1	10	8	2	14	1	13	25	11	10	24
1	10	9	5	21	28	16	8	4	28	30
1	10	13	22	10	10	3	2	13	25	24
1	10	14	4	3	3	5	4	1	6	28
1	10	14	18	1	29	17	19	5	15	8
1	10	17	22	6	26	18	28	4	21	5
1	10	17	23	20	30	27	16	6	22	20
1	10	18	14	1	29	17	19	5	15	8
1	10	22	3	5	30	14	19	9	1	3
1	10	22	13	10	10	3	2	13	25	24
1	10	22	17	6	26	18	28	4	21	5
1	10	23	17	20	30	27	16	6	22	20
1	10	23	24	28	17	25	4	1	18	23
1	10	23	27	26	28	10	7	7	8	30
1	10	24	23	28	17	25	4	1	18	23
1	10	27	23	26	28	10	7	7	8	30
1	11	3	14	17	18	11	9	9	25	11
1	11	5	17	2	22	15	25	4	27	2
1	11	12	18	1	23	20	28	15	17	12
1	11	14	3	17	18	11	9	9	25	11
1	11	17	5	2	22	15	25	4	27	2
1	11	17	25	13	17	10	5	13	30	16
1	11	18	12	1	23	20	28	15	17	12
1	11	19	23	20	24	9	4	6	30	23
1	11	23	19	20	24	9	4	6	30	23
