T_key	T_mod13	component	radicand_valuations	radicand_units_mod13
38026	1	exceptional_plus1	0,0,0,2	1,3,9,10
38364	1	exceptional_plus1	0,0,0,2	1,3,9,4
38533	1	exceptional_plus1	0,0,0,2	1,3,9,1
39378	1	exceptional_plus1	0,0,0,2	1,3,9,12
39547	1	exceptional_plus1	0,0,0,2	1,3,9,9
39885	1	exceptional_plus1	0,0,0,2	1,3,9,3
40223	1	exceptional_plus1	0,0,0,2	1,3,9,10
40561	1	exceptional_plus1	0,0,0,2	1,3,9,4
40730	1	exceptional_plus1	0,0,0,2	1,3,9,1
41575	1	exceptional_plus1	0,0,0,2	1,3,9,12
41744	1	exceptional_plus1	0,0,0,2	1,3,9,9
42082	1	exceptional_plus1	0,0,0,2	1,3,9,3
42420	1	exceptional_plus1	0,0,0,2	1,3,9,10
42758	1	exceptional_plus1	0,0,0,2	1,3,9,4
42927	1	exceptional_plus1	0,0,0,2	1,3,9,1
43772	1	exceptional_plus1	0,0,0,2	1,3,9,12
43941	1	exceptional_plus1	0,0,0,2	1,3,9,9
44279	1	exceptional_plus1	0,0,0,2	1,3,9,3
44448	1	exceptional_plus1	0,0,0,4	1,3,9,1
44617	1	exceptional_plus1	0,0,0,2	1,3,9,10
44955	1	exceptional_plus1	0,0,0,2	1,3,9,4
45124	1	exceptional_plus1	0,0,0,2	1,3,9,1
45969	1	exceptional_plus1	0,0,0,2	1,3,9,12
46138	1	exceptional_plus1	0,0,0,2	1,3,9,9
46476	1	exceptional_plus1	0,0,0,2	1,3,9,3
46814	1	exceptional_plus1	0,0,0,2	1,3,9,10
47152	1	exceptional_plus1	0,0,0,2	1,3,9,4
47321	1	exceptional_plus1	0,0,0,2	1,3,9,1
48166	1	exceptional_plus1	0,0,0,2	1,3,9,12
48335	1	exceptional_plus1	0,0,0,2	1,3,9,9
48673	1	exceptional_plus1	0,0,0,2	1,3,9,3
49011	1	exceptional_plus1	0,0,0,2	1,3,9,10
49349	1	exceptional_plus1	0,0,0,2	1,3,9,4
49518	1	exceptional_plus1	0,0,0,2	1,3,9,1
50363	1	exceptional_plus1	0,0,0,2	1,3,9,12
50532	1	exceptional_plus1	0,0,0,2	1,3,9,9
50870	1	exceptional_plus1	0,0,0,2	1,3,9,3
51208	1	exceptional_plus1	0,0,0,2	1,3,9,10
51546	1	exceptional_plus1	0,0,0,2	1,3,9,4
51715	1	exceptional_plus1	0,0,0,2	1,3,9,1
52560	1	exceptional_plus1	0,0,0,2	1,3,9,12
52729	1	exceptional_plus1	0,0,0,2	1,3,9,9
53067	1	exceptional_plus1	0,0,0,2	1,3,9,3
53405	1	exceptional_plus1	0,0,0,2	1,3,9,10
53743	1	exceptional_plus1	0,0,0,2	1,3,9,4
53912	1	exceptional_plus1	0,0,0,2	1,3,9,1
54757	1	exceptional_plus1	0,0,0,2	1,3,9,12
54926	1	exceptional_plus1	0,0,0,2	1,3,9,9
55264	1	exceptional_plus1	0,0,0,2	1,3,9,3
55602	1	exceptional_plus1	0,0,0,2	1,3,9,10
55940	1	exceptional_plus1	0,0,0,2	1,3,9,4
56109	1	exceptional_plus1	0,0,0,2	1,3,9,1
56954	1	exceptional_plus1	0,0,0,2	1,3,9,12
57123	1	exceptional_plus1	0,0,0,2	1,3,9,9
57461	1	exceptional_plus1	0,0,0,2	1,3,9,3
57799	1	exceptional_plus1	0,0,0,2	1,3,9,10
58137	1	exceptional_plus1	0,0,0,2	1,3,9,4
58306	1	exceptional_plus1	0,0,0,2	1,3,9,1
59151	1	exceptional_plus1	0,0,0,2	1,3,9,12
59320	1	exceptional_plus1	0,0,0,2	1,3,9,9
59658	1	exceptional_plus1	0,0,0,2	1,3,9,3
59996	1	exceptional_plus1	0,0,0,2	1,3,9,10
60334	1	exceptional_plus1	0,0,0,2	1,3,9,4
60503	1	exceptional_plus1	0,0,0,2	1,3,9,1
61348	1	exceptional_plus1	0,0,0,2	1,3,9,12
61517	1	exceptional_plus1	0,0,0,2	1,3,9,9
61855	1	exceptional_plus1	0,0,0,2	1,3,9,3
62193	1	exceptional_plus1	0,0,0,2	1,3,9,10
62531	1	exceptional_plus1	0,0,0,2	1,3,9,4
62700	1	exceptional_plus1	0,0,0,2	1,3,9,1
63545	1	exceptional_plus1	0,0,0,2	1,3,9,12
63714	1	exceptional_plus1	0,0,0,2	1,3,9,9
64052	1	exceptional_plus1	0,0,0,2	1,3,9,3
64390	1	exceptional_plus1	0,0,0,2	1,3,9,10
64728	1	exceptional_plus1	0,0,0,2	1,3,9,4
64897	1	exceptional_plus1	0,0,0,2	1,3,9,1
65742	1	exceptional_plus1	0,0,0,2	1,3,9,12
65911	1	exceptional_plus1	0,0,0,2	1,3,9,9
66249	1	exceptional_plus1	0,0,0,2	1,3,9,3
66587	1	exceptional_plus1	0,0,0,2	1,3,9,10
66925	1	exceptional_plus1	0,0,0,2	1,3,9,4
67094	1	exceptional_plus1	0,0,0,2	1,3,9,1
67939	1	exceptional_plus1	0,0,0,2	1,3,9,12
68108	1	exceptional_plus1	0,0,0,2	1,3,9,9
68446	1	exceptional_plus1	0,0,0,2	1,3,9,3
68784	1	exceptional_plus1	0,0,0,2	1,3,9,10
69122	1	exceptional_plus1	0,0,0,2	1,3,9,4
69291	1	exceptional_plus1	0,0,0,2	1,3,9,1
70136	1	exceptional_plus1	0,0,0,2	1,3,9,12
70305	1	exceptional_plus1	0,0,0,2	1,3,9,9
70643	1	exceptional_plus1	0,0,0,2	1,3,9,3
70981	1	exceptional_plus1	0,0,0,2	1,3,9,10
71319	1	exceptional_plus1	0,0,0,2	1,3,9,4
71488	1	exceptional_plus1	0,0,0,2	1,3,9,1
72333	1	exceptional_plus1	0,0,0,2	1,3,9,12
72502	1	exceptional_plus1	0,0,0,2	1,3,9,9
72840	1	exceptional_plus1	0,0,0,2	1,3,9,3
73178	1	exceptional_plus1	0,0,0,2	1,3,9,10
73516	1	exceptional_plus1	0,0,0,2	1,3,9,4
73685	1	exceptional_plus1	0,0,0,2	1,3,9,1
74530	1	exceptional_plus1	0,0,0,2	1,3,9,12
74699	1	exceptional_plus1	0,0,0,2	1,3,9,9
75037	1	exceptional_plus1	0,0,0,2	1,3,9,3
75375	1	exceptional_plus1	0,0,0,2	1,3,9,10
75713	1	exceptional_plus1	0,0,0,2	1,3,9,4
75882	1	exceptional_plus1	0,0,0,2	1,3,9,1
76727	1	exceptional_plus1	0,0,0,2	1,3,9,12
76896	1	exceptional_plus1	0,0,0,2	1,3,9,9
77234	1	exceptional_plus1	0,0,0,2	1,3,9,3
77572	1	exceptional_plus1	0,0,0,2	1,3,9,10
77910	1	exceptional_plus1	0,0,0,2	1,3,9,4
78079	1	exceptional_plus1	0,0,0,2	1,3,9,1
78924	1	exceptional_plus1	0,0,0,2	1,3,9,12
79093	1	exceptional_plus1	0,0,0,2	1,3,9,9
79431	1	exceptional_plus1	0,0,0,2	1,3,9,3
79769	1	exceptional_plus1	0,0,0,2	1,3,9,10
80107	1	exceptional_plus1	0,0,0,2	1,3,9,4
80276	1	exceptional_plus1	0,0,0,2	1,3,9,1
81121	1	exceptional_plus1	0,0,0,2	1,3,9,12
81290	1	exceptional_plus1	0,0,0,2	1,3,9,9
81628	1	exceptional_plus1	0,0,0,2	1,3,9,3
81966	1	exceptional_plus1	0,0,0,2	1,3,9,10
82304	1	exceptional_plus1	0,0,0,2	1,3,9,4
82473	1	exceptional_plus1	0,0,0,2	1,3,9,1
83318	1	exceptional_plus1	0,0,0,2	1,3,9,12
83487	1	exceptional_plus1	0,0,0,2	1,3,9,9
83825	1	exceptional_plus1	0,0,0,2	1,3,9,3
84163	1	exceptional_plus1	0,0,0,2	1,3,9,10
84501	1	exceptional_plus1	0,0,0,2	1,3,9,4
84670	1	exceptional_plus1	0,0,0,2	1,3,9,1
85515	1	exceptional_plus1	0,0,0,2	1,3,9,12
85684	1	exceptional_plus1	0,0,0,2	1,3,9,9
86022	1	exceptional_plus1	0,0,0,2	1,3,9,3
86360	1	exceptional_plus1	0,0,0,2	1,3,9,10
86698	1	exceptional_plus1	0,0,0,2	1,3,9,4
86867	1	exceptional_plus1	0,0,0,2	1,3,9,1
87712	1	exceptional_plus1	0,0,0,2	1,3,9,12
87881	1	exceptional_plus1	0,0,0,2	1,3,9,9
88219	1	exceptional_plus1	0,0,0,2	1,3,9,3
88557	1	exceptional_plus1	0,0,0,2	1,3,9,10
88895	1	exceptional_plus1	0,0,0,2	1,3,9,4
89064	1	exceptional_plus1	0,0,0,2	1,3,9,1
89909	1	exceptional_plus1	0,0,0,2	1,3,9,12
90078	1	exceptional_plus1	0,0,0,2	1,3,9,9
90416	1	exceptional_plus1	0,0,0,2	1,3,9,3
90754	1	exceptional_plus1	0,0,0,2	1,3,9,10
91092	1	exceptional_plus1	0,0,0,2	1,3,9,4
91261	1	exceptional_plus1	0,0,0,2	1,3,9,1
92106	1	exceptional_plus1	0,0,0,2	1,3,9,12
92275	1	exceptional_plus1	0,0,0,2	1,3,9,9
92613	1	exceptional_plus1	0,0,0,2	1,3,9,3
92951	1	exceptional_plus1	0,0,0,2	1,3,9,10
93289	1	exceptional_plus1	0,0,0,2	1,3,9,4
93458	1	exceptional_plus1	0,0,0,2	1,3,9,1
94303	1	exceptional_plus1	0,0,0,2	1,3,9,12
94472	1	exceptional_plus1	0,0,0,2	1,3,9,9
94810	1	exceptional_plus1	0,0,0,2	1,3,9,3
95148	1	exceptional_plus1	0,0,0,2	1,3,9,10
95486	1	exceptional_plus1	0,0,0,2	1,3,9,4
95655	1	exceptional_plus1	0,0,0,2	1,3,9,1
96500	1	exceptional_plus1	0,0,0,2	1,3,9,12
96669	1	exceptional_plus1	0,0,0,2	1,3,9,9
97007	1	exceptional_plus1	0,0,0,2	1,3,9,3
97345	1	exceptional_plus1	0,0,0,2	1,3,9,10
97683	1	exceptional_plus1	0,0,0,2	1,3,9,4
97852	1	exceptional_plus1	0,0,0,2	1,3,9,1
98697	1	exceptional_plus1	0,0,0,2	1,3,9,12
98866	1	exceptional_plus1	0,0,0,2	1,3,9,9
99204	1	exceptional_plus1	0,0,0,2	1,3,9,3
99542	1	exceptional_plus1	0,0,0,2	1,3,9,10
99880	1	exceptional_plus1	0,0,0,2	1,3,9,4
100049	1	exceptional_plus1	0,0,0,2	1,3,9,1
100894	1	exceptional_plus1	0,0,0,2	1,3,9,12
101063	1	exceptional_plus1	0,0,0,2	1,3,9,9
101401	1	exceptional_plus1	0,0,0,2	1,3,9,3
101739	1	exceptional_plus1	0,0,0,2	1,3,9,10
102077	1	exceptional_plus1	0,0,0,2	1,3,9,4
102246	1	exceptional_plus1	0,0,0,2	1,3,9,1
103091	1	exceptional_plus1	0,0,0,2	1,3,9,12
103260	1	exceptional_plus1	0,0,0,2	1,3,9,9
103598	1	exceptional_plus1	0,0,0,2	1,3,9,3
103936	1	exceptional_plus1	0,0,0,2	1,3,9,10
104274	1	exceptional_plus1	0,0,0,2	1,3,9,4
104443	1	exceptional_plus1	0,0,0,2	1,3,9,1
105288	1	exceptional_plus1	0,0,0,2	1,3,9,12
105457	1	exceptional_plus1	0,0,0,2	1,3,9,9
105795	1	exceptional_plus1	0,0,0,2	1,3,9,3
106133	1	exceptional_plus1	0,0,0,2	1,3,9,10
106471	1	exceptional_plus1	0,0,0,2	1,3,9,4
106640	1	exceptional_plus1	0,0,0,2	1,3,9,1
107485	1	exceptional_plus1	0,0,0,2	1,3,9,12
107654	1	exceptional_plus1	0,0,0,2	1,3,9,9
107992	1	exceptional_plus1	0,0,0,2	1,3,9,3
108330	1	exceptional_plus1	0,0,0,2	1,3,9,10
108668	1	exceptional_plus1	0,0,0,2	1,3,9,4
108837	1	exceptional_plus1	0,0,0,2	1,3,9,1
109682	1	exceptional_plus1	0,0,0,2	1,3,9,12
109851	1	exceptional_plus1	0,0,0,2	1,3,9,9
110189	1	exceptional_plus1	0,0,0,2	1,3,9,3
110527	1	exceptional_plus1	0,0,0,2	1,3,9,10
110865	1	exceptional_plus1	0,0,0,2	1,3,9,4
111034	1	exceptional_plus1	0,0,0,2	1,3,9,1
111879	1	exceptional_plus1	0,0,0,2	1,3,9,12
112048	1	exceptional_plus1	0,0,0,2	1,3,9,9
112386	1	exceptional_plus1	0,0,0,2	1,3,9,3
112724	1	exceptional_plus1	0,0,0,2	1,3,9,10
113062	1	exceptional_plus1	0,0,0,2	1,3,9,4
113231	1	exceptional_plus1	0,0,0,2	1,3,9,1
114076	1	exceptional_plus1	0,0,0,2	1,3,9,12
114245	1	exceptional_plus1	0,0,0,2	1,3,9,9
114583	1	exceptional_plus1	0,0,0,2	1,3,9,3
114921	1	exceptional_plus1	0,0,0,2	1,3,9,10
115259	1	exceptional_plus1	0,0,0,2	1,3,9,4
115428	1	exceptional_plus1	0,0,0,2	1,3,9,1
116273	1	exceptional_plus1	0,0,0,2	1,3,9,12
116442	1	exceptional_plus1	0,0,0,2	1,3,9,9
116780	1	exceptional_plus1	0,0,0,2	1,3,9,3
117118	1	exceptional_plus1	0,0,0,2	1,3,9,10
117456	1	exceptional_plus1	0,0,0,2	1,3,9,4
117625	1	exceptional_plus1	0,0,0,2	1,3,9,1
118470	1	exceptional_plus1	0,0,0,2	1,3,9,12
118639	1	exceptional_plus1	0,0,0,2	1,3,9,9
118977	1	exceptional_plus1	0,0,0,2	1,3,9,3
119315	1	exceptional_plus1	0,0,0,2	1,3,9,10
119653	1	exceptional_plus1	0,0,0,2	1,3,9,4
119822	1	exceptional_plus1	0,0,0,2	1,3,9,1
120667	1	exceptional_plus1	0,0,0,2	1,3,9,12
120836	1	exceptional_plus1	0,0,0,2	1,3,9,9
121174	1	exceptional_plus1	0,0,0,2	1,3,9,3
121512	1	exceptional_plus1	0,0,0,2	1,3,9,10
121850	1	exceptional_plus1	0,0,0,2	1,3,9,4
122019	1	exceptional_plus1	0,0,0,2	1,3,9,1
122864	1	exceptional_plus1	0,0,0,2	1,3,9,12
123033	1	exceptional_plus1	0,0,0,2	1,3,9,9
123371	1	exceptional_plus1	0,0,0,2	1,3,9,3
123709	1	exceptional_plus1	0,0,0,2	1,3,9,10
124047	1	exceptional_plus1	0,0,0,2	1,3,9,4
124216	1	exceptional_plus1	0,0,0,2	1,3,9,1
