p	u	t	w	a	b	c	d	flags	r0	r1	r2	r3
11	0	0	0	0	0	0	5	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
11	0	0	0	0	0	0	6	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	1	0	1	1	1	t0+qgcd+root0+rootrep+rad0	0	0	4	4
11	1	0	1	0	1	1	10	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	1	0	1	10	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	1	0	1	10	10	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	1	0	10	1	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	1	0	10	1	10	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	1	0	10	10	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	1	0	10	10	10	t0+qgcd+root0+rootrep+rad0	0	0	4	4
11	1	0	6	0	9	9	4	t0+qgcd+root0+rootrep+rad0	0	0	1	1
11	1	0	6	0	9	2	4	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	6	0	9	2	7	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	6	0	2	9	4	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	6	0	2	9	7	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	1	0	6	0	2	2	7	t0+qgcd+root0+rootrep+rad0	0	0	1	1
11	1	7	5	0	1	5	5	qgcd+root0+rootrep+rad0	0	0	3	4
11	1	7	5	0	1	5	6	qgcd+root0+rootrep+rad0	0	0	9	0
11	1	7	5	0	1	6	5	qgcd+root0+rootrep+rad0	0	0	9	0
11	1	7	5	0	10	5	6	qgcd+root0+rootrep+rad0	0	0	9	0
11	1	7	5	0	10	6	5	qgcd+root0+rootrep+rad0	0	0	9	0
11	1	7	5	0	10	6	6	qgcd+root0+rootrep+rad0	0	0	3	4
11	2	9	4	1	10	9	2	rootrep+rad0	4	0	0	0
11	2	9	4	1	10	2	9	rootrep+rad0	4	0	0	0
11	2	9	4	10	1	9	2	rootrep+rad0	4	0	0	0
11	2	9	4	10	1	2	9	rootrep+rad0	4	0	0	0
11	3	0	6	0	5	5	2	t0+qgcd+root0+rootrep+rad0	0	0	1	1
11	3	0	6	0	5	6	9	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	3	0	6	0	5	6	2	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	3	0	6	0	6	5	9	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	3	0	6	0	6	5	2	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	3	0	6	0	6	6	9	t0+qgcd+root0+rootrep+rad0	0	0	1	1
11	3	4	9	1	10	4	7	qrep+rootrep+rad0	5	0	0	0
11	3	4	9	1	10	7	4	qrep+rootrep+rad0	5	0	0	0
11	3	4	9	10	1	4	7	qrep+rootrep+rad0	5	0	0	0
11	3	4	9	10	1	7	4	qrep+rootrep+rad0	5	0	0	0
11	4	0	9	0	4	4	4	t0+qgcd+root0+rootrep+rad0	0	0	1	1
11	4	0	9	0	4	4	7	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	4	0	9	0	4	7	4	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	4	0	9	0	4	7	7	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	4	0	9	0	7	4	4	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	4	0	9	0	7	4	7	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	4	0	9	0	7	7	4	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	4	0	9	0	7	7	7	t0+qgcd+root0+rootrep+rad0	0	0	1	1
11	4	0	10	0	9	9	8	t0+qgcd+root0+rootrep+rad0	0	0	3	3
11	4	0	10	0	9	2	3	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	4	0	10	0	9	2	8	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	4	0	10	0	2	9	3	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	4	0	10	0	2	9	8	t0+qgcd+root0+rootrep+rad0	0	0	0	0
11	4	0	10	0	2	2	3	t0+qgcd+root0+rootrep+rad0	0	0	3	3
11	4	5	10	5	5	9	3	qgcd+rootrep	4	1	1	4
