u	t	w	source
57	211410	145242	target_22224_direct_contact_deep13_padic_tangent_p13
902	228310	329452	target_22224_direct_contact_deep13_padic_tangent_p13
1230	234389	289686	target_22224_direct_contact_deep13_padic_tangent_p13
4282	291516	176507	target_22224_direct_contact_deep13_padic_tangent_p13
4620	50015	144735	target_22224_direct_contact_deep13_padic_tangent_p13
6479	221212	169916	target_22224_direct_contact_deep13_padic_tangent_p13
7145	17393	70493	target_22224_direct_contact_deep13_padic_tangent_p13
10058	134023	95426	target_22224_direct_contact_deep13_padic_tangent_p13
11887	164597	70206	target_22224_direct_contact_deep13_padic_tangent_p13
19999	118122	258979	target_22224_direct_contact_deep13_padic_tangent_p13
25069	127248	300891	target_22224_direct_contact_deep13_padic_tangent_p13
28618	40044	59559	target_22224_direct_contact_deep13_padic_tangent_p13
29463	56944	243769	target_22224_direct_contact_deep13_padic_tangent_p13
29791	63023	146881	target_22224_direct_contact_deep13_padic_tangent_p13
32843	120150	90824	target_22224_direct_contact_deep13_padic_tangent_p13
33181	249942	59052	target_22224_direct_contact_deep13_padic_tangent_p13
35040	49846	84233	target_22224_direct_contact_deep13_padic_tangent_p13
35706	217320	298981	target_22224_direct_contact_deep13_padic_tangent_p13
38619	333950	181109	target_22224_direct_contact_deep13_padic_tangent_p13
40448	364524	355816	target_22224_direct_contact_deep13_padic_tangent_p13
48560	318049	173296	target_22224_direct_contact_deep13_padic_tangent_p13
53630	327175	215208	target_22224_direct_contact_deep13_padic_tangent_p13
57179	239971	345169	target_22224_direct_contact_deep13_padic_tangent_p13
58024	256871	158086	target_22224_direct_contact_deep13_padic_tangent_p13
58352	262950	4076	target_22224_direct_contact_deep13_padic_tangent_p13
61404	320077	5141	target_22224_direct_contact_deep13_padic_tangent_p13
61742	78576	344662	target_22224_direct_contact_deep13_padic_tangent_p13
63601	249773	369843	target_22224_direct_contact_deep13_padic_tangent_p13
64267	45954	156176	target_22224_direct_contact_deep13_padic_tangent_p13
67180	162584	266792	target_22224_direct_contact_deep13_padic_tangent_p13
69009	193158	270133	target_22224_direct_contact_deep13_padic_tangent_p13
77121	146683	87613	target_22224_direct_contact_deep13_padic_tangent_p13
82191	155809	129525	target_22224_direct_contact_deep13_padic_tangent_p13
85740	68605	259486	target_22224_direct_contact_deep13_padic_tangent_p13
86585	85505	72403	target_22224_direct_contact_deep13_padic_tangent_p13
86913	91584	232564	target_22224_direct_contact_deep13_padic_tangent_p13
89965	148711	290751	target_22224_direct_contact_deep13_padic_tangent_p13
90303	278503	258979	target_22224_direct_contact_deep13_padic_tangent_p13
92162	78407	284160	target_22224_direct_contact_deep13_padic_tangent_p13
92828	245881	13371	target_22224_direct_contact_deep13_padic_tangent_p13
95741	362511	352475	target_22224_direct_contact_deep13_padic_tangent_p13
97570	21792	184450	target_22224_direct_contact_deep13_padic_tangent_p13
105682	346610	1930	target_22224_direct_contact_deep13_padic_tangent_p13
110752	355736	43842	target_22224_direct_contact_deep13_padic_tangent_p13
114301	268532	173803	target_22224_direct_contact_deep13_padic_tangent_p13
