family	p	status	finite_cover	finite_smooth	finite_live	finite_singular	infinity_full	live_T	J_orders
F1	211	LIVE	25	24	15	1	0	[ 0, 20, 38, 54, 55, 62, 75, 99, 112, 136, 149, 156, 157, 173, 191 ]	[ -1, 48960, 41472, 43968, 45696, 45696, 44544, 43008, 43008, 44544, 45696, 45696, 43968, 41472, 48960 ]
F1	223	LIVE	24	22	9	2	1	[ 1, 5, 8, 71, 152, 215, 218, 222, -1 ]	[ 48000, 44736, -1, 51840, 51840, -1, 44736, 48000, -2 ]
F1	227	LIVE	28	28	17	0	1	[ 1, 5, 29, 43, 72, 87, 98, 107, 120, 129, 140, 155, 184, 198, 222, 226, -1 ]	[ 51264, 46464, 52608, 44928, 57600, 57600, 47232, 49920, 49920, 47232, 57600, 57600, 44928, 52608, 46464, 51264, -2 ]
F1	229	LIVE	30	30	11	0	1	[ 3, 16, 48, 86, 98, 131, 143, 181, 213, 226, -1 ]	[ 52224, 47424, 55296, 51840, 55296, 55296, 51840, 55296, 47424, 52224, -2 ]
F1	233	LIVE	26	26	6	0	0	[ 5, 47, 74, 159, 186, 228 ]	[ 54144, 48192, 50688, 50688, 48192, 54144 ]
F1	239	LIVE	40	36	20	4	0	[ 7, 15, 28, 39, 47, 49, 57, 94, 99, 107, 132, 140, 145, 182, 190, 192, 200, 211, 224, 232 ]	[ 56064, 62208, 60288, 55104, 61248, -1, 65472, 50880, 63168, -1, -1, 63168, 50880, 65472, -1, 61248, 55104, 60288, 62208, 56064 ]
F1	241	LIVE	28	28	11	0	1	[ 1, 3, 18, 84, 94, 147, 157, 223, 238, 240, -1 ]	[ 51840, 61056, 58368, 61056, 55296, 55296, 61056, 58368, 61056, 51840, -2 ]
F1	251	LIVE	28	24	14	4	0	[ 1, 5, 18, 39, 49, 71, 117, 134, 180, 202, 212, 233, 246, 250 ]	[ 63360, -1, 59136, 66048, -1, 65280, 57600, 57600, 65280, -1, 66048, 59136, -1, 63360 ]
F1	257	LIVE	30	26	12	4	0	[ 1, 34, 43, 49, 69, 88, 169, 188, 208, 214, 223, 256 ]	[ 64128, -1, 70464, 73728, 61248, -1, -1, 61248, 73728, 70464, -1, 64128 ]
F1	263	LIVE	40	36	25	4	1	[ 5, 25, 34, 35, 51, 54, 57, 71, 84, 92, 100, 121, 142, 163, 171, 179, 192, 206, 209, 212, 228, 229, 238, 258, -1 ]	[ 65472, -1, 73536, 69888, 64320, 71616, 71424, 65280, -1, 76032, 66240, 71808, 71808, 66240, 76032, -1, 65280, 71424, 71616, 64320, 69888, 73536, -1, 65472, -2 ]
F1	269	LIVE	41	40	22	1	1	[ 0, 7, 19, 70, 93, 96, 102, 113, 116, 124, 133, 136, 145, 153, 156, 167, 173, 176, 199, 250, 262, -1 ]	[ -1, 76032, 70272, 67200, 74688, 67200, 73728, 70272, 76032, 73728, 74688, 74688, 73728, 76032, 70272, 73728, 67200, 74688, 67200, 70272, 76032, -2 ]
