a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
7007	7293	8085	8415	6	637	663	-735	-765	1	0	0	0	0
7018	7337	8228	8602	6	638	667	-748	-782	1	0	0	0	0
7029	7455	8679	9205	6	7029	7455	-8679	-9205	1	0	0	0	0
7030	7220	7733	7942	6	370	380	-407	-418	1	0	0	0	0
7038	7327	7452	7758	6	7038	7327	-7452	-7758	1	0	0	0	0
7068	7440	8493	8940	6	2356	2480	-2831	-2980	1	0	0	0	0
7084	7216	7567	7708	6	7084	7216	-7567	-7708	1	0	0	0	0
7102	7638	9222	9918	6	3551	3819	-4611	-4959	1	0	0	0	0
7106	7524	8721	9234	6	374	396	-459	-486	1	0	0	0	0
7128	7227	7488	7592	6	7128	7227	-7488	-7592	1	0	0	0	0
7128	7632	9108	9752	6	1782	1908	-2277	-2438	1	0	0	0	0
7128	7744	8019	8712	6	648	704	-729	-792	1	0	0	0	0
7128	7872	8019	8856	6	2376	2624	-2673	-2952	1	0	0	0	0
7178	7437	8148	8442	6	7178	7437	-8148	-8442	1	0	0	0	0
7182	7353	7812	7998	6	2394	2451	-2604	-2666	1	0	0	0	0
7182	7623	8892	9438	6	2394	2541	-2964	-3146	1	0	0	0	0
7200	7680	9075	9680	6	1440	1536	-1815	-1936	1	0	0	0	0
7200	8670	8712	9720	6	1200	1445	-1452	-1620	0	0	0	0	0
7215	7813	8325	9015	6	7215	7813	-8325	-9015	1	0	0	0	0
7228	7592	8618	9052	6	3614	3796	-4309	-4526	1	0	0	0	0
7267	7783	9295	9955	6	7267	7783	-9295	-9955	1	0	0	0	0
7271	7788	7932	8496	6	7271	7788	-7932	-8496	1	0	0	0	0
7275	7725	9021	9579	6	2425	2575	-3007	-3193	1	0	0	0	0
7290	7335	7452	7498	6	7290	7335	-7452	-7498	1	0	0	0	0
7326	7548	8151	8398	6	7326	7548	-8151	-8398	1	0	0	0	0
7350	7860	8085	8646	6	2450	2620	-2695	-2882	1	0	0	0	0
7360	7452	7500	7935	6	7360	7452	-7500	-7935	0	0	0	0	0
7370	7755	8844	9306	6	670	705	-804	-846	1	0	0	0	0
7378	7497	7812	7938	6	1054	1071	-1116	-1134	1	0	0	0	0
7384	7526	7904	8056	6	3692	3763	-3952	-4028	1	0	0	0	0
7400	7600	8140	8360	6	370	380	-407	-418	1	0	0	0	0
7412	7888	9265	9860	6	436	464	-545	-580	1	0	0	0	0
7416	7584	8034	8216	6	3708	3792	-4017	-4108	1	0	0	0	0
7416	8343	8768	9864	6	7416	8343	-8768	-9864	1	0	0	0	0
7480	7920	9180	9720	6	374	396	-459	-486	1	0	0	0	0
7524	7614	9614	9729	6	7524	7614	-9614	-9729	1	0	0	0	0
7531	7769	8417	8683	6	7531	7769	-8417	-8683	1	0	0	0	0
7562	7828	8557	8858	6	7562	7828	-8557	-8858	1	0	0	0	0
7632	7950	8832	9200	6	3816	3975	-4416	-4600	1	0	0	0	0
7632	7968	8904	9296	6	954	996	-1113	-1162	1	0	0	0	0
7644	7956	8820	9180	6	637	663	-735	-765	1	0	0	0	0
7656	8004	8976	9384	6	638	667	-748	-782	1	0	0	0	0
7676	7979	8816	9164	6	7676	7979	-8816	-9164	1	0	0	0	0
7684	8041	9040	9460	6	7684	8041	-9040	-9460	1	0	0	0	0
7695	8055	9063	9487	6	7695	8055	-9063	-9487	1	0	0	0	0
7728	8022	8832	9168	6	1288	1337	-1472	-1528	1	0	0	0	0
7755	8140	8460	8880	6	1551	1628	-1692	-1776	1	0	0	0	0
7770	7980	8547	8778	6	370	380	-407	-418	1	0	0	0	0
7776	8064	8856	9184	6	972	1008	-1107	-1148	1	0	0	0	0
7776	8154	9216	9664	6	3888	4077	-4608	-4832	1	0	0	0	0
7776	8448	8748	9504	6	648	704	-729	-792	1	0	0	0	0
7786	8015	8636	8890	6	7786	8015	-8636	-8890	1	0	0	0	0
7800	8424	8450	9600	6	3900	4212	-4225	-4800	0	0	0	0	0
7808	8192	9272	9728	6	976	1024	-1159	-1216	1	0	0	0	0
7860	8253	9360	9828	6	2620	2751	-3120	-3276	1	0	0	0	0
7876	8624	8771	9604	6	7876	8624	-8771	-9604	1	0	0	0	0
7912	8188	8944	9256	6	1978	2047	-2236	-2314	1	0	0	0	0
7956	8229	8976	9284	6	7956	8229	-8976	-9284	1	0	0	0	0
7961	8018	9218	9284	6	7961	8018	-9218	-9284	1	0	0	0	0
