p	A	B	C	rho	sigma	pairing	a	b	c	d	mc	nc	U1	U0	V1	V0	M	N	G1	G0	W1	W0	ordD	ordH	relrankMN
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	3	19	11	8	36	31	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	4	36	2	14	1	2	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	5	3	3	8	4	6	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	9	11	0	5	31	31	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	10	15	30	23	12	17	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	13	14	21	6	34	30	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	13	29	25	15	3	7	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	14	2	36	18	29	32	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	17	24	7	17	35	34	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	18	23	4	31	6	2	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	19	17	10	32	6	23	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	20	22	13	13	6	11	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	22	25	7	18	30	5	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	24	12	19	31	6	25	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	26	21	27	24	10	28	12	24	2
37	10	24	35	23	18	1	34	15	8	21	24	12	30	16	21	14	27	36	36	13	17	29	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	3	19	11	8	36	31	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	4	36	2	14	1	2	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	5	3	3	8	4	6	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	9	11	0	5	31	31	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	10	15	30	23	12	17	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	13	14	21	6	34	30	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	13	29	25	15	3	7	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	14	2	36	18	29	32	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	17	24	7	17	35	34	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	18	23	4	31	6	2	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	19	17	10	32	6	23	12	24	2
37	10	24	35	23	18	2	34	8	15	21	24	12	30	16	21	14	20	22	13	13	6	11	12	24	2
