p	exponent	base_a	base_b	base_c	base_d	base_u	base_t	base_w	flags	a	b	c	d	u	t	w	y0	y1	y2	y3
11	5	0	5	2	8	4	9	10	qrep+root0+rad0	114829	114284	113379	92584	39384	64348	91772	82313	93379	103590	57886
13	5	7	7	8	5	5	4	6	qrep+rootrep+rad0	99041	205199	64397	78070	232770	34467	233629	65864	310965	349679	328211
