t_num	t_den	p	r	boundary	jorder	jmod3	allowed
1	2	59	36	0	3456	0	1
1	2	59	37	0	2688	0	1
1	2	59	38	0	3072	0	1
1	2	59	39	0	2688	0	1
1	2	59	40	0	2304	0	1
1	2	59	41	0	3456	0	1
1	2	59	42	0	3072	0	1
1	2	59	43	0	3456	0	1
1	2	59	44	0	2304	0	1
1	2	59	45	0	3072	0	1
1	2	59	46	0	3072	0	1
1	2	59	47	0	2688	0	1
1	2	59	48	0	3072	0	1
1	2	59	49	0	2304	0	1
1	2	59	50	0	2688	0	1
1	2	59	51	0	3072	0	1
1	2	59	52	0	3072	0	1
1	2	59	53	0	2304	0	1
1	2	59	54	0	2688	0	1
1	2	59	55	0	2304	0	1
1	2	59	56	0	2688	0	1
1	2	59	57	0	2304	0	1
1	2	59	58	1	0	-1	1
1	2	59	inf	1	0	-1	1
1	2	61	0	1	0	-1	1
1	2	61	1	1	0	-1	1
1	2	61	2	0	3456	0	1
1	2	61	3	0	2688	0	1
1	2	61	4	0	2688	0	1
1	2	61	5	0	3456	0	1
1	2	61	6	0	3072	0	1
1	2	61	7	0	2688	0	1
1	2	61	8	0	3456	0	1
1	2	61	9	0	3456	0	1
1	2	61	10	0	3072	0	1
1	2	61	11	0	2304	0	1
1	2	61	12	1	0	-1	1
1	2	61	13	0	3072	0	1
1	2	61	14	0	3072	0	1
1	2	61	15	0	2688	0	1
1	2	61	16	0	3456	0	1
1	2	61	17	0	2688	0	1
1	2	61	18	0	2688	0	1
1	2	61	19	0	2688	0	1
1	2	61	20	0	2688	0	1
1	2	61	21	0	3072	0	1
1	2	61	22	0	3456	0	1
1	2	61	23	0	3456	0	1
1	2	61	24	0	3456	0	1
1	2	61	25	0	3456	0	1
1	2	61	26	0	3456	0	1
1	2	61	27	0	2304	0	1
1	2	61	28	0	3456	0	1
1	2	61	29	0	3456	0	1
1	2	61	30	0	2688	0	1
1	2	61	31	0	3456	0	1
1	2	61	32	0	3072	0	1
1	2	61	33	0	3072	0	1
1	2	61	34	0	3456	0	1
1	2	61	35	0	2688	0	1
1	2	61	36	0	3072	0	1
1	2	61	37	0	3072	0	1
1	2	61	38	0	3072	0	1
1	2	61	39	0	3072	0	1
1	2	61	40	0	3456	0	1
1	2	61	41	0	2688	0	1
1	2	61	42	0	3456	0	1
1	2	61	43	0	3456	0	1
1	2	61	44	0	3456	0	1
