a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
12	24	138	276	0	2	4	23	46	1	1	0	0	0
12	33	48	132	0	4	11	16	44	1	1	0	0	0
12	40	90	300	6	6	20	-45	-150	1	0	0	0	0
12	45	50	1470	6	12	45	-50	-1470	0	0	0	0	0
12	63	112	588	6	12	63	-112	-588	1	0	0	0	0
12	131	144	1572	0	12	131	144	1572	1	1	0	0	0
12	150	196	288	6	6	75	-98	-144	0	0	0	0	0
12	150	300	600	6	2	25	-50	-100	0	0	0	0	0
12	180	300	980	6	3	45	-75	-245	0	0	0	0	0
12	192	216	600	6	1	16	-18	-50	0	0	0	0	0
12	196	300	324	6	3	49	-75	-81	0	0	0	0	0
12	300	480	1470	6	2	50	-80	-245	0	0	0	0	0
12	660	1188	1500	0	1	55	99	125	0	1	0	0	0
12	726	1587	1734	6	4	242	-529	-578	0	0	0	0	0
13	26	52	650	6	1	2	-4	-50	0	0	0	0	0
13	27	117	243	0	13	27	117	243	1	1	0	0	0
13	208	234	650	6	1	16	-18	-50	0	0	0	0	0
13	276	624	828	0	13	276	624	828	0	1	0	0	0
13	325	405	845	6	13	325	-405	-845	0	0	0	0	0
13	715	1287	1625	0	1	55	99	125	0	1	0	0	0
14	21	84	126	6	2	3	-12	-18	1	0	0	0	0
14	26	406	754	0	7	13	203	377	1	1	0	0	0
14	28	56	700	6	1	2	-4	-50	0	0	0	0	0
14	28	161	322	0	2	4	23	46	1	1	0	0	0
14	36	63	162	0	14	36	63	162	1	1	0	0	0
14	49	50	112	6	14	49	-50	-112	0	0	0	0	0
14	49	112	338	6	14	49	-112	-338	0	0	0	0	0
14	175	350	700	6	2	25	-50	-100	0	0	0	0	0
14	224	252	700	6	1	16	-18	-50	0	0	0	0	0
14	242	308	539	6	14	242	-308	-539	0	0	0	0	0
14	324	504	1764	6	7	162	-252	-882	0	0	0	0	0
14	350	560	1715	6	2	50	-80	-245	0	0	0	0	0
14	770	1386	1750	0	1	55	99	125	0	1	0	0	0
14	1078	1925	1936	6	14	1078	-1925	-1936	0	0	0	0	0
15	30	60	750	6	1	2	-4	-50	0	0	0	0	0
15	36	100	240	6	15	36	-100	-240	1	0	0	0	0
15	48	50	90	6	15	48	-50	-90	0	0	0	0	0
15	147	175	315	6	15	147	-175	-315	0	0	0	0	0
15	225	375	1225	6	3	45	-75	-245	0	0	0	0	0
15	240	270	750	6	1	16	-18	-50	0	0	0	0	0
15	245	375	405	6	3	49	-75	-81	0	0	0	0	0
15	560	882	1050	6	15	560	-882	-1050	0	0	0	0	0
15	825	1485	1875	0	1	55	99	125	0	1	0	0	0
16	24	96	144	6	2	3	-12	-18	1	0	0	0	0
16	29	1024	1856	0	16	29	1024	1856	1	1	0	0	0
16	30	384	720	0	8	15	192	360	1	1	0	0	0
16	32	64	800	6	1	2	-4	-50	0	0	0	0	0
16	32	184	368	0	2	4	23	46	1	1	0	0	0
16	34	128	272	0	8	17	64	136	1	1	0	0	0
16	44	64	176	0	4	11	16	44	1	1	0	0	0
16	109	256	1744	6	16	109	-256	-1744	1	0	0	0	0
16	200	400	800	6	2	25	-50	-100	0	0	0	0	0
16	256	288	800	6	1	16	-18	-50	0	0	0	0	0
16	400	640	1960	6	2	50	-80	-245	0	0	0	0	0
16	880	1584	2000	0	1	55	99	125	0	1	0	0	0
17	31	833	1519	0	17	31	833	1519	1	1	0	0	0
17	33	255	495	0	17	33	255	495	1	1	0	0	0
17	34	68	850	6	1	2	-4	-50	0	0	0	0	0
17	272	306	850	6	1	16	-18	-50	0	0	0	0	0
18	27	108	162	6	2	3	-12	-18	1	0	0	0	0
18	30	318	530	6	9	15	-159	-265	1	0	0	0	0
18	33	732	1342	0	18	33	732	1342	1	1	0	0	0
18	36	72	900	6	1	2	-4	-50	0	0	0	0	0
18	36	207	414	0	2	4	23	46	1	1	0	0	0
18	39	132	286	0	18	39	132	286	1	1	0	0	0
18	42	102	238	0	9	21	51	119	1	1	0	0	0
18	57	60	190	0	18	57	60	190	1	1	0	0	0
18	60	135	450	6	6	20	-45	-150	1	0	0	0	0
18	75	80	1470	6	18	75	-80	-1470	0	0	0	0	0
18	81	356	1602	6	18	81	-356	-1602	1	0	0	0	0
18	158	711	1764	0	18	158	711	1764	0	1	0	0	0
18	225	294	432	6	6	75	-98	-144	0	0	0	0	0
18	225	450	900	6	2	25	-50	-100	0	0	0	0	0
18	270	450	1470	6	3	45	-75	-245	0	0	0	0	0
18	288	324	900	6	1	16	-18	-50	0	0	0	0	0
18	294	450	486	6	3	49	-75	-81	0	0	0	0	0
19	31	247	403	6	19	31	-247	-403	1	0	0	0	0
19	33	969	1683	6	19	33	-969	-1683	1	0	0	0	0
19	38	76	950	6	1	2	-4	-50	0	0	0	0	0
19	304	342	950	6	1	16	-18	-50	0	0	0	0	0
20	30	120	180	6	2	3	-12	-18	1	0	0	0	0
20	34	520	884	6	10	17	-260	-442	1	0	0	0	0
20	40	80	1000	6	1	2	-4	-50	0	0	0	0	0
20	40	230	460	0	2	4	23	46	1	1	0	0	0
20	48	105	252	0	20	48	105	252	1	1	0	0	0
20	55	80	220	0	4	11	16	44	1	1	0	0	0
20	144	225	1620	6	20	144	-225	-1620	1	0	0	0	0
20	196	350	1120	6	10	98	-175	-560	0	0	0	0	0
20	225	304	380	0	20	225	304	380	0	1	0	0	0
20	250	500	1000	6	2	25	-50	-100	0	0	0	0	0
20	300	363	720	6	20	300	-363	-720	0	0	0	0	0
20	300	720	867	6	20	300	-720	-867	0	0	0	0	0
20	320	360	1000	6	1	16	-18	-50	0	0	0	0	0
21	39	609	1131	0	7	13	203	377	1	1	0	0	0
21	42	84	1050	6	1	2	-4	-50	0	0	0	0	0
21	315	525	1715	6	3	45	-75	-245	0	0	0	0	0
21	336	378	1050	6	1	16	-18	-50	0	0	0	0	0
21	343	525	567	6	3	49	-75	-81	0	0	0	0	0
22	28	55	70	6	22	28	-55	-70	1	0	0	0	0
22	33	132	198	6	2	3	-12	-18	1	0	0	0	0
22	36	297	486	6	22	36	-297	-486	1	0	0	0	0
22	38	902	1558	6	11	19	-451	-779	1	0	0	0	0
22	43	308	602	0	22	43	308	602	1	1	0	0	0
22	44	88	1100	6	1	2	-4	-50	0	0	0	0	0
22	44	253	506	0	2	4	23	46	1	1	0	0	0
22	66	78	234	0	11	33	39	117	1	1	0	0	0
22	275	550	1100	6	2	25	-50	-100	0	0	0	0	0
22	338	342	418	6	11	169	-171	-209	0	0	0	0	0
22	352	396	1100	6	1	16	-18	-50	0	0	0	0	0
23	37	253	407	6	23	37	-253	-407	1	0	0	0	0
23	46	92	1150	6	1	2	-4	-50	0	0	0	0	0
23	368	414	1150	6	1	16	-18	-50	0	0	0	0	0
24	36	144	216	6	2	3	-12	-18	1	0	0	0	0
24	45	576	1080	0	8	15	192	360	1	1	0	0	0
24	48	49	72	6	24	48	-49	-72	0	0	0	0	0
24	48	96	1200	6	1	2	-4	-50	0	0	0	0	0
24	48	276	552	0	2	4	23	46	1	1	0	0	0
24	51	192	408	0	8	17	64	136	1	1	0	0	0
24	66	96	264	0	4	11	16	44	1	1	0	0	0
24	80	180	600	6	6	20	-45	-150	1	0	0	0	0
24	126	224	1176	6	12	63	-112	-588	1	0	0	0	0
24	300	392	576	6	6	75	-98	-144	0	0	0	0	0
24	300	600	1200	6	2	25	-50	-100	0	0	0	0	0
24	360	600	1960	6	3	45	-75	-245	0	0	0	0	0
24	384	432	1200	6	1	16	-18	-50	0	0	0	0	0
24	392	600	648	6	3	49	-75	-81	0	0	0	0	0
25	50	100	1250	6	1	2	-4	-50	0	0	0	0	0
25	75	225	363	6	25	75	-225	-363	0	0	0	0	0
25	336	630	1470	6	25	336	-630	-1470	0	0	0	0	0
25	400	450	1250	6	1	16	-18	-50	0	0	0	0	0
26	39	156	234	6	2	3	-12	-18	1	0	0	0	0
