m	n	k	torsion_coset
-1000	-181	107	1
-1000	-181	467	1
-997	-22	647	1
-997	-22	-433	1
-997	770	575	1
-997	770	-505	1
-996	-753	507	1
-996	-753	867	1
-996	39	-717	1
-996	327	867	1
-996	327	-933	1
-996	831	75	1
-996	831	-285	1
-993	-810	-825	1
-993	-306	327	1
-993	-306	831	1
-993	-306	-753	1
-993	-18	615	1
-993	-18	-825	1
-993	270	-825	1
-993	270	-465	1
-993	486	-753	1
-993	486	-393	1
-993	774	687	1
-993	774	-969	1
-993	774	-393	1
-990	-915	867	1
-990	-627	-69	1
-990	-123	363	1
-990	-123	-717	1
-990	669	795	1
-990	669	-645	1
-990	957	723	1
-990	957	-357	1
-988	-793	-685	1
-988	-505	107	1
-988	-505	467	1
-988	287	-325	1
-987	-972	255	1
-987	-972	-825	1
-987	-684	-321	1
-987	-468	327	1
-987	-468	687	1
-987	-468	-249	1
-987	-180	111	1
-987	-180	255	1
-987	-180	-825	1
-987	108	615	1
-987	108	-465	1
-987	612	111	1
-987	612	687	1
-987	900	471	1
-987	900	615	1
-987	900	-969	1
-987	900	-465	1
-986	-911	743	2
-986	-911	-841	2
-986	-911	-337	2
-986	-623	167	2
-986	-623	-553	2
-986	-623	-265	2
-986	-407	23	2
-986	-407	311	2
-986	-407	815	2
-986	-407	-985	2
-986	-407	-769	2
-986	-407	-697	2
-986	-119	167	2
-986	-119	455	2
-986	-119	-913	2
-986	169	23	2
-986	169	-841	2
-986	169	-481	2
-986	673	383	2
-986	673	671	2
-986	673	-985	2
-986	673	-625	2
-986	673	-409	2
-986	673	-337	2
-986	961	527	2
-986	961	815	2
-986	961	-553	2
-985	-346	647	1
-985	-346	-433	1
-985	734	-73	1
-982	-955	-685	1
-982	-667	-253	1
-982	125	-325	1
-979	284	575	1
-979	284	935	1
-978	-951	291	1
-978	-951	-573	1
-978	-951	-69	1
-978	345	-645	1
-975	-792	327	1
-975	-792	687	1
-975	-216	615	1
-975	-216	-465	1
-975	0	687	1
-975	0	-393	1
-975	288	687	1
-975	792	183	1
-975	792	-897	1
-975	792	-321	1
-974	-971	215	2
-974	-971	503	2
-974	-971	791	2
-974	-971	-865	2
-974	-971	-289	2
-974	-467	287	2
-974	-467	647	2
-974	-467	-505	2
-974	-179	431	2
-974	-179	647	2
-974	-179	719	2
-974	-179	-793	2
-974	-179	-361	2
-974	-179	-289	2
-974	-179	-73	2
-974	109	71	2
-974	109	575	2
-974	109	863	2
-974	109	-505	2
-974	325	143	2
-974	325	-937	2
-974	325	-361	2
-974	613	647	2
-974	613	-865	2
-974	613	-145	2
-974	901	71	2
-974	901	287	2
-974	901	791	2
-974	901	-721	2
-974	901	-433	2
-974	901	-1	2
-972	-609	-717	1
-972	-609	-357	1
-972	183	75	1
-972	183	-645	1
-972	471	3	1
-972	471	-357	1
-972	975	651	1
-970	-991	-253	1
-969	-954	687	1
-969	-666	255	1
-969	-666	-825	1
-969	-666	-249	1
-969	-162	687	1
-969	-162	-393	1
-969	414	111	1
-969	414	615	1
-969	414	-969	1
-969	414	-465	1
-969	630	183	1
-969	630	-897	1
-969	630	-321	1
-969	918	-33	1
-967	-832	-433	1
-967	-40	935	1
-967	248	-73	1
-964	-361	35	1
-964	-361	-325	1
-961	-994	647	1
-960	-933	-357	1
-960	-645	-213	1
-960	-141	795	1
-960	147	3	1
-957	-990	111	1
-957	-990	615	1
-957	-990	-825	1
-957	-990	-249	1
-957	-702	-465	1
-957	-198	111	1
-957	-198	-969	1
-957	90	111	1
-957	90	471	1
-957	90	975	1
-957	90	-465	1
-957	306	183	1
-957	306	543	1
-957	306	-321	1
-957	882	471	1
-957	882	-609	1
-954	-807	867	1
-954	-807	-213	1
-954	-15	-717	1
-954	489	291	1
-952	-685	35	1
-952	-685	395	1
-951	-864	615	1
-951	-864	-825	1
-951	-648	687	1
-951	-648	-753	1
-951	-72	471	1
-951	-72	615	1
-951	-72	975	1
-951	-72	-969	1
-951	144	39	1
-951	144	543	1
-951	144	-897	1
-951	144	-321	1
-951	432	-393	1
-950	-803	383	2
-950	-803	-481	2
-950	-803	-337	2
-950	-803	-121	2
-950	-587	167	2
-950	-587	239	2
-950	-587	959	2
-950	-587	-841	2
-950	-587	-553	2
-950	-587	-409	2
-950	-587	-49	2
-950	-11	95	2
-950	-11	455	2
-950	-11	-913	2
-950	205	167	2
-950	205	527	2
-950	205	-625	2
-950	493	311	2
-950	493	527	2
-950	493	599	2
-950	493	-481	2
-950	493	-193	2
-950	493	-49	2
-950	997	959	2
-949	-526	575	1
-949	-526	-505	1
-949	554	935	1
-949	554	-145	1
-943	-688	575	1
-943	-688	-505	1
-943	392	935	1
-943	392	-145	1
-943	680	-793	1
-942	-627	795	1
-942	-627	-285	1
-942	-339	-717	1
-942	-339	-357	1
-942	165	291	1
-942	165	-789	1
-942	453	75	1
-942	957	-789	1
-939	-972	-753	1
-939	-684	111	1
-939	-684	687	1
-939	-684	-969	1
-939	-684	-393	1
-939	-396	471	1
-939	-396	975	1
-939	-180	39	1
-939	-180	543	1
-939	-180	-321	1
-939	108	-393	1
-939	396	471	1
-939	396	-609	1
-939	396	-33	1
-939	900	39	1
-939	900	399	1
-939	900	903	1
-938	-863	143	2
-938	-863	503	2
-938	-863	-865	2
-938	-863	-649	2
-938	-359	575	2
-938	-359	647	2
-938	-359	-433	2
-938	-359	-145	2
-938	-71	431	2
-938	-71	-433	2
-938	-71	-73	2
-938	145	575	2
-938	145	-505	2
-938	721	215	2
-938	721	935	2
-938	721	-73	2
-938	937	431	2
-938	937	503	2
-938	937	575	2
-938	937	791	2
-938	937	-577	2
-938	937	-505	2
-938	937	-217	2
-936	-789	795	1
-936	-501	723	1
-936	3	291	1
-936	3	-789	1
-933	-846	111	1
-933	-846	687	1
-933	-846	-393	1
-933	-558	471	1
-933	-54	-393	1
-933	234	471	1
-933	234	-33	1
-933	450	615	1
-933	450	-465	1
-931	-724	-73	1
-931	68	935	1
-931	68	-145	1
-931	356	287	1
-931	356	-793	1
-928	755	-973	1
-925	-886	-73	1
-925	194	287	1
-925	194	-793	1
-924	-825	723	1
-924	-825	-357	1
-924	-321	-789	1
-924	471	147	1
-924	471	-789	1
-924	471	-429	1
-924	759	-429	1
-921	-882	471	1
-921	-882	615	1
-921	-882	-969	1
-921	-882	-465	1
-921	-666	543	1
-921	-666	-897	1
-921	-378	-33	1
-921	126	615	1
-921	126	-465	1
-921	414	903	1
-921	414	-537	1
-921	702	327	1
-921	918	-969	1
-921	918	-465	1
-921	918	-105	1
-918	-483	291	1
-918	-483	651	1
-918	309	651	1
-918	309	-933	1
-918	309	-429	1
-918	597	651	1
-916	431	-973	1
-916	431	-613	1
-915	-828	39	1
-915	-828	183	1
-915	-828	-897	1
-915	-540	-393	1
-915	-540	-33	1
-915	-252	-969	1
-915	-252	-33	1
-915	-36	615	1
-915	-36	975	1
-915	252	399	1
-915	252	543	1
-915	252	-537	1
-915	540	327	1
-915	540	-33	1
-914	-767	95	2
-914	-767	527	2
-914	-767	887	2
-914	-767	-985	2
-914	-767	-913	2
-914	-479	959	2
-914	-479	-913	2
-914	-479	-553	2
-914	-479	-49	2
-914	-191	23	2
-914	-191	455	2
-914	-191	-985	2
-914	-191	-769	2
-914	-191	-265	2
-914	25	599	2
-914	25	-697	2
-914	25	-481	2
-914	313	455	2
-914	313	887	2
-914	313	-625	2
-914	313	-553	2
-914	601	311	2
-914	601	-553	2
-914	601	-193	2
-913	-418	935	1
-913	-130	287	1
-910	269	467	1
-907	-292	-793	1
-906	-807	651	1
-906	-519	-285	1
-906	777	147	1
-906	777	-933	1
-903	-864	-33	1
-903	-576	-969	1
-903	-360	615	1
-903	-360	975	1
-903	216	327	1
-903	432	471	1
-903	432	975	1
-903	432	-969	1
-903	432	-609	1
-903	432	-105	1
-903	720	975	1
-902	-827	575	2
-902	-827	647	2
-902	-827	-865	2
-902	-827	-433	2
-902	-827	-145	2
-902	-539	503	2
-902	-539	-577	2
-902	-539	-1	2
-902	-35	431	2
-902	-35	575	2
-902	-35	935	2
-902	-35	-937	2
-902	-35	-217	2
-902	253	215	2
-902	253	935	2
-902	253	-793	2
-902	253	-505	2
-902	253	-73	2
-902	541	359	2
-902	541	863	2
-902	541	-721	2
-902	541	-217	2
-902	757	359	2
-902	757	431	2
-902	757	719	2
-902	757	-649	2
-902	757	-73	2
-900	-681	75	1
-900	-681	-285	1
-900	-177	147	1
-900	-177	-429	1
-900	-177	-69	1
-900	615	147	1
-900	615	507	1
-900	903	291	1
-900	903	507	1
-900	903	-69	1
-898	-55	467	1
-898	-55	-613	1
-898	737	-685	1
-897	-738	-969	1
-897	-738	-609	1
-897	-522	975	1
-897	-234	39	1
-897	-234	543	1
-897	-234	-537	1
-897	270	471	1
-897	270	975	1
-897	270	-609	1
-897	270	-105	1
-897	846	399	1
-897	846	903	1
-897	846	-681	1
-897	846	-177	1
-892	-217	467	1
-892	-217	-613	1
-892	-217	-253	1
-892	575	395	1
-892	575	-325	1
-892	863	107	1
-892	863	827	1
-892	863	-253	1
-889	14	215	1
-889	14	-865	1
-888	-501	147	1
-888	-501	-573	1
-888	-501	-69	1
-888	-213	651	1
-888	291	147	1
-888	291	507	1
-888	579	291	1
-888	579	507	1
-888	579	-933	1
-888	579	-213	1
-885	-558	39	1
-885	-558	399	1
