SPLITSIEVE H=3200 threads=192  SIG=6/1 PRD=2/1 TAU=3/1  primes=60
#values=12453069
cold table 8.52 GB
tables built
PROGRESS H<=1675  pairs=5826921340878 realpass=3110874775122 (53.3880%) cands=0  12530.7s
PROGRESS H<=1700  pairs=6182409648430 realpass=3300660413652 (53.3879%) cands=0  13207.8s
PROGRESS H<=1725  pairs=6553345780086 realpass=3498704671333 (53.3881%) cands=0  13930.1s
PROGRESS H<=1750  pairs=6934372888926 realpass=3702119727443 (53.3880%) cands=0  14666.4s
PROGRESS H<=1775  pairs=7346115069490 realpass=3921957797033 (53.3882%) cands=0  15468.8s
PROGRESS H<=1800  pairs=7762700316106 realpass=4144362845020 (53.3882%) cands=0  16264.3s
PROGRESS H<=1825  pairs=8212287936450 realpass=4384391365508 (53.3882%) cands=0  17135.7s
PROGRESS H<=1850  pairs=8666069243266 realpass=4626657439287 (53.3882%) cands=0  18018.4s
PROGRESS H<=1875  pairs=9146007373986 realpass=4882884755465 (53.3882%) cands=0  18929.4s
PROGRESS H<=1900  pairs=9635297129706 realpass=5144109216239 (53.3882%) cands=0  19885.4s
PROGRESS H<=1925  pairs=10159249164210 realpass=5423840861553 (53.3882%) cands=0  20813.2s
PROGRESS H<=1950  pairs=10692669475806 realpass=5708628034119 (53.3882%) cands=0  21726.5s
PROGRESS H<=1975  pairs=11258520835078 realpass=6010738741691 (53.3884%) cands=0  22687.1s
PROGRESS H<=2000  pairs=11840673861726 realpass=6321538720431 (53.3883%) cands=0  23352.9s
PROGRESS H<=2025  pairs=12436144260078 realpass=6639447003838 (53.3883%) cands=0  24036.5s
PROGRESS H<=2050  pairs=13061142611506 realpass=6973134566348 (53.3884%) cands=0  24745.5s
PROGRESS H<=2075  pairs=13717926533850 realpass=7323787583469 (53.3884%) cands=0  25056.9s
PROGRESS H<=2100  pairs=14382410313970 realpass=7678535343325 (53.3884%) cands=0  25347.3s
PROGRESS H<=2125  pairs=15086681050906 realpass=8054530052723 (53.3883%) cands=0  25654.1s
PROGRESS H<=2150  pairs=15804411809878 realpass=8437706090793 (53.3883%) cands=0  25969.2s
PROGRESS H<=2175  pairs=16555849019226 realpass=8838894379955 (53.3883%) cands=0  26299.2s
PROGRESS H<=2200  pairs=17316450662878 realpass=9244984311330 (53.3884%) cands=0  26632.1s
PROGRESS H<=2225  pairs=18137809766350 realpass=9683492097468 (53.3884%) cands=0  26990.6s
PROGRESS H<=2250  pairs=18950559681466 realpass=10117406210993 (53.3884%) cands=0  27351.0s
# claude_ov_c7z_splitsieve final state (aws-spot-5, 192-way, stopped 2026-07-25 ~12:20 UTC)
# Superseded by the genus-4 result: the order-112 locus is a CURVE, so search is the wrong instrument.
PROGRESS H<=2250  pairs=18950559681466 realpass=10117406210993 (53.3884%) cands=0  27351.0s
FINAL: 1.895e13 pairs to height 2250, ZERO split-all candidates.
